バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,598,ABEL,アメリカ,979,ASHURA,アメリカ,1140,ARK,アメリカ,0,,-
1st&substream,RUGGED ASH,0,,-,270,GIBSON,アメリカ,396,KJA-P,アメリカ,1076,ARK,アメリカ,1967,CYLO,アメリカ
1st&substream,R3,0,,-,607,ASHURA,アメリカ,679,ASHURA,アメリカ,899,ARK,アメリカ,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,537,PEPE,アメリカ,713,KJA-P,アメリカ,1101,SIMP,アメリカ,0,,-
1st&substream,Macho Gang,0,,-,283,REICHI,アメリカ,960,KJA-P,アメリカ,1593,ARK,アメリカ,0,,-
1st&substream,KEEP ON MOVIN',0,,-,159,PALDA!,アメリカ,244,BIGC,アメリカ,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,615,MM2ND,アメリカ,900,MR.FOO,アメリカ,1177,CPA,アメリカ,0,,-
1st&substream,gentle stress,0,,-,327,S-IGMA,アメリカ,660,KJA-P,アメリカ,1433,SIMP,アメリカ,0,,-
1st&substream,GENOM SCREAMS,0,,-,399,U235,アメリカ,800,MIMI,アメリカ,1065,-.-,アメリカ,0,,-
1st&substream,GAMBOL,0,,-,273,AKUMA,アメリカ,274,ARK,アメリカ,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,325,GIBSON,アメリカ,492,TEHSIG,アメリカ,573,CPA,アメリカ,0,,-
1st&substream,deep in you,0,,-,402,HIKARI,アメリカ,478,TEHSIG,アメリカ,657,BIGC,アメリカ,0,,-
1st&substream,5.1.1.,0,,-,153,AUDREY,アメリカ,976,TENSHI,アメリカ,1557,KEV.,アメリカ,0,,-
1st&substream,22DUNK,0,,-,404,NANO,アメリカ,586,ASHURA,アメリカ,647,SIMP,アメリカ,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,478,PALDA!,アメリカ,597,KJA-P,アメリカ,634,CPA,アメリカ,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,516,LITTTT,アメリカ,834,CPA,アメリカ,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,744,K09BUN,アメリカ,1004,KJA-P,アメリカ,1199,ARK,アメリカ,0,,-
2nd style,I Was The One,0,,-,520,ASHURA,アメリカ,622,TEHSIG,アメリカ,689,BIGC,アメリカ,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,572,STANG!,アメリカ,832,MR.FOO,アメリカ,1061,CYLO,アメリカ,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,467,D2RGRL,アメリカ,986,KJA-P,アメリカ,1111,GOOBLR,アメリカ,0,,-
2nd style,.59,0,,-,547,STANG!,アメリカ,1001,SIMP,アメリカ,1141,BIGC,アメリカ,0,,-
3rd style,THE SAFARI,270,REICHI,アメリカ,1188,PALDA!,アメリカ,1735,GOOBLR,アメリカ,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,271,ASHURA,アメリカ,392,CPA,アメリカ,0,,-,0,,-
3rd style,Skyscraper,0,,-,444,ADAM,アメリカ,1092,KJA-P,アメリカ,1229,VTUBER,アメリカ,0,,-
3rd style,Schlagwerk,0,,-,615,REICHI,アメリカ,1230,KJA-P,アメリカ,1673,VTUBER,アメリカ,0,,-
3rd style,REINCARNATION,0,,-,505,SHYGUY,アメリカ,971,KJA-P,アメリカ,1248,CPA,アメリカ,0,,-
3rd style,R5,0,,-,684,STANG!,アメリカ,1118,OMNI,アメリカ,1767,PHN!X,アメリカ,0,,-
3rd style,Presto,0,,-,507,U235,アメリカ,980,SIMP,アメリカ,1004,BIGC,アメリカ,0,,-
3rd style,LEADING CYBER,0,,-,788,MR.FOO,アメリカ,1124,TENSHI,アメリカ,1263,SIMP,アメリカ,0,,-
3rd style,Holic,0,,-,750,PEPE,アメリカ,1158,PURGED,アメリカ,1710,PHN!X,アメリカ,0,,-
3rd style,era (nostalmix),0,,-,796,UZNK,アメリカ,1047,HAGA,アメリカ,1494,SIMP,アメリカ,0,,-
3rd style,Don't Stop!,0,,-,672,HITOMI,アメリカ,815,KJA-P,アメリカ,896,CPA,アメリカ,0,,-
3rd style,CAN'T STOP FALLIN'IN LOVE,0,,-,453,?,アメリカ,1214,SHAO,アメリカ,0,,-,0,,-
4th style,Voltage (feat. Hidemaru),0,,-,864,PEPE,アメリカ,1129,KJA-P,アメリカ,1322,SIMP,アメリカ,0,,-
4th style,SWEET LAB,0,,-,483,PUPPY,アメリカ,853,KJA-P,アメリカ,1321,PHN!X,アメリカ,0,,-
4th style,starmine,406,ASHURA,アメリカ,855,PEPE,アメリカ,1365,JHAYR!,アメリカ,1582,PHN!X,アメリカ,0,,-
4th style,Mr.T.(take me higher),0,,-,653,STANG!,アメリカ,896,GETCHA,アメリカ,1722,BIGC,アメリカ,0,,-
4th style,minimalian,0,,-,449,HAUZER,アメリカ,996,KJA-P,アメリカ,1384,SIMP,アメリカ,0,,-
4th style,LOVE WILL・・・,0,,-,530,WWE,アメリカ,739,MIMI,アメリカ,1455,ARK,アメリカ,0,,-
4th style,KAMIKAZE,0,,-,981,ASHURA,アメリカ,1353,TEHSIG,アメリカ,2267,SIMP,アメリカ,0,,-
4th style,Jam&Marmalade,0,,-,740,PEPE,アメリカ,868,KJA-P,アメリカ,1012,PHN!X,アメリカ,0,,-
4th style,Hitch Hiker2,0,,-,497,LPXOVR,アメリカ,1103,KJA-P,アメリカ,1311,ARK,アメリカ,1928,PHN!X,アメリカ
4th style,HIGHER,0,,-,449,BELLS,アメリカ,843,QT727,アメリカ,1269,ARK,アメリカ,0,,-
4th style,FLOWERS for ALBION,0,,-,190,REICHI,アメリカ,443,ARK,アメリカ,0,,-,0,,-
4th style,era (step mix),0,,-,837,SPOON,アメリカ,1270,UZNK,アメリカ,1684,ARK,アメリカ,0,,-
4th style,empathy,0,,-,754,LMN?,アメリカ,1294,JHAYR!,アメリカ,1458,PHN!X,アメリカ,0,,-
4th style,DXY!,0,,-,1183,GRTHOK,アメリカ,1709,DJMAKI,アメリカ,2252,PHN!X,アメリカ,0,,-
4th style,Clione,0,,-,470,UZNK,アメリカ,910,GRTHOK,アメリカ,1613,PHN!X,アメリカ,2168,PHN!X,アメリカ
4th style,CHECKING YOU OUT,0,,-,611,UZNK,アメリカ,808,KIMO!,アメリカ,1318,YESICA,アメリカ,0,,-
4th style,Burnin' The Floor,0,,-,472,HELP,アメリカ,915,KJA-P,アメリカ,1434,PHN!X,アメリカ,0,,-
4th style,Broken My Heart,0,,-,909,PEPE,アメリカ,1282,GYMNST,アメリカ,1787,SIMP,アメリカ,0,,-
4th style,B4U,0,,-,970,PEPE,アメリカ,1405,KJA-P,アメリカ,1969,ARK,アメリカ,0,,-
4th style,ABSOLUTE,0,,-,1277,GRTHOK,アメリカ,1712,JHAYR!,アメリカ,2409,PHN!X,アメリカ,2695,GOOBLR,アメリカ
4th style,250bpm,0,,-,635,PEPE,アメリカ,897,KJA-P,アメリカ,1341,BIGC,アメリカ,0,,-
5th style,V,321,ASHURA,アメリカ,1133,GAMEHG,アメリカ,2495,ARK,アメリカ,2969,CYLO,アメリカ,0,,-
5th style,THE SHINING POLARIS,0,,-,682,?,アメリカ,1092,GYMNST,アメリカ,1547,MIMI,アメリカ,0,,-
5th style,THE CUBE,0,,-,608,STANG!,アメリカ,1021,K-DASH,アメリカ,1300,AKUMA,アメリカ,0,,-
5th style,sync,0,,-,1024,PEPE,アメリカ,1928,VTUBER,アメリカ,2367,ARK,アメリカ,0,,-
5th style,still my words,0,,-,741,KAIZO,アメリカ,1223,KEV.,アメリカ,0,,-,0,,-
5th style,STILL IN MY HEART,0,,-,804,STANG!,アメリカ,1122,OMNI,アメリカ,1925,PHN!X,アメリカ,0,,-
5th style,Spin the disc,0,,-,640,STANG!,アメリカ,1137,KJA-P,アメリカ,1329,SIMP,アメリカ,0,,-
5th style,sometime,0,,-,607,K09BUN,アメリカ,966,PURGED,アメリカ,1300,VTUBER,アメリカ,0,,-
5th style,RISLIM,0,,-,685,GZY,アメリカ,1224,PHN!X,アメリカ,0,,-,0,,-
5th style,RIDE ON THE LIGHT (HI GREAT MIX),0,,-,781,K09BUN,アメリカ,1021,KJA-P,アメリカ,1704,GOOBLR,アメリカ,1818,PHN!X,アメリカ
5th style,Regulus,0,,-,671,TOFU,アメリカ,1231,KSKSN,アメリカ,1680,PUNK,アメリカ,0,,-
5th style,Real,0,,-,1066,GRTHOK,アメリカ,1523,OKK222,アメリカ,1787,PUNK,アメリカ,0,,-
