バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,354,ACCELA,海外,982,GALANT,海外,1149,SUFOLK,海外,0,,-
1st&substream,RUGGED ASH,0,,-,223,AKIRA,海外,0,,-,1071,NATORI,海外,1918,X-KYAK,海外
1st&substream,R3,0,,-,455,6OKKA,海外,721,LAWSON,海外,900,LAWSON,海外,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,546,BBQ,海外,678,KTGR,海外,1065,SIRASE,海外,0,,-
1st&substream,Macho Gang,0,,-,373,PAL-S,海外,783,ITZY.,海外,1617,NATORI,海外,0,,-
1st&substream,KEEP ON MOVIN',0,,-,181,UNCO3*,海外,244,IIDX29,海外,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,0,,-,953,GALANT,海外,1150,WHA?NO,海外,0,,-
1st&substream,gentle stress,0,,-,290,KAZUMI,海外,408,C-LAS,海外,1443,UI.KZK,海外,0,,-
1st&substream,GENOM SCREAMS,0,,-,244,CH1AKI,海外,781,SHOW,海外,1048,SIN16U,海外,0,,-
1st&substream,GAMBOL,0,,-,249,FLORA,海外,269,4GNE5B,海外,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,166,ZERO-X,海外,356,NONAME,海外,572,NATORI,海外,0,,-
1st&substream,deep in you,0,,-,323,KURANT,海外,447,Y,海外,586,JAYBEE,海外,0,,-
1st&substream,5.1.1.,0,,-,182,UNCO3*,海外,985,LAWSON,海外,1559,X-KYAK,海外,0,,-
1st&substream,22DUNK,0,,-,499,METHY,海外,584,KATANA,海外,647,NATORI,海外,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,342,NVRAM,海外,449,NONAME,海外,593,APEC,海外,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,535,14-FVR,海外,834,UI.KZK,海外,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,465,YUI,海外,1054,METHY,海外,1212,NATORI,海外,0,,-
2nd style,I Was The One,0,,-,308,WHITE.,海外,307,PRAYER,海外,663,#SUBLO,海外,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,736,METHY,海外,857,KTGR,海外,1058,NATORI,海外,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,0,,-,657,KURANT,海外,1124,NATORI,海外,0,,-
2nd style,.59,0,,-,646,ECNES,海外,704,NONAME,海外,1135,SIRASE,海外,0,,-
3rd style,THE SAFARI,238,NERF,海外,890,ACDC,海外,1715,SIRASE,海外,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,263,METHY,海外,371,METHY,海外,0,,-,0,,-
3rd style,Skyscraper,0,,-,468,CH1AKI,海外,0,,-,1241,NATORI,海外,0,,-
3rd style,Schlagwerk,0,,-,0,,-,1247,WOODY,海外,1672,NATORI,海外,0,,-
3rd style,REINCARNATION,0,,-,781,Y,海外,982,KATANA,海外,1195,METHY,海外,0,,-
3rd style,R5,0,,-,537,RYUJI,海外,1116,METHY,海外,1730,LAWSON,海外,0,,-
3rd style,Presto,0,,-,491,KATANA,海外,932,METHY,海外,1001,NATORI,海外,0,,-
3rd style,LEADING CYBER,0,,-,522,CH1AKI,海外,1071,KRAKEN,海外,1234,SIRASE,海外,0,,-
3rd style,Holic,0,,-,0,,-,1203,ERA,海外,1690,SIRASE,海外,0,,-
3rd style,era (nostalmix),0,,-,777,14-FVR,海外,1065,245RIK,海外,1515,NATORI,海外,0,,-
3rd style,Don't Stop!,0,,-,0,,-,0,,-,864,XYN,海外,0,,-
3rd style,CAN'T STOP FALLIN'IN LOVE,0,,-,542,Y,海外,1137,METHY,海外,0,,-,0,,-
4th style,Voltage (feat. Hidemaru),0,,-,889,METHY,海外,1178,PAL-S,海外,1324,245RIK,海外,0,,-
4th style,SWEET LAB,0,,-,484,BBQ,海外,915,METHY,海外,1346,NATORI,海外,0,,-
4th style,starmine,269,NVRAM,海外,541,ACCELA,海外,1216,NWTR,海外,1509,NANASE,海外,0,,-
4th style,Mr.T.(take me higher),0,,-,470,C-LAS,海外,745,NECOZE,海外,1754,NATORI,海外,0,,-
4th style,minimalian,0,,-,0,,-,966,PROTEI,海外,1343,PAL-S,海外,0,,-
4th style,LOVE WILL・・・,0,,-,367,CH1AKI,海外,749,IIDX29,海外,1456,SIRASE,海外,0,,-
4th style,KAMIKAZE,0,,-,496,RAIN,海外,1439,IIDX29,海外,2251,P1EN.,海外,0,,-
4th style,Jam&Marmalade,0,,-,712,KTGR,海外,561,SEIKIN,海外,1006,NATORI,海外,0,,-
4th style,Hitch Hiker2,0,,-,475,CH1AKI,海外,979,DKG,海外,1299,IIDX29,海外,1916,LAWSON,海外
4th style,HIGHER,0,,-,0,,-,586,NONAME,海外,1235,ERA,海外,0,,-
4th style,FLOWERS for ALBION,0,,-,239,IIDX29,海外,441,IIDX29,海外,0,,-,0,,-
4th style,era (step mix),0,,-,1004,14-FVR,海外,1215,14-FVR,海外,1668,NATORI,海外,0,,-
4th style,empathy,0,,-,596,CH1AKI,海外,1277,METHY,海外,1444,NATORI,海外,0,,-
4th style,DXY!,0,,-,871,NONAME,海外,1444,KRAKEN,海外,2229,NATORI,海外,0,,-
4th style,Clione,0,,-,349,KURANT,海外,807,MTMT,海外,1601,NATORI,海外,2122,NATORI,海外
4th style,CHECKING YOU OUT,0,,-,404,NONAME,海外,894,LAWSON,海外,1271,LAWSON,海外,0,,-
4th style,Burnin' The Floor,0,,-,500,IIDX29,海外,952,IIDX29,海外,1436,NATORI,海外,0,,-
4th style,Broken My Heart,0,,-,587,C-LAS,海外,1378,CAT.,海外,1803,NATORI,海外,0,,-
4th style,B4U,0,,-,867,$EXY,海外,1266,MTMT,海外,1994,NATORI,海外,0,,-
4th style,ABSOLUTE,0,,-,1004,NONAME,海外,1747,IIDX29,海外,2379,SIRASE,海外,2659,ERA,海外
4th style,250bpm,0,,-,417,AIGEIM,海外,934,UNCO3*,海外,1293,ALDRA,海外,0,,-
5th style,V,270,PONY,海外,1187,SATORI,海外,2440,IIDX29,海外,2887,IIDX29,海外,0,,-
5th style,THE SHINING POLARIS,0,,-,934,X-KYAK,海外,1194,KRAKEN,海外,1521,KYA-RU,海外,0,,-
5th style,THE CUBE,0,,-,350,NERF,海外,1248,X-KYAK,海外,1354,NATORI,海外,0,,-
5th style,sync,0,,-,1043,METHY,海外,1918,SHMERT,海外,2355,NATORI,海外,0,,-
5th style,still my words,0,,-,664,CH1AKI,海外,1231,NATORI,海外,0,,-,0,,-
5th style,STILL IN MY HEART,0,,-,0,,-,1253,DDDDX,海外,1853,LAWSON,海外,0,,-
5th style,Spin the disc,0,,-,498,ACCELA,海外,1130,KTGR,海外,1301,ERA,海外,0,,-
5th style,sometime,0,,-,339,-101GO,海外,1007,METHY,海外,1312,NATORI,海外,0,,-
5th style,RISLIM,0,,-,805,LUCI?!,海外,1202,ERA,海外,0,,-,0,,-
5th style,RIDE ON THE LIGHT (HI GREAT MIX),0,,-,689,GTXIAS,海外,710,NONAME,海外,1703,LAWSON,海外,1829,NATORI,海外
5th style,Regulus,0,,-,951,CAT.,海外,1178,KRAKEN,海外,1549,NANASE,海外,0,,-
5th style,Real,0,,-,0,,-,1226,SOMARI,海外,1757,CSGO,海外,0,,-
5th style,Radical Faith,0,,-,700,ACCELA,海外,1438,DD.ZAI,海外,1291,NATORI,海外,0,,-
5th style,QQQ,0,,-,887,NONAME,海外,1881,SHMERT,海外,2161,NATORI,海外,0,,-
5th style,outer wall,0,,-,0,,-,1256,METHY,海外,1681,IIDX29,海外,0,,-
5th style,LOVE AGAIN TONIGHT～for Mellisa mix～,0,,-,480,NVRAM,海外,937,JAK-SU,海外,1083,SUFOLK,海外,0,,-
5th style,in my eyes,0,,-,0,,-,1331,CRAM,海外,1418,*ITO.*,海外,0,,-
