バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,796,STEEL*,神奈川県,1054,STEEL*,神奈川県,1162,DON*,韓国,0,,-
1st&substream,RUGGED ASH,0,,-,370,16GO!?,神奈川県,402,16GO!?,神奈川県,1104,NUCHIO,茨城県,2081,KKM*,韓国
1st&substream,R3,0,,-,657,RE*,和歌山県,736,ITSUKI,岐阜県,908,CYBERX,神奈川県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,559,TORO,岡山県,752,RE*,和歌山県,1122,PEACE,愛知県,0,,-
1st&substream,Macho Gang,0,,-,382,DOLCE*,岩手県,1084,IMOTO*,大阪府,1664,PEACE,愛知県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,196,16GO!?,神奈川県,244,YUUNA*,岐阜県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,877,RE*,和歌山県,1010,GIGANT,和歌山県,1214,I6VV,神奈川県,0,,-
1st&substream,gentle stress,0,,-,344,04*,東京都,684,IMOTO*,大阪府,1455,KIDO.,茨城県,0,,-
1st&substream,GENOM SCREAMS,0,,-,422,*9N2*,愛知県,827,STEEL*,神奈川県,1072,KKM*,韓国,0,,-
1st&substream,GAMBOL,0,,-,274,16GO!?,神奈川県,274,YUUNA*,岐阜県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,408,16GO!?,神奈川県,522,IMOTO*,大阪府,580,IMOTO*,大阪府,0,,-
1st&substream,deep in you,0,,-,500,04*,東京都,508,STEEL*,神奈川県,666,BBMART,愛知県,0,,-
1st&substream,5.1.1.,0,,-,198,16GO!?,神奈川県,1022,RE*,和歌山県,1572,CHARM,韓国,0,,-
1st&substream,22DUNK,0,,-,528,STEEL*,神奈川県,645,REBEL,東京都,658,CYBERX,神奈川県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,508,IMOTO*,大阪府,626,IMOTO*,大阪府,648,IMOTO*,大阪府,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,578,NO4CUP,山梨県,867,HINA.S,大分県,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,875,04*,東京都,1130,STEEL*,神奈川県,1233,CYBERX,神奈川県,0,,-
2nd style,I Was The One,0,,-,536,04*,東京都,652,ITSUKI,岐阜県,695,AARR88,埼玉県,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,776,CL0VER,青森県,960,ITSUKI,岐阜県,1073,CHARM,韓国,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,742,CL0VER,青森県,1067,RE*,和歌山県,1138,KINUYO,埼玉県,0,,-
2nd style,.59,0,,-,717,04*,東京都,1023,MONO,愛知県,1166,TETSUO,東京都,0,,-
4th style,Voltage (feat. Hidemaru),0,,-,948,BGI#36,埼玉県,1253,CHP*1E,鹿児島県,1338,PEACE,愛知県,0,,-
4th style,SWEET LAB,0,,-,555,STEEL*,神奈川県,974,TUTTYO,岐阜県,1382,DOLCE*,岩手県,0,,-
4th style,starmine,448,NT-ZMC,富山県,906,7KATA2,神奈川県,1430,MONO,愛知県,1599,MOKA.A,茨城県,0,,-
