バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,773,DR.LUV,埼玉県,981,SUGA.G,埼玉県,1158,1-PIN,埼玉県,0,,-
1st&substream,RUGGED ASH,0,,-,362,REIJI,埼玉県,401,KO-4AN,埼玉県,1098,KINUYO,埼玉県,2065,UCCHIE,埼玉県
1st&substream,R3,0,,-,640,ANTHEI,埼玉県,728,AARR88,埼玉県,907,PAYA,埼玉県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,549,ANTHEI,埼玉県,735,MASA.D,埼玉県,1119,KINUYO,埼玉県,0,,-
1st&substream,Macho Gang,0,,-,380,JIN,埼玉県,1027,HASHI,埼玉県,1653,KINUYO,埼玉県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,196,AARR88,埼玉県,244,&#9733,埼玉県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,858,ANTHEI,埼玉県,970,MOOG56,埼玉県,1212,KINUYO,埼玉県,0,,-
1st&substream,gentle stress,0,,-,334,SUGA.G,埼玉県,665,ANTHEI,埼玉県,1450,KINUYO,埼玉県,0,,-
1st&substream,GENOM SCREAMS,0,,-,406,REIJI,埼玉県,808,DAQN,埼玉県,1065,GO*,埼玉県,0,,-
1st&substream,GAMBOL,0,,-,268,8GXAAA,埼玉県,274,893573,埼玉県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,403,REIJI,埼玉県,504,SUGA.G,埼玉県,576,AARR88,埼玉県,0,,-
1st&substream,deep in you,0,,-,484,ZZYANN,埼玉県,503,L1E-IV,埼玉県,663,INKYO,埼玉県,0,,-
1st&substream,5.1.1.,0,,-,197,ZZYANN,埼玉県,1016,AARR88,埼玉県,1564,AARR88,埼玉県,0,,-
1st&substream,22DUNK,0,,-,502,REIJI,埼玉県,629,8GXAAA,埼玉県,654,!?!?,埼玉県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,489,H.IKA,埼玉県,605,KEU,埼玉県,648,AARR88,埼玉県,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,563,KLON,埼玉県,862,BGI#36,埼玉県,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,864,8GXAAA,埼玉県,1062,ZZYANN,埼玉県,1226,UBIBO.,埼玉県,0,,-
2nd style,I Was The One,0,,-,524,REIJI,埼玉県,630,JASHIN,埼玉県,695,AARR88,埼玉県,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,732,DR.LUV,埼玉県,926,RECSEA,埼玉県,1070,KINUYO,埼玉県,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,704,P-KANA,埼玉県,1016,DR.LUV,埼玉県,1138,KINUYO,埼玉県,0,,-
2nd style,.59,0,,-,697,REIJI,埼玉県,1005,8GXAAA,埼玉県,1162,KINUYO,埼玉県,0,,-
3rd style,THE SAFARI,364,39TAN*,埼玉県,1163,ZZYANN,埼玉県,1767,GO*,埼玉県,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,276,REIJI,埼玉県,396,JANNE.,埼玉県,0,,-,0,,-
3rd style,Skyscraper,0,,-,693,REIJI,埼玉県,1139,ZZYANN,埼玉県,1252,KINUYO,埼玉県,0,,-
3rd style,Schlagwerk,0,,-,813,ANTHEI,埼玉県,1273,MMTRQ,埼玉県,1684,PAYA,埼玉県,0,,-
3rd style,REINCARNATION,0,,-,821,REIJI,埼玉県,977,UMLB,埼玉県,1276,KINUYO,埼玉県,0,,-
3rd style,R5,0,,-,738,KLON,埼玉県,1149,DADDY,埼玉県,1773,UCCHIE,埼玉県,0,,-
3rd style,Presto,0,,-,522,REIJI,埼玉県,945,MENO,埼玉県,1013,KINUYO,埼玉県,0,,-
3rd style,LEADING CYBER,0,,-,816,DR.LUV,埼玉県,1169,DR.LUV,埼玉県,1279,KINUYO,埼玉県,0,,-
3rd style,Holic,0,,-,753,SRAI,埼玉県,1190,39TAN*,埼玉県,1747,UCCHIE,埼玉県,0,,-
