バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,769,BERI,新潟県,908,XYZ,新潟県,1147,REO,新潟県,0,,-
1st&substream,RUGGED ASH,0,,-,364,AGYPO3,新潟県,395,NOA,新潟県,1074,REO,新潟県,2008,W,新潟県
1st&substream,R3,0,,-,569,CYBERF,新潟県,717,ROZE,新潟県,902,REO,新潟県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,337,SITM,新潟県,731,SUGAR,新潟県,1112,REO,新潟県,0,,-
1st&substream,Macho Gang,0,,-,372,ZWEI,新潟県,1006,ATY&CO,新潟県,1623,S,新潟県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,196,Y.Y-LH,新潟県,244,REO,新潟県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,784,CYBERF,新潟県,913,REST,新潟県,1196,MAKO-G,新潟県,0,,-
1st&substream,gentle stress,0,,-,332,AGYPO3,新潟県,672,AGYPO3,新潟県,1438,REO,新潟県,0,,-
1st&substream,GENOM SCREAMS,0,,-,379,CYBERF,新潟県,797,SYOCHA,新潟県,1064,REO,新潟県,0,,-
1st&substream,GAMBOL,0,,-,274,MAKO-G,新潟県,274,Y.Y-LH,新潟県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,402,DIVE,新潟県,471,REST,新潟県,578,REO,新潟県,0,,-
1st&substream,deep in you,0,,-,452,NO4XTK,新潟県,489,LEAFLY,新潟県,654,IIDX18,新潟県,0,,-
1st&substream,5.1.1.,0,,-,198,SYOCHA,新潟県,980,NEUTRE,新潟県,1571,AXIOM.,新潟県,0,,-
1st&substream,22DUNK,0,,-,468,NO4XTK,新潟県,620,O.NAI,新潟県,656,REO,新潟県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,486,Y.Y-LH,新潟県,602,EVO!,新潟県,645,IIDX18,新潟県,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,547,KOGUMA,新潟県,858,IIDX18,新潟県,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,861,ZWEI,新潟県,1093,INTAI,新潟県,1217,REO,新潟県,0,,-
