バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,752,DUKE,石川県,933,T&#97Q,石川県,1141,DES-YU,石川県,0,,-
1st&substream,RUGGED ASH,0,,-,355,DUKE,石川県,391,DUKE,石川県,1053,YOUKI,石川県,1987,AZUSA,石川県
1st&substream,R3,0,,-,631,DUKE,石川県,699,T&#97Q,石川県,900,AZUSA,石川県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,554,DUKE,石川県,723,DUKE,石川県,1096,DES-YU,石川県,0,,-
1st&substream,Macho Gang,0,,-,374,PASTEL,石川県,968,FIND,石川県,1610,4S.E1.,石川県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,193,DUKE,石川県,244,DES-YU,石川県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,849,DUKE,石川県,945,TS8,石川県,1190,DES-YU,石川県,0,,-
1st&substream,gentle stress,0,,-,336,DUKE,石川県,642,T&#97Q,石川県,1439,DES-YU,石川県,0,,-
1st&substream,GENOM SCREAMS,0,,-,410,DUKE,石川県,696,DUKE,石川県,1065,DES-YU,石川県,0,,-
1st&substream,GAMBOL,0,,-,268,DUKE,石川県,274,DES-YU,石川県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,391,DUKE,石川県,487,DUKE,石川県,571,DES-YU,石川県,0,,-
1st&substream,deep in you,0,,-,475,DUKE,石川県,467,DUKE,石川県,662,DES-YU,石川県,0,,-
1st&substream,5.1.1.,0,,-,195,DUKE,石川県,966,DUKE,石川県,1562,336RAU,石川県,0,,-
1st&substream,22DUNK,0,,-,488,DUKE,石川県,601,DUKE,石川県,652,DES-YU,石川県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,491,DUKE,石川県,598,DUKE,石川県,646,DES-YU,石川県,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,550,DUKE,石川県,857,DES-YU,石川県,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,842,TORY,石川県,1054,DUKE,石川県,1210,DES-YU,石川県,0,,-
2nd style,I Was The One,0,,-,516,DUKE,石川県,631,DUKE,石川県,683,DES-YU,石川県,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,730,DUKE,石川県,878,DUKE,石川県,1060,DES-YU,石川県,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,700,DUKE,石川県,968,DUKE,石川県,1118,DES-YU,石川県,0,,-
