バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,720,RIA,福井県,1054,HAG-A,福井県,1110,NA7MI*,福井県,0,,-
1st&substream,RUGGED ASH,0,,-,368,GI-TA3,福井県,399,GI-TA3,福井県,1062,NKMR,福井県,1976,SAEKI.,福井県
1st&substream,R3,0,,-,315,MITT,福井県,595,CW.,福井県,870,LUCCA,福井県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,0,,-,675,LEAN*,福井県,1100,E-C-B,福井県,0,,-
1st&substream,Macho Gang,0,,-,367,NA7MI*,福井県,1009,RIKI-P,福井県,1541,R-ALI,福井県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,190,620,福井県,240,ZWAUTH,福井県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,838,OKERA,福井県,895,58&RIQ,福井県,1147,KOBA84,福井県,0,,-
1st&substream,gentle stress,0,,-,331,OKERA,福井県,666,RIKI-P,福井県,1435,E-C-B,福井県,0,,-
1st&substream,GENOM SCREAMS,0,,-,270,MITT,福井県,762,KI4DA,福井県,1043,IWAZO,福井県,0,,-
1st&substream,GAMBOL,0,,-,272,GI-TA3,福井県,270,INDEX,福井県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,383,LEAN*,福井県,220,GG,福井県,561,LUCCA,福井県,0,,-
1st&substream,deep in you,0,,-,490,620,福井県,475,CW.,福井県,651,SAEKI.,福井県,0,,-
1st&substream,5.1.1.,0,,-,197,RIKI-P,福井県,1005,24NO*F,福井県,1545,SAEKI.,福井県,0,,-
1st&substream,22DUNK,0,,-,508,CW.,福井県,608,CW.,福井県,636,ZWAUTH,福井県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,500,GI-TA3,福井県,509,SASIDE,福井県,643,SAEKI.,福井県,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,269,HIBNK,福井県,844,ZWAUTH,福井県,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,328,GG,福井県,998,LEAN*,福井県,1197,R-ALI,福井県,0,,-
