バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,763,NO4CUP,山梨県,1029,NO4CUP,山梨県,1136,KINJO?,山梨県,0,,-
1st&substream,RUGGED ASH,0,,-,366,NO4CUP,山梨県,395,$6TM9$,山梨県,1059,NO4CUP,山梨県,1967,K.FUJI,山梨県
1st&substream,R3,0,,-,647,NO4CUP,山梨県,727,NO4CUP,山梨県,892,$6TM9$,山梨県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,546,NO4CUP,山梨県,742,NO4CUP,山梨県,1074,ALT-12,山梨県,0,,-
1st&substream,Macho Gang,0,,-,377,NO4CUP,山梨県,1038,NO4CUP,山梨県,1605,KINJO?,山梨県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,192,NO4CUP,山梨県,241,KINJO?,山梨県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,859,NO4CUP,山梨県,984,NO4CUP,山梨県,1158,KINJO?,山梨県,0,,-
1st&substream,gentle stress,0,,-,341,NO4CUP,山梨県,679,NO4CUP,山梨県,1430,IIDX30,山梨県,0,,-
1st&substream,GENOM SCREAMS,0,,-,416,$6TM9$,山梨県,824,NO4CUP,山梨県,1046,KINJO?,山梨県,0,,-
1st&substream,GAMBOL,0,,-,268,$6TM9$,山梨県,274,NO4CUP,山梨県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,401,NO4CUP,山梨県,514,NO4CUP,山梨県,579,NO4CUP,山梨県,0,,-
1st&substream,deep in you,0,,-,488,NO4CUP,山梨県,504,NO4CUP,山梨県,650,NOOB,山梨県,0,,-
