バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,610,KKTX76,滋賀県,873,NAWONO,滋賀県,1123,MIRIA,滋賀県,0,,-
1st&substream,RUGGED ASH,0,,-,332,FIRIS,滋賀県,372,IIDX30,滋賀県,1101,PANKO,滋賀県,2034,PANKO,滋賀県
1st&substream,R3,0,,-,644,YUKI-.,滋賀県,706,YUKI-.,滋賀県,887,R.K.,滋賀県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,509,LOGITK,滋賀県,486,SYU.,滋賀県,1077,KOTA3,滋賀県,0,,-
1st&substream,Macho Gang,0,,-,329,IIDX30,滋賀県,902,OP.000,滋賀県,1606,NOCCHI,滋賀県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,193,HIKO,滋賀県,242,LLENN,滋賀県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,678,LOGITK,滋賀県,747,SHANA8,滋賀県,1138,SHUKA,滋賀県,0,,-
1st&substream,gentle stress,0,,-,328,SHIKI,滋賀県,638,TYRAN,滋賀県,1409,LLENN,滋賀県,0,,-
1st&substream,GENOM SCREAMS,0,,-,228,ICH!*,滋賀県,722,VUELTA,滋賀県,1069,MI7RAI,滋賀県,0,,-
1st&substream,GAMBOL,0,,-,258,FIRIS,滋賀県,274,N.KJ,滋賀県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,386,GRATIN,滋賀県,479,IIDX30,滋賀県,576,R.K.,滋賀県,0,,-
1st&substream,deep in you,0,,-,416,FIRIS,滋賀県,428,YAYO84,滋賀県,645,HIKO,滋賀県,0,,-
1st&substream,5.1.1.,0,,-,184,FIRIS,滋賀県,857,FALCON,滋賀県,1545,NAPON,滋賀県,0,,-
1st&substream,22DUNK,0,,-,447,KKTX76,滋賀県,562,ROLLIN,滋賀県,650,R.K.,滋賀県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,460,LOGITK,滋賀県,624,8VSZU4,滋賀県,642,R.K.,滋賀県,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,445,LOGITK,滋賀県,861,8VSZU4,滋賀県,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,366,TKT,滋賀県,1040,QQQ,滋賀県,1190,AMESHO,滋賀県,0,,-
2nd style,I Was The One,0,,-,497,IIDX30,滋賀県,537,CHUN,滋賀県,685,HIKO,滋賀県,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,485,LOGITK,滋賀県,826,NYET,滋賀県,1056,R.K.,滋賀県,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,304,SAN,滋賀県,806,HANABI,滋賀県,1115,AMESHO,滋賀県,0,,-
2nd style,.59,0,,-,337,AAA,滋賀県,995,MIRIA,滋賀県,1149,R.K.,滋賀県,0,,-
3rd style,THE SAFARI,354,FIRIS,滋賀県,906,CHALA?,滋賀県,1763,R.K.,滋賀県,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,248,ROLLIN,滋賀県,396,R.K.,滋賀県,0,,-,0,,-
3rd style,Skyscraper,0,,-,645,KEI,滋賀県,1131,SHUKA,滋賀県,1239,R.K.,滋賀県,0,,-
3rd style,Schlagwerk,0,,-,701,LOGITK,滋賀県,1246,4690,滋賀県,1681,R.K.,滋賀県,0,,-
3rd style,REINCARNATION,0,,-,371,TKT,滋賀県,950,TYRAN,滋賀県,1252,YUHEY,滋賀県,0,,-
3rd style,R5,0,,-,747,YUKI-.,滋賀県,1112,GUMCN.,滋賀県,1759,PANKO,滋賀県,0,,-
3rd style,Presto,0,,-,251,TKT,滋賀県,914,K-NEKO,滋賀県,1007,R.K.,滋賀県,0,,-
3rd style,LEADING CYBER,0,,-,710,YAYO84,滋賀県,948,IIDX30,滋賀県,1209,75,滋賀県,0,,-
3rd style,Holic,0,,-,701,FIRIS,滋賀県,1085,QQQ,滋賀県,1717,MI7RAI,滋賀県,0,,-
3rd style,era (nostalmix),0,,-,799,AI-R,滋賀県,1086,AAAAAA,滋賀県,1512,PANKO,滋賀県,0,,-
3rd style,Don't Stop!,0,,-,0,,-,803,NAWONO,滋賀県,877,ES.,滋賀県,0,,-
3rd style,CAN'T STOP FALLIN'IN LOVE,0,,-,408,LOGITK,滋賀県,1215,75,滋賀県,0,,-,0,,-
4th style,Voltage (feat. Hidemaru),0,,-,810,AI-R,滋賀県,1235,MI7RAI,滋賀県,1317,MI7RAI,滋賀県,0,,-
4th style,SWEET LAB,0,,-,505,IIDX30,滋賀県,783,AI-R,滋賀県,1291,6KKA,滋賀県,0,,-
4th style,starmine,400,NONO,滋賀県,887,YUKI-.,滋賀県,1318,HARE-L,滋賀県,1567,NAPON,滋賀県,0,,-
4th style,Mr.T.(take me higher),0,,-,603,PON*RS,滋賀県,940,SHUKA,滋賀県,1757,MI7RAI,滋賀県,0,,-
4th style,minimalian,0,,-,386,KUMA,滋賀県,783,PON*RS,滋賀県,1382,R.K.,滋賀県,0,,-
4th style,LOVE WILL・・・,0,,-,426,KUMA,滋賀県,712,SHUKA,滋賀県,1458,AMESHO,滋賀県,0,,-
4th style,KAMIKAZE,0,,-,954,YUKI-.,滋賀県,1298,FALCON,滋賀県,2290,R.K.,滋賀県,0,,-
4th style,Jam&Marmalade,0,,-,0,,-,673,IIDX30,滋賀県,1009,NOCCHI,滋賀県,0,,-
4th style,Hitch Hiker2,0,,-,754,FIRIS,滋賀県,1128,NAWONO,滋賀県,1300,AMESHO,滋賀県,1913,HIKO,滋賀県
4th style,HIGHER,0,,-,345,N,滋賀県,750,GYOFUN,滋賀県,1273,AMESHO,滋賀県,0,,-
4th style,FLOWERS for ALBION,0,,-,224,FIRIS,滋賀県,439,MI7RAI,滋賀県,0,,-,0,,-
4th style,era (step mix),0,,-,1022,AI-R,滋賀県,1393,YUHEY,滋賀県,1711,MI7RAI,滋賀県,0,,-
4th style,empathy,0,,-,762,KKTX76,滋賀県,1250,MDHIME,滋賀県,1422,OMEGA.,滋賀県,0,,-
4th style,DXY!,0,,-,1169,QQQ,滋賀県,1801,24,滋賀県,2232,MI7RAI,滋賀県,0,,-
4th style,Clione,0,,-,459,KKTX76,滋賀県,950,8VSZU4,滋賀県,1589,NAPON,滋賀県,2115,AMESHO,滋賀県
4th style,CHECKING YOU OUT,0,,-,619,17N7-R,滋賀県,809,TREK,滋賀県,1353,MI7RAI,滋賀県,0,,-
4th style,Burnin' The Floor,0,,-,519,NONO,滋賀県,905,QQQ,滋賀県,1434,52KING,滋賀県,0,,-
4th style,Broken My Heart,0,,-,753,KKTX76,滋賀県,1352,NAWONO,滋賀県,1788,NAPON,滋賀県,0,,-
4th style,B4U,0,,-,1006,YUKI-.,滋賀県,1381,NAWONO,滋賀県,1988,CAFEX,滋賀県,0,,-
4th style,ABSOLUTE,0,,-,1140,VUELTA,滋賀県,1468,CONRAD,滋賀県,2402,MI7RAI,滋賀県,2636,HIKO,滋賀県
4th style,250bpm,0,,-,517,MANA,滋賀県,905,TREK,滋賀県,1346,NAPON,滋賀県,0,,-
5th style,V,312,NONO,滋賀県,1259,-SB-,滋賀県,2497,AMESHO,滋賀県,3001,AAAAAA,滋賀県,0,,-
5th style,THE SHINING POLARIS,0,,-,709,MANA,滋賀県,1187,QQQ,滋賀県,1548,AMESHO,滋賀県,0,,-
5th style,THE CUBE,0,,-,448,LOGITK,滋賀県,1067,SHANA8,滋賀県,1340,YUHEY,滋賀県,0,,-
5th style,sync,0,,-,1045,YUKI-.,滋賀県,1717,NAWONO,滋賀県,2364,-111-,滋賀県,0,,-
5th style,still my words,0,,-,869,4690,滋賀県,1221,AMESHO,滋賀県,0,,-,0,,-
5th style,STILL IN MY HEART,0,,-,630,SOSDAN,滋賀県,1194,NAWONO,滋賀県,1904,PANKO,滋賀県,0,,-
5th style,Spin the disc,0,,-,758,FIRIS,滋賀県,1175,TREK,滋賀県,1326,PANKO,滋賀県,0,,-
5th style,sometime,0,,-,733,YUKI-.,滋賀県,856,IIDX30,滋賀県,1320,PANKO,滋賀県,0,,-
5th style,RISLIM,0,,-,348,KOH,滋賀県,1177,ES.,滋賀県,0,,-,0,,-
5th style,RIDE ON THE LIGHT (HI GREAT MIX),0,,-,878,YUKI-.,滋賀県,1016,YUKI-.,滋賀県,1715,-111-,滋賀県,1802,AMESHO,滋賀県
5th style,Regulus,0,,-,816,SHANA8,滋賀県,1471,24,滋賀県,1716,R.K.,滋賀県,0,,-
