バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,733,0801,京都府,990,KRNK,京都府,1128,APIN58,京都府,0,,-
1st&substream,RUGGED ASH,0,,-,354,0801,京都府,393,1.96-H,京都府,1078,HIRO-T,京都府,2043,FLADY,京都府
1st&substream,R3,0,,-,581,0801,京都府,662,DAY,京都府,891,HIRO-T,京都府,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,522,0801,京都府,717,1.96-H,京都府,1106,HIRO-T,京都府,0,,-
1st&substream,Macho Gang,0,,-,350,HIRONO,京都府,933,1.96-H,京都府,1618,FLADY,京都府,0,,-
1st&substream,KEEP ON MOVIN',0,,-,181,0801,京都府,244,53SAMA,京都府,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,845,0801,京都府,838,WEP,京都府,1207,F6,京都府,0,,-
1st&substream,gentle stress,0,,-,335,YUDAI,京都府,633,YOU,京都府,1443,HIRO-T,京都府,0,,-
1st&substream,GENOM SCREAMS,0,,-,415,&,京都府,729,1.96-H,京都府,1063,HIRO-T,京都府,0,,-
1st&substream,GAMBOL,0,,-,271,53SAMA,京都府,274,F6,京都府,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,371,0801,京都府,495,3KNEKO,京都府,577,HIRO-T,京都府,0,,-
1st&substream,deep in you,0,,-,470,0801,京都府,487,&,京都府,659,HIRO-T,京都府,0,,-
1st&substream,5.1.1.,0,,-,195,DI-IVI,京都府,1004,*R41-G,京都府,1562,HIRO-T,京都府,0,,-
1st&substream,22DUNK,0,,-,491,MICHI,京都府,629,&,京都府,646,VIVID2,京都府,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,488,0801,京都府,596,1.96-H,京都府,640,ICHI,京都府,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,543,0801,京都府,849,ICHI,京都府,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,868,&,京都府,991,OKINAH,京都府,1204,U-POWD,京都府,0,,-
2nd style,I Was The One,0,,-,533,RYOSHI,京都府,597,&#8203,京都府,686,ICHI,京都府,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,711,0801,京都府,783,&#8203,京都府,1056,APIN58,京都府,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,416,AKATUK,京都府,0,,-,1114,ICHI,京都府,0,,-
2nd style,.59,0,,-,651,MICHI,京都府,955,FUGA,京都府,1152,24NAR1,京都府,0,,-
4th style,Voltage (feat. Hidemaru),0,,-,893,FUNNY,京都府,1162,*MIPO*,京都府,1326,FLADY,京都府,0,,-
4th style,SWEET LAB,0,,-,523,0801,京都府,861,1.96-H,京都府,1366,FLADY,京都府,0,,-
4th style,starmine,428,0801,京都府,634,TOMA$H,京都府,1284,KARU,京都府,1576,HIRO-T,京都府,0,,-
4th style,Mr.T.(take me higher),0,,-,468,DSUKE3,京都府,935,1.96-H,京都府,1736,PIMAN,京都府,0,,-
4th style,minimalian,0,,-,488,KANADE,京都府,984,DAY,京都府,1403,F6,京都府,0,,-
4th style,LOVE WILL・・・,0,,-,506,CPU1,京都府,727,1.96-H,京都府,1459,24NAR1,京都府,0,,-
4th style,KAMIKAZE,0,,-,657,TOUYA3,京都府,1335,DAY,京都府,2271,HIRO-T,京都府,0,,-
4th style,Jam&Marmalade,0,,-,702,M!TSBA,京都府,770,DAY,京都府,1006,24NAR1,京都府,0,,-
4th style,Hitch Hiker2,0,,-,736,0801,京都府,1124,MICHI,京都府,1303,TKY,京都府,1930,FLADY,京都府
4th style,HIGHER,0,,-,490,0801,京都府,886,1.96-H,京都府,1273,APIN58,京都府,0,,-
4th style,FLOWERS for ALBION,0,,-,173,&#8203,京都府,438,HIRO-T,京都府,0,,-,0,,-
4th style,era (step mix),0,,-,888,KAREN,京都府,1429,24NAR1,京都府,1698,HIRO-T,京都府,0,,-
4th style,empathy,0,,-,783,HUSKY,京都府,1257,FUGA,京都府,1463,HIRO-T,京都府,0,,-
4th style,DXY!,0,,-,1216,RAI,京都府,1838,RYUSEI,京都府,2247,FLADY,京都府,0,,-
4th style,Clione,0,,-,492,SMZS,京都府,921,1.96-H,京都府,1618,F6,京都府,2153,F6,京都府
4th style,CHECKING YOU OUT,0,,-,666,F6,京都府,908,FLADY,京都府,1347,FLADY,京都府,0,,-
4th style,Burnin' The Floor,0,,-,540,0801,京都府,896,1.96-H,京都府,1434,HIRO-T,京都府,0,,-
4th style,Broken My Heart,0,,-,823,KAREN,京都府,1399,TAKA,京都府,1799,HIRO-T,京都府,0,,-
4th style,B4U,0,,-,915,HUVMER,京都府,1534,FFSRAA,京都府,2011,FLADY,京都府,0,,-
