バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,781,T.T,和歌山県,872,******,和歌山県,1145,GBS,和歌山県,0,,-
1st&substream,RUGGED ASH,0,,-,364,RE*,和歌山県,402,RE*,和歌山県,1064,RAIDOU,和歌山県,1933,3F*4NZ,和歌山県
1st&substream,R3,0,,-,657,RE*,和歌山県,724,RE*,和歌山県,885,DESERT,和歌山県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,533,SASORI,和歌山県,752,RE*,和歌山県,1099,RE*,和歌山県,0,,-
1st&substream,Macho Gang,0,,-,371,3F*4NZ,和歌山県,994,T.T,和歌山県,1579,WAKAME,和歌山県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,191,3F*4NZ,和歌山県,244,RE*,和歌山県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,877,RE*,和歌山県,1010,GIGANT,和歌山県,1135,AZUKI7,和歌山県,0,,-
1st&substream,gentle stress,0,,-,341,RE*,和歌山県,615,NVS.??,和歌山県,1453,GIGANT,和歌山県,0,,-
1st&substream,GENOM SCREAMS,0,,-,405,RE*,和歌山県,788,PENGIN,和歌山県,1063,RAITO.,和歌山県,0,,-
1st&substream,GAMBOL,0,,-,273,RE*,和歌山県,274,RE*,和歌山県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,406,RE*,和歌山県,442,MIPPLE,和歌山県,577,WAKAME,和歌山県,0,,-
1st&substream,deep in you,0,,-,486,T.T,和歌山県,426,MIPPLE,和歌山県,647,3F*4NZ,和歌山県,0,,-
1st&substream,5.1.1.,0,,-,198,RE*,和歌山県,1022,RE*,和歌山県,1569,GBS,和歌山県,0,,-
1st&substream,22DUNK,0,,-,525,RE*,和歌山県,623,RE*,和歌山県,653,GIGANT,和歌山県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,508,RE*,和歌山県,626,RE*,和歌山県,648,GBS,和歌山県,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,439,AKERON,和歌山県,853,GIGANT,和歌山県,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,859,T.T,和歌山県,1085,3F*4NZ,和歌山県,1214,RAITO.,和歌山県,0,,-
2nd style,I Was The One,0,,-,428,SAAAAA,和歌山県,606,ARUMI,和歌山県,668,T.T,和歌山県,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,751,T.T,和歌山県,940,RE*,和歌山県,985,T.T,和歌山県,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,543,SAAAAA,和歌山県,1067,RE*,和歌山県,1126,GIGANT,和歌山県,0,,-
2nd style,.59,0,,-,505,SAAAAA,和歌山県,820,******,和歌山県,1162,GIGANT,和歌山県,0,,-
3rd style,THE SAFARI,361,RE*,和歌山県,973,H4T4M0,和歌山県,1746,GIGANT,和歌山県,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,282,RE*,和歌山県,396,RE*,和歌山県,0,,-,0,,-
3rd style,Skyscraper,0,,-,711,SASORI,和歌山県,862,******,和歌山県,1250,GIGANT,和歌山県,0,,-
3rd style,Schlagwerk,0,,-,812,SASORI,和歌山県,1197,NVS.??,和歌山県,1672,RAITO.,和歌山県,0,,-
3rd style,REINCARNATION,0,,-,0,,-,1026,GIGANT,和歌山県,1278,GIGANT,和歌山県,0,,-
3rd style,R5,0,,-,733,SASORI,和歌山県,1171,RE*,和歌山県,1766,RAITO.,和歌山県,0,,-
3rd style,Presto,0,,-,537,T.T,和歌山県,941,T.T,和歌山県,1006,GIGANT,和歌山県,0,,-
3rd style,LEADING CYBER,0,,-,831,T.T,和歌山県,1209,RE*,和歌山県,1275,GIGANT,和歌山県,0,,-
3rd style,Holic,0,,-,741,KASGOD,和歌山県,1133,T.T,和歌山県,1729,RAITO.,和歌山県,0,,-
3rd style,era (nostalmix),0,,-,530,HIDE,和歌山県,1056,CRASS,和歌山県,1531,RAITO.,和歌山県,0,,-
3rd style,Don't Stop!,0,,-,751,SASORI,和歌山県,802,SASORI,和歌山県,883,F.K!,和歌山県,0,,-
3rd style,CAN'T STOP FALLIN'IN LOVE,0,,-,593,T.T,和歌山県,1215,3F*4NZ,和歌山県,0,,-,0,,-
4th style,Voltage (feat. Hidemaru),0,,-,893,SASORI,和歌山県,1191,T.T,和歌山県,1327,RAITO.,和歌山県,0,,-
4th style,SWEET LAB,0,,-,487,MIPPLE,和歌山県,926,T.T,和歌山県,1373,WAKAME,和歌山県,0,,-
4th style,starmine,429,RE*,和歌山県,678,AIRHI,和歌山県,1426,RE*,和歌山県,1542,3F*4NZ,和歌山県,0,,-
4th style,Mr.T.(take me higher),0,,-,667,MA-04A,和歌山県,904,96SK,和歌山県,1763,RAITO.,和歌山県,0,,-
4th style,minimalian,0,,-,500,96SK,和歌山県,1100,GIGANT,和歌山県,1366,DESERT,和歌山県,0,,-
4th style,LOVE WILL・・・,0,,-,549,T.T,和歌山県,725,96SK,和歌山県,1460,GBS,和歌山県,0,,-
4th style,KAMIKAZE,0,,-,998,T.T,和歌山県,1466,GIGANT,和歌山県,2289,RAITO.,和歌山県,0,,-
4th style,Jam&Marmalade,0,,-,733,SASORI,和歌山県,792,SASORI,和歌山県,1020,GIGANT,和歌山県,0,,-
4th style,Hitch Hiker2,0,,-,790,SASORI,和歌山県,785,CHU,和歌山県,1325,GIGANT,和歌山県,1922,RAITO.,和歌山県
