バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,0,,-,966,SUZUKA,島根県,1101,REGEN,島根県,0,,-
1st&substream,RUGGED ASH,0,,-,201,ANONY,島根県,258,ANONY,島根県,1046,BU319,島根県,1997,FENCE,島根県
1st&substream,R3,0,,-,484,RENJAQ,島根県,673,CHARIN,島根県,832,CHARIN,島根県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,0,,-,705,LU.PSJ,島根県,1003,CHARIN,島根県,0,,-
1st&substream,Macho Gang,0,,-,228,ANONY,島根県,1031,IST-RT,島根県,1547,NACHT,島根県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,116,ANONY,島根県,227,LU.PSJ,島根県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,0,,-,0,,-,1082,YUA,島根県,0,,-
1st&substream,gentle stress,0,,-,157,NECK,島根県,425,ANONY,島根県,1426,BU319,島根県,0,,-
1st&substream,GENOM SCREAMS,0,,-,390,M.N.,島根県,565,SIJIMI,島根県,954,CHARIN,島根県,0,,-
1st&substream,GAMBOL,0,,-,243,LU.PSJ,島根県,251,K*N.SY,島根県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,0,,-,300,ANONY,島根県,534,CHARIN,島根県,0,,-
1st&substream,deep in you,0,,-,279,FCRPRO,島根県,274,SIJIMI,島根県,614,CHARIN,島根県,0,,-
1st&substream,5.1.1.,0,,-,145,RENJAQ,島根県,701,RENJAQ,島根県,1511,K*N.SY,島根県,0,,-
1st&substream,22DUNK,0,,-,493,CHARIN,島根県,602,CHARIN,島根県,616,RAN.S,島根県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,0,,-,504,RENJAQ,島根県,619,RAN.S,島根県,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,0,,-,801,CHARIN,島根県,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,0,,-,696,SIJIMI,島根県,1167,NACHT,島根県,0,,-
2nd style,I Was The One,0,,-,481,YOU,島根県,589,LU.PSJ,島根県,654,CHARIN,島根県,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,380,IIDX30,島根県,927,REGEN,島根県,973,CHARIN,島根県,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,0,,-,840,RENJAQ,島根県,996,CHARIN,島根県,0,,-
2nd style,.59,0,,-,664,M.N.,島根県,952,IST-RT,島根県,1009,MEMBOX,島根県,0,,-
4th style,Voltage (feat. Hidemaru),0,,-,0,,-,1136,SUZUKA,島根県,1254,NACHT,島根県,0,,-
4th style,SWEET LAB,0,,-,251,ANONY,島根県,906,IST-RT,島根県,1302,FENCE,島根県,0,,-
4th style,starmine,240,SAFARI,島根県,0,,-,1212,YOU,島根県,1421,CHARIN,島根県,0,,-
4th style,Mr.T.(take me higher),0,,-,532,VISSHK,島根県,768,SIJIMI,島根県,1649,REGEN,島根県,0,,-
4th style,minimalian,0,,-,227,ANONY,島根県,1034,K*N.SY,島根県,1340,REGEN,島根県,0,,-
4th style,LOVE WILL・・・,0,,-,286,FCRPRO,島根県,673,YUNA.S,島根県,1385,CHARIN,島根県,0,,-
4th style,KAMIKAZE,0,,-,0,,-,1108,RENJAQ,島根県,2202,BU319,島根県,0,,-
4th style,Jam&Marmalade,0,,-,714,LU.PSJ,島根県,656,69,島根県,977,BU319,島根県,0,,-
4th style,Hitch Hiker2,0,,-,0,,-,387,TS,島根県,1115,YATCHY,島根県,1804,REGEN,島根県
4th style,HIGHER,0,,-,299,ANONY,島根県,317,IIDX30,島根県,1190,CHARIN,島根県,0,,-
4th style,FLOWERS for ALBION,0,,-,221,LU.PSJ,島根県,425,FENCE,島根県,0,,-,0,,-
4th style,era (step mix),0,,-,1010,LU.PSJ,島根県,1254,IST-RT,島根県,1667,FENCE,島根県,0,,-
4th style,empathy,0,,-,586,3948,島根県,1077,RENJAQ,島根県,1413,NACHT,島根県,0,,-
4th style,DXY!,0,,-,1194,K*N.SY,島根県,1622,CHARIN,島根県,2191,FENCE,島根県,0,,-
4th style,Clione,0,,-,254,ANONY,島根県,346,*-*,島根県,1566,BU319,島根県,2138,FENCE,島根県
4th style,CHECKING YOU OUT,0,,-,422,LU.PSJ,島根県,758,ESSY..,島根県,1282,FENCE,島根県,0,,-
4th style,Burnin' The Floor,0,,-,294,IIDX30,島根県,185,MESO,島根県,1372,TOG,島根県,0,,-
4th style,Broken My Heart,0,,-,0,,-,984,SIJIMI,島根県,1735,REGEN,島根県,0,,-
4th style,B4U,0,,-,702,SIJIMI,島根県,1149,YUNA.S,島根県,1915,REGEN,島根県,0,,-
4th style,ABSOLUTE,0,,-,1051,RENJAQ,島根県,1507,LU.PSJ,島根県,2218,REGEN,島根県,2668,FENCE,島根県
4th style,250bpm,0,,-,270,IIDX30,島根県,758,RENJAQ,島根県,1307,REGEN,島根県,0,,-
3rd style,THE SAFARI,118,SAFARI,島根県,916,ISLA,島根県,1738,FENCE,島根県,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,183,ANONY,島根県,201,ANONY,島根県,0,,-,0,,-
3rd style,Skyscraper,0,,-,0,,-,0,,-,1187,REGEN,島根県,0,,-
3rd style,Schlagwerk,0,,-,0,,-,889,SIJIMI,島根県,1501,CHARIN,島根県,0,,-
3rd style,REINCARNATION,0,,-,0,,-,943,LU.PSJ,島根県,1112,SUZUKA,島根県,0,,-
3rd style,R5,0,,-,0,,-,1043,IST-RT,島根県,1739,FENCE,島根県,0,,-
3rd style,Presto,0,,-,410,CIPHLX,島根県,744,1JSB,島根県,936,CHARIN,島根県,0,,-
3rd style,LEADING CYBER,0,,-,789,LU.PSJ,島根県,748,69,島根県,1111,CHARIN,島根県,0,,-
