バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,729,U-OTA*,広島県,1015,MELT,広島県,1118,39RA35,広島県,0,,-
1st&substream,RUGGED ASH,0,,-,360,A1,広島県,376,HOSHIY,広島県,1083,IBUKI*,広島県,2005,NKNFAL,広島県
1st&substream,R3,0,,-,495,AAAA,広島県,688,EVO66,広島県,901,IBUKI*,広島県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,544,U-OTA*,広島県,702,EVO66,広島県,1090,TATSU*,広島県,0,,-
1st&substream,Macho Gang,0,,-,374,MELT,広島県,976,*ASPN*,広島県,1626,IBUKI*,広島県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,193,3.MPS*,広島県,244,KENRYU,広島県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,747,A1,広島県,626,MITTO#,広島県,1183,NYAMCO,広島県,0,,-
1st&substream,gentle stress,0,,-,298,2115,広島県,654,HOLY,広島県,1442,IBUKI*,広島県,0,,-
1st&substream,GENOM SCREAMS,0,,-,384,A1,広島県,801,8RU3ME,広島県,1064,IBUKI*,広島県,0,,-
1st&substream,GAMBOL,0,,-,273,MARIN.,広島県,274,3.MPS*,広島県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,393,7MAZUN,広島県,359,MITTO#,広島県,572,KENRYU,広島県,0,,-
1st&substream,deep in you,0,,-,451,A1,広島県,0,,-,654,ENMAAI,広島県,0,,-
1st&substream,5.1.1.,0,,-,194,3439,広島県,995,2-4K,広島県,1562,ARU*,広島県,0,,-
1st&substream,22DUNK,0,,-,489,A1,広島県,475,NEDO23,広島県,649,KENRYU,広島県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,491,A1,広島県,612,HOLY,広島県,646,TATSU*,広島県,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,547,A1,広島県,861,3.MPS*,広島県,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,804,A1,広島県,944,FL.SQ,広島県,1194,ARU*,広島県,0,,-
2nd style,I Was The One,0,,-,503,YOSHIT,広島県,585,A1,広島県,687,ENMAAI,広島県,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,692,A1,広島県,861,EVO66,広島県,1072,-AKI-,広島県,0,,-
