バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,476,K,徳島県,577,ORE,徳島県,646,L#RUKA,徳島県,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,177,TKG,徳島県,810,TAIL-U,徳島県,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,584,RAMUNE,徳島県,914,ORE,徳島県,1210,L#RUKA,徳島県,0,,-
2nd style,I Was The One,0,,-,0,,-,481,DGT4U,徳島県,671,12EX57,徳島県,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,693,ORE,徳島県,820,LEUCIS,徳島県,1059,L#RUKA,徳島県,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,528,DGT4U,徳島県,869,ORE,徳島県,1069,LKAR,徳島県,0,,-
2nd style,.59,0,,-,0,,-,867,LEUCIS,徳島県,1136,L#RUKA,徳島県,0,,-
1st&substream,THE EARTH LIGHT,0,,-,523,DGT4U,徳島県,958,ILUMA,徳島県,1131,KOUIKA,徳島県,0,,-
1st&substream,RUGGED ASH,0,,-,299,DGT4U,徳島県,222,RAMUNE,徳島県,1006,3MEDES,徳島県,2004,L#RUKA,徳島県
1st&substream,R3,0,,-,414,DGT4U,徳島県,706,LKAR,徳島県,899,L#RUKA,徳島県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,451,DGT4U,徳島県,710,SHU1,徳島県,1041,6,徳島県,0,,-
1st&substream,Macho Gang,0,,-,157,SY.,徳島県,837,KILN,徳島県,1591,L#RUKA,徳島県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,191,12EX57,徳島県,242,KOUIKA,徳島県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,753,DGT4U,徳島県,628,-ARK-,徳島県,1198,L#RUKA,徳島県,0,,-
1st&substream,gentle stress,0,,-,232,DJNAO,徳島県,648,SHU1,徳島県,1433,L#RUKA,徳島県,0,,-
1st&substream,GENOM SCREAMS,0,,-,122,IT054N,徳島県,803,GOQURI,徳島県,1057,L#RUKA,徳島県,0,,-
1st&substream,GAMBOL,0,,-,256,-LNK-,徳島県,274,KOUIKA,徳島県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,0,,-,445,SOL!D,徳島県,577,L#RUKA,徳島県,0,,-
1st&substream,deep in you,0,,-,303,DGT4U,徳島県,464,QUE,徳島県,650,L#RUKA,徳島県,0,,-
1st&substream,5.1.1.,0,,-,165,LKAR,徳島県,949,SOL!D,徳島県,1560,L#RUKA,徳島県,0,,-
1st&substream,22DUNK,0,,-,394,DGT4U,徳島県,620,LKAR,徳島県,650,L#RUKA,徳島県,0,,-
4th style,Voltage (feat. Hidemaru),0,,-,818,LNK-R,徳島県,1047,QUE,徳島県,1300,L#RUKA,徳島県,0,,-
4th style,SWEET LAB,0,,-,434,DGT4U,徳島県,774,LEUCIS,徳島県,1290,Q*ANON,徳島県,0,,-
4th style,starmine,337,GRU,徳島県,607,PKP,徳島県,1138,LEUCIS,徳島県,1585,L#RUKA,徳島県,0,,-
4th style,Mr.T.(take me higher),0,,-,0,,-,688,IIDX30,徳島県,1742,L#RUKA,徳島県,0,,-
4th style,minimalian,0,,-,0,,-,972,917YCH,徳島県,1394,L#RUKA,徳島県,0,,-
4th style,LOVE WILL・・・,0,,-,374,DGT4U,徳島県,0,,-,1441,L#RUKA,徳島県,0,,-
4th style,KAMIKAZE,0,,-,868,LEUCIS,徳島県,1186,MNA,徳島県,2195,KOUIKA,徳島県,0,,-
4th style,Jam&Marmalade,0,,-,401,DGT4U,徳島県,0,,-,996,L#RUKA,徳島県,0,,-
4th style,Hitch Hiker2,0,,-,555,DGT4U,徳島県,1058,LEUCIS,徳島県,1273,2BA9RO,徳島県,1919,L#RUKA,徳島県
4th style,HIGHER,0,,-,0,,-,596,SHIMA,徳島県,1254,2BA9RO,徳島県,0,,-
4th style,FLOWERS for ALBION,0,,-,198,GRU,徳島県,436,L#RUKA,徳島県,0,,-,0,,-
4th style,era (step mix),0,,-,979,LEUCIS,徳島県,1354,3U778,徳島県,1655,SHU1,徳島県,0,,-
4th style,empathy,0,,-,758,LEUCIS,徳島県,1117,LEUCIS,徳島県,1407,KOUIKA,徳島県,0,,-
