バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,237,RIN,高知県,905,FKK22,高知県,1150,Z,高知県,0,,-
1st&substream,RUGGED ASH,0,,-,294,EISUKE,高知県,364,K,高知県,1017,ILLYA.,高知県,1951,Z,高知県
1st&substream,R3,0,,-,0,,-,663,NEROON,高知県,900,3-EDGE,高知県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,0,,-,716,FKK22,高知県,1066,EULER,高知県,0,,-
1st&substream,Macho Gang,0,,-,359,RAAJJE,高知県,903,FKK22,高知県,1595,3-EDGE,高知県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,95,SYNDI,高知県,244,Z,高知県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,739,WTR,高知県,891,FKK22,高知県,1197,3-EDGE,高知県,0,,-
1st&substream,gentle stress,0,,-,335,ILLYA.,高知県,519,*TEAR*,高知県,1409,F,高知県,0,,-
1st&substream,GENOM SCREAMS,0,,-,297,EISUKE,高知県,709,FKK22,高知県,1054,3-EDGE,高知県,0,,-
1st&substream,GAMBOL,0,,-,266,3-EDGE,高知県,268,ILLYA.,高知県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,391,RAAJJE,高知県,393,HASH$$,高知県,572,Z,高知県,0,,-
1st&substream,deep in you,0,,-,0,,-,0,,-,650,3-EDGE,高知県,0,,-
1st&substream,5.1.1.,0,,-,185,4K4N3*,高知県,953,4K4N3*,高知県,1563,3-EDGE,高知県,0,,-
1st&substream,22DUNK,0,,-,277,EISUKE,高知県,546,NEROON,高知県,646,3-EDGE,高知県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,387,EISUKE,高知県,0,,-,632,3-EDGE,高知県,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,526,RAAJJE,高知県,856,3-EDGE,高知県,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,470,EISUKE,高知県,967,FKK22,高知県,1187,3-EDGE,高知県,0,,-
