バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,747,1,福岡県,1008,ROGA,福岡県,1160,KENTAN,福岡県,0,,-
1st&substream,RUGGED ASH,0,,-,349,POKYUN,福岡県,388,H.H,福岡県,1097,LOOT,福岡県,2070,SOMORI,福岡県
1st&substream,R3,0,,-,617,1,福岡県,724,5GNOGI,福岡県,901,MR2N,福岡県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,538,1,福岡県,712,1,福岡県,1116,KENTAN,福岡県,0,,-
1st&substream,Macho Gang,0,,-,370,KEIWAI,福岡県,938,$MASA$,福岡県,1647,MR2N,福岡県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,192,RV*B.L,福岡県,244,CARROT,福岡県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,832,1,福岡県,941,1,福岡県,1199,MR2N,福岡県,0,,-
1st&substream,gentle stress,0,,-,338,1,福岡県,621,YAPPO3,福岡県,1454,LOOT,福岡県,0,,-
1st&substream,GENOM SCREAMS,0,,-,398,1,福岡県,810,X-AURA,福岡県,1064,LOOT,福岡県,0,,-
1st&substream,GAMBOL,0,,-,267,NORTH,福岡県,274,CARROT,福岡県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,381,1,福岡県,489,1,福岡県,576,MR2N,福岡県,0,,-
1st&substream,deep in you,0,,-,487,.TXT,福岡県,499,CHEBEX,福岡県,663,CARROT,福岡県,0,,-
1st&substream,5.1.1.,0,,-,197,KOH,福岡県,992,UHNI,福岡県,1566,LOOT,福岡県,0,,-
1st&substream,22DUNK,0,,-,502,1,福岡県,627,NORTH,福岡県,656,MR2N,福岡県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,455,RANJI,福岡県,594,NOISE,福岡県,648,TARKUS,福岡県,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,476,TAKA23,福岡県,859,MR2N,福岡県,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,721,RIYU*,福岡県,1097,X-AURA,福岡県,1222,MR2N,福岡県,0,,-
2nd style,I Was The One,0,,-,520,KURO,福岡県,631,MOF,福岡県,690,D.C.II,福岡県,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,620,HAIRA,福岡県,811,KED.K,福岡県,1067,MR2N,福岡県,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,632,CELI*,福岡県,914,LEXI5.,福岡県,1127,LOOT,福岡県,0,,-
2nd style,.59,0,,-,704,E,福岡県,1000,MI92CH,福岡県,1157,LOOT,福岡県,0,,-
3rd style,THE SAFARI,346,NORTH,福岡県,1077,1,福岡県,1750,MR2N,福岡県,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,267,RAWEGG,福岡県,396,CARROT,福岡県,0,,-,0,,-
3rd style,Skyscraper,0,,-,662,RANJI,福岡県,1085,YAPPO3,福岡県,1250,MR2N,福岡県,0,,-
3rd style,Schlagwerk,0,,-,718,ATELL,福岡県,1218,YA,福岡県,1686,MR2N,福岡県,0,,-
3rd style,REINCARNATION,0,,-,523,EIPOI!,福岡県,969,FAMI,福岡県,1274,CO&DAI,福岡県,0,,-
3rd style,R5,0,,-,645,TAKA23,福岡県,1119,TETATU,福岡県,1761,SUZAKU,福岡県,0,,-
3rd style,Presto,0,,-,434,RANJI,福岡県,916,SUEDOW,福岡県,1010,LOOT,福岡県,0,,-
3rd style,LEADING CYBER,0,,-,695,SHIRO*,福岡県,1073,YAPPO3,福岡県,1274,MR2N,福岡県,0,,-
3rd style,Holic,0,,-,743,TACO34,福岡県,1133,YAPPO3,福岡県,1700,LOOT,福岡県,0,,-
3rd style,era (nostalmix),0,,-,814,1,福岡県,1077,SHIKIP,福岡県,1535,SOMORI,福岡県,0,,-
3rd style,Don't Stop!,0,,-,391,RAIMU,福岡県,770,KED.K,福岡県,903,U,福岡県,0,,-
3rd style,CAN'T STOP FALLIN'IN LOVE,0,,-,526,RIYU*,福岡県,1252,CO&DAI,福岡県,0,,-,0,,-
4th style,Voltage (feat. Hidemaru),0,,-,834,LLYL,福岡県,1183,UDONGE,福岡県,1332,LOOT,福岡県,0,,-
4th style,SWEET LAB,0,,-,523,1,福岡県,839,NOISE,福岡県,1373,LOOT,福岡県,0,,-
4th style,starmine,434,1,福岡県,720,HAIRA,福岡県,1326,FINE,福岡県,1587,KENTAN,福岡県,0,,-
