バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,723,LAIR,大分県,982,089,大分県,1146,HINA.S,大分県,0,,-
1st&substream,RUGGED ASH,0,,-,343,KAMO-R,大分県,391,PLAN.B,大分県,1096,HINA.S,大分県,2033,YAMADA,大分県
1st&substream,R3,0,,-,547,KAMO-R,大分県,662,GNS*NG,大分県,904,HINA.S,大分県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,536,K,大分県,677,J,大分県,1118,HINA.S,大分県,0,,-
1st&substream,Macho Gang,0,,-,323,KAMO-R,大分県,931,J,大分県,1649,YAMADA,大分県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,192,4ME4CH,大分県,244,HINA.S,大分県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,786,KBC,大分県,890,J,大分県,1206,HINA.S,大分県,0,,-
1st&substream,gentle stress,0,,-,304,KAMO-R,大分県,602,J,大分県,1445,HINA.S,大分県,0,,-
1st&substream,GENOM SCREAMS,0,,-,373,KAMO-R,大分県,634,HSU,大分県,1069,YAMADA,大分県,0,,-
1st&substream,GAMBOL,0,,-,269,10FU86,大分県,273,HINA.S,大分県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,392,NGKAWA,大分県,462,KAMO-R,大分県,576,HINA.S,大分県,0,,-
1st&substream,deep in you,0,,-,414,KAMO-R,大分県,416,KAMO-R,大分県,665,HINA.S,大分県,0,,-
1st&substream,5.1.1.,0,,-,194,089,大分県,935,GNS*NG,大分県,1571,MOTHER,大分県,0,,-
1st&substream,22DUNK,0,,-,486,K,大分県,589,K1-,大分県,654,HINA.S,大分県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,477,KAMO-R,大分県,546,J,大分県,647,HINA.S,大分県,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,493,KAMO-R,大分県,867,HINA.S,大分県,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,792,Y-CHAN,大分県,894,KAMO-R,大分県,1222,YAMADA,大分県,0,,-
2nd style,I Was The One,0,,-,466,KAMO-R,大分県,595,J,大分県,694,HINA.S,大分県,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,698,K,大分県,508,AA,大分県,1066,HINA.S,大分県,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,678,KAMO-R,大分県,531,CH.16P,大分県,1128,HINA.S,大分県,0,,-
