バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,285,CLOVIS,宮崎県,952,BENT,宮崎県,1068,NANA-4,宮崎県,0,,-
1st&substream,RUGGED ASH,0,,-,255,MUGUET,宮崎県,181,HIOKI*,宮崎県,1004,ISLAY,宮崎県,1932,KENZO,宮崎県
1st&substream,R3,0,,-,241,YOMO,宮崎県,693,BENT,宮崎県,870,MYI89G,宮崎県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,0,,-,618,PRNHUB,宮崎県,1082,KENZO,宮崎県,0,,-
1st&substream,Macho Gang,0,,-,371,7CHI,宮崎県,330,RIDER1,宮崎県,1572,KENZO,宮崎県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,0,,-,241,KENZO,宮崎県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,502,CLOVIS,宮崎県,866,MAJIN2,宮崎県,1130,5.1.1.,宮崎県,0,,-
1st&substream,gentle stress,0,,-,206,ONAKIN,宮崎県,585,MAJIN2,宮崎県,1377,C0C0,宮崎県,0,,-
1st&substream,GENOM SCREAMS,0,,-,118,UGA2,宮崎県,694,MAJIN2,宮崎県,1010,ISLAY,宮崎県,0,,-
1st&substream,GAMBOL,0,,-,168,HIOKI*,宮崎県,266,7CHI,宮崎県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,380,CESSY.,宮崎県,0,,-,557,5.1.1.,宮崎県,0,,-
1st&substream,deep in you,0,,-,0,,-,0,,-,624,5.1.1.,宮崎県,0,,-
1st&substream,5.1.1.,0,,-,189,ISHIN,宮崎県,985,ISHIN,宮崎県,1550,109.C,宮崎県,0,,-
1st&substream,22DUNK,0,,-,124,UGA2,宮崎県,582,BENT,宮崎県,622,5.1.1.,宮崎県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,0,,-,0,,-,623,NANA-4,宮崎県,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,319,SRA,宮崎県,811,7CHI,宮崎県,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,0,,-,978,KATU,宮崎県,1198,KENZO,宮崎県,0,,-
2nd style,I Was The One,0,,-,436,YAN9MI,宮崎県,383,YOMO,宮崎県,677,BENT,宮崎県,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,0,,-,783,KATU,宮崎県,982,ISLAY,宮崎県,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,0,,-,894,RIDER1,宮崎県,1035,5.1.1.,宮崎県,0,,-
2nd style,.59,0,,-,496,NECO.,宮崎県,904,MAJIN2,宮崎県,1081,CESSY.,宮崎県,0,,-
4th style,Voltage (feat. Hidemaru),0,,-,0,,-,1008,KATU,宮崎県,1238,-RIO-,宮崎県,0,,-
4th style,SWEET LAB,0,,-,425,RIDER1,宮崎県,472,KIYOKA,宮崎県,1336,KENZO,宮崎県,0,,-
4th style,starmine,384,VAK,宮崎県,0,,-,1357,CESSY.,宮崎県,1548,KENZO,宮崎県,0,,-
4th style,Mr.T.(take me higher),0,,-,450,MUGUET,宮崎県,0,,-,1598,H.U33,宮崎県,0,,-
4th style,minimalian,0,,-,210,UGA2,宮崎県,974,BENT,宮崎県,1368,KENZO,宮崎県,0,,-
4th style,LOVE WILL・・・,0,,-,0,,-,0,,-,1450,109.C,宮崎県,0,,-
4th style,KAMIKAZE,0,,-,0,,-,1348,MAJIN2,宮崎県,2180,TY,宮崎県,0,,-
4th style,Jam&Marmalade,0,,-,0,,-,786,KATU,宮崎県,995,KENZO,宮崎県,0,,-
4th style,Hitch Hiker2,0,,-,473,MUGUET,宮崎県,772,CHOBI,宮崎県,1257,5.1.1.,宮崎県,1873,KENZO,宮崎県
4th style,HIGHER,0,,-,263,SUTARI,宮崎県,325,YOMO,宮崎県,1237,7CHI,宮崎県,0,,-
4th style,FLOWERS for ALBION,0,,-,135,TONKTU,宮崎県,419,NANA-4,宮崎県,0,,-,0,,-
4th style,era (step mix),0,,-,543,MUGUET,宮崎県,1338,KASKE-,宮崎県,1627,KENZO,宮崎県,0,,-
4th style,empathy,0,,-,0,,-,370,RIDER1,宮崎県,1386,7CHI,宮崎県,0,,-
4th style,DXY!,0,,-,1158,MAJIN2,宮崎県,1716,CESSY.,宮崎県,2114,TY,宮崎県,0,,-
