バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,0,,-,1012,GORENG,香港,1148,NPC-06,香港,0,,-
1st&substream,RUGGED ASH,0,,-,246,CELICA,香港,233,CELICA,香港,1061,NPC-06,香港,1977,NPC-04,香港
1st&substream,R3,0,,-,382,ZENITH,香港,374,CELICA,香港,882,NPC-06,香港,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,488,BASH,香港,630,ED,香港,1051,NPC-11,香港,0,,-
1st&substream,Macho Gang,0,,-,351,BASH,香港,957,H!RO,香港,1576,NPC-08,香港,0,,-
1st&substream,KEEP ON MOVIN',0,,-,193,NOB,香港,241,NPC-01,香港,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,276,TONIE,香港,0,,-,1183,NPC-06,香港,0,,-
1st&substream,gentle stress,0,,-,312,BASH,香港,504,EAGLE9,香港,1404,NPC-69,香港,0,,-
1st&substream,GENOM SCREAMS,0,,-,236,CELICA,香港,777,NOB,香港,1035,NPC-06,香港,0,,-
1st&substream,GAMBOL,0,,-,270,NOB,香港,267,NPC-06,香港,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,373,BASH,香港,485,BASH,香港,555,NPC-06,香港,0,,-
1st&substream,deep in you,0,,-,252,CELICA,香港,432,ED,香港,648,NPC-06,香港,0,,-
1st&substream,5.1.1.,0,,-,186,NOB,香港,873,ED,香港,1541,NPC-06,香港,0,,-
1st&substream,22DUNK,0,,-,234,CELICA,香港,257,LOBOS,香港,643,NPC-06,香港,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,329,MRMOON,香港,0,,-,641,NPC-11,香港,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,331,A,香港,838,NPC-06,香港,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,753,BASH,香港,1012,NOB,香港,1191,NPC-06,香港,0,,-
2nd style,I Was The One,0,,-,518,NPC-01,香港,295,CELICA,香港,681,NPC-11,香港,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,608,ERIC,香港,904,NOB,香港,1042,NPC-06,香港,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,614,BASH,香港,979,NOB,香港,1099,NPC-06,香港,0,,-
2nd style,.59,0,,-,653,BASH,香港,980,NOB,香港,1138,NPC-11,香港,0,,-
3rd style,THE SAFARI,302,MARK57,香港,1167,NOB,香港,1718,NPC-06,香港,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,233,BASH,香港,387,NPC-11,香港,0,,-,0,,-
3rd style,Skyscraper,0,,-,415,ARA*SB,香港,0,,-,1234,NPC-06,香港,0,,-
3rd style,Schlagwerk,0,,-,0,,-,858,ME.,香港,1633,KY*,香港,0,,-
3rd style,REINCARNATION,0,,-,500,B,香港,946,BBB,香港,1242,NPC-06,香港,0,,-
3rd style,R5,0,,-,689,BASH,香港,988,BASH,香港,1729,NPC-08,香港,0,,-
3rd style,Presto,0,,-,350,EAGLE9,香港,921,NPC-69,香港,975,NPC-06,香港,0,,-
3rd style,LEADING CYBER,0,,-,0,,-,1144,KUSOGE,香港,1190,QIED,香港,0,,-
3rd style,Holic,0,,-,754,KAMEAS,香港,1099,H!RO,香港,1709,NPC-04,香港,0,,-
3rd style,era (nostalmix),0,,-,773,BASH,香港,1043,NPC-11,香港,1402,RAMIEL,香港,0,,-
3rd style,Don't Stop!,0,,-,721,ED,香港,0,,-,890,NPC-06,香港,0,,-
3rd style,CAN'T STOP FALLIN'IN LOVE,0,,-,558,BASH,香港,1234,NPC-06,香港,0,,-,0,,-
4th style,Voltage (feat. Hidemaru),0,,-,797,BASH,香港,1035,NPC-05,香港,1273,NPC-11,香港,0,,-
4th style,SWEET LAB,0,,-,419,LUNV.-,香港,903,BBB,香港,1300,NPC-08,香港,0,,-
4th style,starmine,335,MA,香港,804,BASH,香港,1157,BASH,香港,1503,QIED,香港,0,,-
4th style,Mr.T.(take me higher),0,,-,392,ACDE,香港,969,NOB,香港,1713,NPC-08,香港,0,,-
4th style,minimalian,0,,-,259,CELICA,香港,835,BLACK,香港,1356,NPC-08,香港,0,,-
4th style,LOVE WILL・・・,0,,-,233,ACDE,香港,697,NPC-69,香港,1428,CPL,香港,0,,-
4th style,KAMIKAZE,0,,-,917,BASH,香港,1318,RYUTH,香港,2230,NPC-06,香港,0,,-
4th style,Jam&Marmalade,0,,-,0,,-,0,,-,999,NPC-06,香港,0,,-
4th style,Hitch Hiker2,0,,-,459,MBBBB,香港,919,ED,香港,1290,NPC-04,香港,1836,NPC-NA,香港
4th style,HIGHER,0,,-,327,CELICA,香港,807,ED,香港,1202,BBB,香港,0,,-
4th style,FLOWERS for ALBION,0,,-,153,CELICA,香港,411,NOB,香港,0,,-,0,,-
