バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,669,######,フィリピン,632,000000,フィリピン,1112,COCO,フィリピン,0,,-
1st&substream,RUGGED ASH,0,,-,318,######,フィリピン,356,######,フィリピン,1033,..IX..,フィリピン,1920,VE62CA,フィリピン
1st&substream,R3,0,,-,542,######,フィリピン,645,######,フィリピン,900,COCO,フィリピン,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,416,######,フィリピン,508,KOHI*,フィリピン,1069,3SOKIN,フィリピン,0,,-
1st&substream,Macho Gang,0,,-,327,######,フィリピン,1035,KZSD-!,フィリピン,1586,COCO,フィリピン,0,,-
1st&substream,KEEP ON MOVIN',0,,-,186,CPU69,フィリピン,244,COCO,フィリピン,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,758,######,フィリピン,828,######,フィリピン,1089,RESCUE,フィリピン,0,,-
1st&substream,gentle stress,0,,-,309,######,フィリピン,571,######,フィリピン,1424,COCO,フィリピン,0,,-
1st&substream,GENOM SCREAMS,0,,-,336,######,フィリピン,612,######,フィリピン,1064,COCO,フィリピン,0,,-
1st&substream,GAMBOL,0,,-,274,COCO,フィリピン,269,COCO,フィリピン,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,340,######,フィリピン,436,######,フィリピン,560,RDYVJ1,フィリピン,0,,-
1st&substream,deep in you,0,,-,465,CPU69,フィリピン,427,######,フィリピン,656,COCO,フィリピン,0,,-
1st&substream,5.1.1.,0,,-,165,######,フィリピン,816,######,フィリピン,1556,IIDX29,フィリピン,0,,-
1st&substream,22DUNK,0,,-,516,COCO,フィリピン,477,######,フィリピン,649,COCO,フィリピン,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,0,,-,208,VAJRA,フィリピン,638,COCO,フィリピン,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,310,P4TAKI,フィリピン,771,KORIL,フィリピン,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,309,IIDX30,フィリピン,0,,-,1198,SUCCU?,フィリピン,0,,-
2nd style,I Was The One,0,,-,298,ELIQUE,フィリピン,268,DUD,フィリピン,684,COCO,フィリピン,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,0,,-,0,,-,941,KORIL,フィリピン,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,355,AMY,フィリピン,0,,-,1114,COCO,フィリピン,0,,-
2nd style,.59,0,,-,642,HJNNQQ,フィリピン,256,TOAST,フィリピン,1139,COCO,フィリピン,0,,-
3rd style,THE SAFARI,87,ZACH?,フィリピン,1202,COCO,フィリピン,1670,VE62CA,フィリピン,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,0,,-,159,DUD,フィリピン,0,,-,0,,-
3rd style,Skyscraper,0,,-,0,,-,0,,-,1149,CIKAWA,フィリピン,0,,-
3rd style,Schlagwerk,0,,-,533,ERIN,フィリピン,0,,-,1494,RDYVJ1,フィリピン,0,,-
3rd style,REINCARNATION,0,,-,642,KOHI*,フィリピン,557,KORIL,フィリピン,1163,RESCUE,フィリピン,0,,-
3rd style,R5,0,,-,0,,-,1115,RESCUE,フィリピン,1756,COCO,フィリピン,0,,-
3rd style,Presto,0,,-,318,AMY,フィリピン,850,KSJH*,フィリピン,997,COCO,フィリピン,0,,-
3rd style,LEADING CYBER,0,,-,203,000000,フィリピン,0,,-,1056,KSJH*,フィリピン,0,,-
3rd style,Holic,0,,-,0,,-,1081,SR-OUI,フィリピン,1642,COCO,フィリピン,0,,-
3rd style,era (nostalmix),0,,-,597,DAY,フィリピン,1028,VE62CA,フィリピン,1490,COCO,フィリピン,0,,-
3rd style,Don't Stop!,0,,-,731,KSJH*,フィリピン,0,,-,899,COCO,フィリピン,0,,-
3rd style,CAN'T STOP FALLIN'IN LOVE,0,,-,447,000000,フィリピン,1234,COCO,フィリピン,0,,-,0,,-
4th style,Voltage (feat. Hidemaru),0,,-,0,,-,1229,COCO,フィリピン,1312,COCO,フィリピン,0,,-
4th style,SWEET LAB,0,,-,343,KOHI*,フィリピン,723,G,フィリピン,1299,COCO,フィリピン,0,,-
4th style,starmine,256,SKY!,フィリピン,548,DAY,フィリピン,1085,G,フィリピン,1544,SUCCU?,フィリピン,0,,-
4th style,Mr.T.(take me higher),0,,-,0,,-,0,,-,1748,COCO,フィリピン,0,,-
4th style,minimalian,0,,-,181,IIDX30,フィリピン,852,OFPACO,フィリピン,1357,SUCCU?,フィリピン,0,,-
4th style,LOVE WILL・・・,0,,-,0,,-,432,CJ.IW,フィリピン,1422,S-RAN,フィリピン,0,,-
4th style,KAMIKAZE,0,,-,0,,-,1423,HIMIKO,フィリピン,2252,COCO,フィリピン,0,,-
4th style,Jam&Marmalade,0,,-,0,,-,568,KOHI*,フィリピン,994,COCO,フィリピン,0,,-
4th style,Hitch Hiker2,0,,-,0,,-,1191,KZSD-!,フィリピン,1297,COCO,フィリピン,1843,3SOKIN,フィリピン
4th style,HIGHER,0,,-,322,OGEIDU,フィリピン,284,SIREN,フィリピン,1247,COCO,フィリピン,0,,-
4th style,FLOWERS for ALBION,0,,-,167,KIMFA,フィリピン,427,COCO,フィリピン,0,,-,0,,-
4th style,era (step mix),0,,-,688,JIMMY,フィリピン,1355,*#06#,フィリピン,1640,VE62CA,フィリピン,0,,-
4th style,empathy,0,,-,0,,-,1180,SR-OUI,フィリピン,1366,*#06#,フィリピン,0,,-
4th style,DXY!,0,,-,0,,-,1744,KZSD-!,フィリピン,2105,SUCCU?,フィリピン,0,,-
4th style,Clione,0,,-,374,ERIN,フィリピン,643,######,フィリピン,1598,SUCCU?,フィリピン,2108,COCO,フィリピン
4th style,CHECKING YOU OUT,0,,-,551,KRN!?,フィリピン,797,KZSD-!,フィリピン,1223,MAYAMA,フィリピン,0,,-
4th style,Burnin' The Floor,0,,-,205,ALXS,フィリピン,0,,-,1144,G,フィリピン,0,,-
4th style,Broken My Heart,0,,-,0,,-,814,T4N4K4,フィリピン,1795,SUCCU?,フィリピン,0,,-
4th style,B4U,0,,-,755,######,フィリピン,1429,HIMIKO,フィリピン,1986,COCO,フィリピン,0,,-
4th style,ABSOLUTE,0,,-,1194,######,フィリピン,1759,KZSD-!,フィリピン,2275,ANYA.F,フィリピン,2684,COCO,フィリピン
4th style,250bpm,0,,-,382,TVUSA,フィリピン,767,G,フィリピン,1328,COCO,フィリピン,0,,-
5th style,V,245,KORIL,フィリピン,1070,OFPACO,フィリピン,2326,*#06#,フィリピン,2948,COCO,フィリピン,0,,-
5th style,THE SHINING POLARIS,0,,-,764,KOHI*,フィリピン,0,,-,1530,CIKAWA,フィリピン,0,,-
5th style,THE CUBE,0,,-,0,,-,1205,HIMIKO,フィリピン,1287,COCO,フィリピン,0,,-
5th style,sync,0,,-,905,HJNNQQ,フィリピン,1884,KZSD-!,フィリピン,2333,COCO,フィリピン,0,,-
5th style,still my words,0,,-,685,JHO,フィリピン,1098,MAYAMA,フィリピン,0,,-,0,,-
5th style,STILL IN MY HEART,0,,-,0,,-,1102,SR-OUI,フィリピン,1846,SUCCU?,フィリピン,0,,-
5th style,Spin the disc,0,,-,574,NEKOBB,フィリピン,988,G,フィリピン,1319,COCO,フィリピン,0,,-
5th style,sometime,0,,-,0,,-,975,KZSD-!,フィリピン,1281,COCO,フィリピン,0,,-
5th style,RISLIM,0,,-,0,,-,1128,RESCUE,フィリピン,0,,-,0,,-
5th style,RIDE ON THE LIGHT (HI GREAT MIX),0,,-,0,,-,0,,-,1659,MAYAMA,フィリピン,1763,SUCCU?,フィリピン
5th style,Regulus,0,,-,0,,-,1196,PU.,フィリピン,1569,ANYA.F,フィリピン,0,,-
5th style,Real,0,,-,0,,-,1545,KORIL,フィリピン,1762,COCO,フィリピン,0,,-
5th style,Radical Faith,0,,-,875,000000,フィリピン,1409,CIKAWA,フィリピン,1265,ANYA.F,フィリピン,0,,-
5th style,QQQ,0,,-,0,,-,1655,KORIL,フィリピン,2025,RDYVJ1,フィリピン,0,,-
