バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,552,IKE.03,マカオ,1012,ERA,マカオ,1084,ERA,マカオ,0,,-
1st&substream,RUGGED ASH,0,,-,321,IKE.03,マカオ,334,M4R1M0,マカオ,1008,ERA,マカオ,1943,SHTH,マカオ
1st&substream,R3,0,,-,480,IKE.03,マカオ,680,RCHE,マカオ,855,ERA,マカオ,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,450,IKE.03,マカオ,616,BUSHIN,マカオ,1057,ERA,マカオ,0,,-
1st&substream,Macho Gang,0,,-,381,NANASE,マカオ,889,PREP,マカオ,1630,ROCHER,マカオ,0,,-
1st&substream,KEEP ON MOVIN',0,,-,168,WACCAS,マカオ,244,ROCHER,マカオ,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,720,IKE.03,マカオ,593,NIINII,マカオ,1155,ERA,マカオ,0,,-
1st&substream,gentle stress,0,,-,285,IKE.03,マカオ,556,BUSHIN,マカオ,1403,ERA,マカオ,0,,-
1st&substream,GENOM SCREAMS,0,,-,286,IKE.03,マカオ,689,SHU,マカオ,1028,ERA,マカオ,0,,-
1st&substream,GAMBOL,0,,-,262,ERA,マカオ,269,CHEAP,マカオ,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,267,IKE.03,マカオ,358,TELL44,マカオ,580,ROCHER,マカオ,0,,-
1st&substream,deep in you,0,,-,380,IKE.03,マカオ,478,HOIMIN,マカオ,660,ROCHER,マカオ,0,,-
1st&substream,5.1.1.,0,,-,136,IKE.03,マカオ,841,EVER,マカオ,1565,ROCHER,マカオ,0,,-
1st&substream,22DUNK,0,,-,478,RCHE,マカオ,375,NUKE15,マカオ,657,ROCHER,マカオ,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,204,GLQ!-8,マカオ,342,ALCARD,マカオ,631,ERA,マカオ,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,460,IKE.03,マカオ,818,MANKO!,マカオ,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,149,HENSHI,マカオ,752,AMIS,マカオ,1212,ROCHER,マカオ,0,,-
2nd style,I Was The One,0,,-,420,AAAAAA,マカオ,510,TELL44,マカオ,681,ROCHER,マカオ,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,567,M4R1M0,マカオ,443,TOMMY,マカオ,1025,ERA,マカオ,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,0,,-,699,TELL44,マカオ,1126,ROCHER,マカオ,0,,-
