バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,596,VXQORS,オーストラリア,965,E.F-D,オーストラリア,1065,JOHNNN,オーストラリア,0,,-
1st&substream,RUGGED ASH,0,,-,0,,-,271,JUSTIN,オーストラリア,779,AT,オーストラリア,1941,JOHNNN,オーストラリア
1st&substream,R3,0,,-,550,TOYOPY,オーストラリア,0,,-,579,TOYOPY,オーストラリア,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,396,ADNFLF,オーストラリア,421,IKARUS,オーストラリア,792,TOYOPY,オーストラリア,0,,-
1st&substream,Macho Gang,0,,-,0,,-,819,TOYOPY,オーストラリア,1474,JOHNNN,オーストラリア,0,,-
1st&substream,KEEP ON MOVIN',0,,-,107,VXQORS,オーストラリア,234,K-MART,オーストラリア,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,0,,-,743,TOYOPY,オーストラリア,857,TOYOPY,オーストラリア,0,,-
1st&substream,gentle stress,0,,-,172,MYKE,オーストラリア,574,TOYOPY,オーストラリア,1416,K-MART,オーストラリア,0,,-
1st&substream,GENOM SCREAMS,0,,-,385,TOYOPY,オーストラリア,507,TOYOPY,オーストラリア,980,#AM3Y*,オーストラリア,0,,-
1st&substream,GAMBOL,0,,-,235,TOYOPY,オーストラリア,232,JOHNNN,オーストラリア,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,357,TOYOPY,オーストラリア,347,VXQORS,オーストラリア,551,E.F-D,オーストラリア,0,,-
1st&substream,deep in you,0,,-,339,VXQORS,オーストラリア,118,SHIGGY,オーストラリア,488,JR!,オーストラリア,0,,-
1st&substream,5.1.1.,0,,-,163,CAT!!!,オーストラリア,785,TOYOPY,オーストラリア,1533,E.F-D,オーストラリア,0,,-
1st&substream,22DUNK,0,,-,0,,-,507,TOYOPY,オーストラリア,490,TOYOPY,オーストラリア,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,353,JUSTIN,オーストラリア,0,,-,543,TOYOPY,オーストラリア,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,226,GRRRRR,オーストラリア,445,NEK,オーストラリア,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,523,VXQORS,オーストラリア,839,TOYOPY,オーストラリア,1129,E.F-D,オーストラリア,0,,-
2nd style,I Was The One,0,,-,0,,-,567,TOYOPY,オーストラリア,605,BLONY,オーストラリア,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,643,TOYOPY,オーストラリア,744,TOYOPY,オーストラリア,828,JR!,オーストラリア,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,0,,-,749,TOYOPY,オーストラリア,832,TOYOPY,オーストラリア,0,,-
2nd style,.59,0,,-,531,ADNFLF,オーストラリア,773,TOYOPY,オーストラリア,1081,K-MART,オーストラリア,0,,-
3rd style,THE SAFARI,340,TOYOPY,オーストラリア,624,CUBBY,オーストラリア,1673,JOHNNN,オーストラリア,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,166,ABCDEF,オーストラリア,307,JUSTIN,オーストラリア,0,,-,0,,-
3rd style,Skyscraper,0,,-,0,,-,950,JR!,オーストラリア,878,TOYOPY,オーストラリア,0,,-
3rd style,Schlagwerk,0,,-,0,,-,0,,-,1579,ST0CCO,オーストラリア,0,,-
3rd style,REINCARNATION,0,,-,239,BOOTH,オーストラリア,642,DMW,オーストラリア,1158,E.F-D,オーストラリア,0,,-
3rd style,R5,0,,-,660,TOYOPY,オーストラリア,840,JR!,オーストラリア,1726,UINT32,オーストラリア,0,,-
3rd style,Presto,0,,-,462,TOYOPY,オーストラリア,0,,-,965,JOHNNN,オーストラリア,0,,-
3rd style,LEADING CYBER,0,,-,446,COMET,オーストラリア,852,TOYOPY,オーストラリア,814,JR!,オーストラリア,0,,-
3rd style,Holic,0,,-,668,TOYOPY,オーストラリア,823,TOYOPY,オーストラリア,1652,?????,オーストラリア,0,,-
3rd style,era (nostalmix),0,,-,716,TOYOPY,オーストラリア,788,TOYOPY,オーストラリア,1436,?????,オーストラリア,0,,-
3rd style,Don't Stop!,0,,-,347,DAN!!!,オーストラリア,0,,-,841,GGS,オーストラリア,0,,-
3rd style,CAN'T STOP FALLIN'IN LOVE,0,,-,276,MAXIO,オーストラリア,830,TOYOPY,オーストラリア,0,,-,0,,-
4th style,Voltage (feat. Hidemaru),0,,-,524,REISEN,オーストラリア,1155,E.F-D,オーストラリア,1263,K-MART,オーストラリア,0,,-
4th style,SWEET LAB,0,,-,473,TOYOPY,オーストラリア,646,TOYOPY,オーストラリア,1151,XV-MON,オーストラリア,0,,-
4th style,starmine,401,TOYOPY,オーストラリア,789,TOYOPY,オーストラリア,983,TOYOPY,オーストラリア,1466,JOHNNN,オーストラリア,0,,-
4th style,Mr.T.(take me higher),0,,-,280,COCO##,オーストラリア,795,TOYOPY,オーストラリア,1667,?????,オーストラリア,0,,-
4th style,minimalian,0,,-,445,TOYOPY,オーストラリア,1068,K-MART,オーストラリア,823,IMPOOR,オーストラリア,0,,-
4th style,LOVE WILL・・・,0,,-,0,,-,0,,-,1086,JR!,オーストラリア,0,,-
4th style,KAMIKAZE,0,,-,880,TOYOPY,オーストラリア,959,TOYOPY,オーストラリア,2159,JOHNNN,オーストラリア,0,,-
4th style,Jam&Marmalade,0,,-,696,TOYOPY,オーストラリア,629,TOYOPY,オーストラリア,0,,-,0,,-
4th style,Hitch Hiker2,0,,-,688,TOYOPY,オーストラリア,882,TOYOPY,オーストラリア,1231,K-MART,オーストラリア,1777,UINT32,オーストラリア
4th style,HIGHER,0,,-,245,URARA,オーストラリア,758,TOYOPY,オーストラリア,878,TOYOPY,オーストラリア,0,,-
4th style,FLOWERS for ALBION,0,,-,0,,-,319,TOYOPY,オーストラリア,0,,-,0,,-
4th style,era (step mix),0,,-,884,TOYOPY,オーストラリア,1357,E.F-D,オーストラリア,1570,?????,オーストラリア,0,,-
4th style,empathy,0,,-,615,#LIN,オーストラリア,1013,CALICO,オーストラリア,901,TOYOPY,オーストラリア,0,,-
4th style,DXY!,0,,-,948,TOYOPY,オーストラリア,1686,E.F-D,オーストラリア,2071,JOHNNN,オーストラリア,0,,-
4th style,Clione,0,,-,293,DAN!!!,オーストラリア,348,DMW,オーストラリア,1407,AFK30,オーストラリア,2093,UINT32,オーストラリア
4th style,CHECKING YOU OUT,0,,-,465,CALICO,オーストラリア,520,AL!CE,オーストラリア,1205,?????,オーストラリア,0,,-
4th style,Burnin' The Floor,0,,-,421,ADNFLF,オーストラリア,89,AMANDA,オーストラリア,1342,GAKKAI,オーストラリア,0,,-
4th style,Broken My Heart,0,,-,780,TOYOPY,オーストラリア,1029,TOYOPY,オーストラリア,1679,K-MART,オーストラリア,0,,-
4th style,B4U,0,,-,877,TOYOPY,オーストラリア,972,IMPOOR,オーストラリア,1926,?????,オーストラリア,0,,-
4th style,ABSOLUTE,0,,-,1123,TOYOPY,オーストラリア,1227,TOYOPY,オーストラリア,2272,?????,オーストラリア,2540,K-MART,オーストラリア
4th style,250bpm,0,,-,0,,-,714,TOYOPY,オーストラリア,943,PFYCH,オーストラリア,0,,-
5th style,V,325,TOYOPY,オーストラリア,977,TOYOPY,オーストラリア,2174,PNSP!!,オーストラリア,2851,JOHNNN,オーストラリア,0,,-
5th style,THE SHINING POLARIS,0,,-,744,TOYOPY,オーストラリア,920,TOYOPY,オーストラリア,1525,JOHNNN,オーストラリア,0,,-
5th style,THE CUBE,0,,-,520,VXQORS,オーストラリア,597,EGGY,オーストラリア,1247,K-MART,オーストラリア,0,,-
5th style,sync,0,,-,942,TOYOPY,オーストラリア,847,DMW,オーストラリア,2301,K-MART,オーストラリア,0,,-
5th style,still my words,0,,-,517,REISEN,オーストラリア,928,TOYOPY,オーストラリア,0,,-,0,,-
5th style,STILL IN MY HEART,0,,-,885,TOYOPY,オーストラリア,901,DAJIN!,オーストラリア,1847,K-MART,オーストラリア,0,,-
5th style,Spin the disc,0,,-,104,MYKE,オーストラリア,820,TOYOPY,オーストラリア,1223,E.F-D,オーストラリア,0,,-
5th style,sometime,0,,-,324,DAN!!!,オーストラリア,812,TOYOPY,オーストラリア,898,JR!,オーストラリア,0,,-
5th style,RISLIM,0,,-,0,,-,1034,CALICO,オーストラリア,0,,-,0,,-
5th style,RIDE ON THE LIGHT (HI GREAT MIX),0,,-,0,,-,921,TOYOPY,オーストラリア,0,,-,1769,IIDX17,オーストラリア
5th style,Regulus,0,,-,762,TOYOPY,オーストラリア,0,,-,1627,?????,オーストラリア,0,,-
5th style,Real,0,,-,0,,-,1030,IMPOOR,オーストラリア,1737,K-MART,オーストラリア,0,,-
5th style,Radical Faith,0,,-,1023,TOYOPY,オーストラリア,1460,PNSP!!,オーストラリア,1214,IIDX17,オーストラリア,0,,-
5th style,QQQ,0,,-,799,DMW,オーストラリア,1358,JR!,オーストラリア,2101,K-MART,オーストラリア,0,,-
5th style,outer wall,0,,-,0,,-,961,TOYOPY,オーストラリア,1691,JOHNNN,オーストラリア,0,,-
5th style,LOVE AGAIN TONIGHT～for Mellisa mix～,0,,-,622,TOYOPY,オーストラリア,0,,-,1050,K-MART,オーストラリア,0,,-
5th style,in my eyes,0,,-,0,,-,557,EGGY,オーストラリア,1466,K-MART,オーストラリア,0,,-
5th style,Abyss,0,,-,561,TSUKI?,オーストラリア,1547,E.F-D,オーストラリア,1795,JOHNNN,オーストラリア,0,,-
6th style,こっちを向いてよ,0,,-,0,,-,0,,-,1280,XVIDEO,オーストラリア,0,,-
6th style,VJ ARMY,0,,-,973,TOYOPY,オーストラリア,0,,-,2082,JOHNNN,オーストラリア,0,,-
6th style,Take It Easy,0,,-,948,IMPOOR,オーストラリア,0,,-,2407,JOHNNN,オーストラリア,0,,-
6th style,Summer Vacation(CU mix),0,,-,1040,TOYOPY,オーストラリア,1686,SRAN,オーストラリア,0,,-,0,,-
