バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,727,TAKAP-,岩手県,974,BUG,岩手県,1112,110.,岩手県,0,,-
1st&substream,RUGGED ASH,0,,-,357,EXTEND,岩手県,388,BUG,岩手県,1087,SHIVA.,岩手県,2052,DOLCE*,岩手県
1st&substream,R3,0,,-,192,MN,岩手県,681,BUG,岩手県,871,RICOLE,岩手県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,513,MASX2.,岩手県,734,3SYA9G,岩手県,1120,DOLCE*,岩手県,0,,-
1st&substream,Macho Gang,0,,-,374,IMI,岩手県,1056,3SYA9G,岩手県,1665,DOLCE*,岩手県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,190,POPN17,岩手県,244,SHIVA.,岩手県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,786,YU-KI,岩手県,937,BUG,岩手県,1163,YARITA,岩手県,0,,-
1st&substream,gentle stress,0,,-,320,YO4,岩手県,666,3SYA9G,岩手県,1444,DOLCE*,岩手県,0,,-
1st&substream,GENOM SCREAMS,0,,-,371,YO4,岩手県,818,3SYA9G,岩手県,1064,BSHAUM,岩手県,0,,-
1st&substream,GAMBOL,0,,-,259,POPN17,岩手県,271,SHIVA.,岩手県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,382,TUBAME,岩手県,513,BUG,岩手県,569,110.,岩手県,0,,-
1st&substream,deep in you,0,,-,348,TAKASI,岩手県,497,3SYA9G,岩手県,663,SHIVA.,岩手県,0,,-
1st&substream,5.1.1.,0,,-,193,RICOLE,岩手県,986,BUG,岩手県,1571,DOLCE*,岩手県,0,,-
1st&substream,22DUNK,0,,-,479,TUBAME,岩手県,620,IIDX31,岩手県,656,SHIVA.,岩手県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,490,TAKAP-,岩手県,611,BUG,岩手県,648,SHIVA.,岩手県,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,516,YO4,岩手県,833,R4,岩手県,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,565,TAKASI,岩手県,1080,BUG,岩手県,1222,DOLCE*,岩手県,0,,-
2nd style,I Was The One,0,,-,510,EXTEND,岩手県,624,BUG,岩手県,671,KERORO,岩手県,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,481,TAKASI,岩手県,884,BUG,岩手県,1071,DOLCE*,岩手県,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,624,K48G-K,岩手県,1009,BUG,岩手県,1094,YARITA,岩手県,0,,-
2nd style,.59,0,,-,600,YO4,岩手県,993,4CTAKA,岩手県,1130,YARITA,岩手県,0,,-
3rd style,THE SAFARI,366,DOLCE*,岩手県,890,NANA*,岩手県,1781,DOLCE*,岩手県,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,253,YO4,岩手県,380,IXIA5,岩手県,0,,-,0,,-
3rd style,Skyscraper,0,,-,477,TAKASI,岩手県,1125,BUG,岩手県,1209,CHEHON,岩手県,0,,-
3rd style,Schlagwerk,0,,-,0,,-,1233,BUG,岩手県,1668,BSHAUM,岩手県,0,,-
3rd style,REINCARNATION,0,,-,595,TAKASI,岩手県,996,BUG,岩手県,1272,SHIVA.,岩手県,0,,-
3rd style,R5,0,,-,738,G.ZONE,岩手県,1124,ADILON,岩手県,1774,DOLCE*,岩手県,0,,-
3rd style,Presto,0,,-,473,YO4,岩手県,929,MASX2.,岩手県,979,.YUT,岩手県,0,,-
3rd style,LEADING CYBER,0,,-,764,G.ZONE,岩手県,1163,L-FOX,岩手県,1266,SHIVA.,岩手県,0,,-
3rd style,Holic,0,,-,711,EXTEND,岩手県,1177,3SYA9G,岩手県,1728,DOLCE*,岩手県,0,,-
3rd style,era (nostalmix),0,,-,719,K48G-K,岩手県,1060,110.,岩手県,1526,R4,岩手県,0,,-
3rd style,Don't Stop!,0,,-,759,RESO,岩手県,835,3SYA9G,岩手県,901,SHIVA.,岩手県,0,,-
3rd style,CAN'T STOP FALLIN'IN LOVE,0,,-,513,YO4,岩手県,1248,SHIVA.,岩手県,0,,-,0,,-
4th style,Voltage (feat. Hidemaru),0,,-,873,-7OKI-,岩手県,1250,DOLCE*,岩手県,1318,GK7,岩手県,0,,-
4th style,SWEET LAB,0,,-,497,YO4,岩手県,831,BUG,岩手県,1371,DOLCE*,岩手県,0,,-
4th style,starmine,426,G.ZONE,岩手県,762,YO4,岩手県,1430,DOLCE*,岩手県,1539,YARITA,岩手県,0,,-
4th style,Mr.T.(take me higher),0,,-,668,K48G-K,岩手県,963,BUG,岩手県,1742,110.,岩手県,0,,-
4th style,minimalian,0,,-,299,TAKASI,岩手県,989,BUG,岩手県,1399,DOLCE*,岩手県,0,,-
4th style,LOVE WILL・・・,0,,-,537,MASX2.,岩手県,746,BUG,岩手県,1461,BSHAUM,岩手県,0,,-
4th style,KAMIKAZE,0,,-,929,EXTEND,岩手県,1346,BUG,岩手県,2236,R4,岩手県,0,,-
4th style,Jam&Marmalade,0,,-,0,,-,838,BUG,岩手県,992,YARITA,岩手県,0,,-
4th style,Hitch Hiker2,0,,-,432,YUTA!,岩手県,1137,BUG,岩手県,1276,HASSHY,岩手県,1890,R4,岩手県
4th style,HIGHER,0,,-,492,YO4,岩手県,901,BUG,岩手県,1260,YARITA,岩手県,0,,-
4th style,FLOWERS for ALBION,0,,-,230,EXTEND,岩手県,433,A-CHA*,岩手県,0,,-,0,,-
4th style,era (step mix),0,,-,1021,TUBAME,岩手県,1352,BUG,岩手県,1627,ARGON,岩手県,0,,-
4th style,empathy,0,,-,727,K48G-K,岩手県,1181,BUG,岩手県,1396,R4,岩手県,0,,-
4th style,DXY!,0,,-,1220,ARGON,岩手県,1659,BR3100,岩手県,2249,DOLCE*,岩手県,0,,-
4th style,Clione,0,,-,249,KARIN,岩手県,902,BUG,岩手県,1609,BSHAUM,岩手県,2151,BSHAUM,岩手県
4th style,CHECKING YOU OUT,0,,-,569,YO4,岩手県,842,CHEHON,岩手県,1369,DOLCE*,岩手県,0,,-
4th style,Burnin' The Floor,0,,-,546,EXTEND,岩手県,928,BUG,岩手県,1439,SHIVA.,岩手県,0,,-
