バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,0,,-,949,N-TOFU,秋田県,1128,HATO,秋田県,0,,-
1st&substream,RUGGED ASH,0,,-,363,S-I-N,秋田県,393,S-I-N,秋田県,1070,SET.I,秋田県,1912,EOTOKO,秋田県
1st&substream,R3,0,,-,632,GULCH,秋田県,717,87MARU,秋田県,875,EOTOKO,秋田県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,531,HN0123,秋田県,600,N-TOFU,秋田県,1062,EOTOKO,秋田県,0,,-
1st&substream,Macho Gang,0,,-,367,DEF,秋田県,940,HN0123,秋田県,1556,HATO,秋田県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,192,S-I-N,秋田県,242,UVCUT,秋田県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,837,HN0123,秋田県,836,N-TOFU,秋田県,1155,EOTOKO,秋田県,0,,-
1st&substream,gentle stress,0,,-,339,-GEAR-,秋田県,607,*RIJU*,秋田県,1432,EOTOKO,秋田県,0,,-
1st&substream,GENOM SCREAMS,0,,-,393,KKR,秋田県,755,EOTOKO,秋田県,1033,EOTOKO,秋田県,0,,-
1st&substream,GAMBOL,0,,-,217,K3103,秋田県,272,*RIJU*,秋田県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,312,JAG,秋田県,390,SRM,秋田県,567,IIDX56,秋田県,0,,-
1st&substream,deep in you,0,,-,465,HN0123,秋田県,484,&#173,秋田県,643,EOTOKO,秋田県,0,,-
1st&substream,5.1.1.,0,,-,194,S-I-N,秋田県,905,YUT0,秋田県,1536,EOTOKO,秋田県,0,,-
1st&substream,22DUNK,0,,-,510,S-I-N,秋田県,586,HGRKTR,秋田県,629,EOTOKO,秋田県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,488,HN0123,秋田県,515,JOBMAN,秋田県,634,EOTOKO,秋田県,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,538,HN0123,秋田県,821,EOTOKO,秋田県,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,678,SRM,秋田県,1020,S-I-N,秋田県,1183,EULECA,秋田県,0,,-
2nd style,I Was The One,0,,-,515,HN0123,秋田県,560,ECHICO,秋田県,681,HATO,秋田県,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,727,DEF,秋田県,833,N-TOFU,秋田県,1044,EOTOKO,秋田県,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,694,DEF,秋田県,848,K02,秋田県,1079,IIDX56,秋田県,0,,-
2nd style,.59,0,,-,680,DEF,秋田県,890,N-TOFU,秋田県,1095,COBALT,秋田県,0,,-
3rd style,THE SAFARI,287,IIDX31,秋田県,1123,S-I-N,秋田県,1695,Y-I.,秋田県,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,172,3ROU,秋田県,388,AKAMA,秋田県,0,,-,0,,-
