バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,650,DARWIN,茨城県,989,PIART,茨城県,1160,NUCHIO,茨城県,0,,-
1st&substream,RUGGED ASH,0,,-,367,HENSEL,茨城県,398,HENSEL,茨城県,1099,NUCHIO,茨城県,2045,TAKWAN,茨城県
1st&substream,R3,0,,-,635,*AINE*,茨城県,721,Y2J,茨城県,896,B-MAX.,茨城県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,533,HENSEL,茨城県,738,*AINE*,茨城県,1118,NUCHIO,茨城県,0,,-
1st&substream,Macho Gang,0,,-,369,RRREVO,茨城県,1029,*AINE*,茨城県,1651,EIKOGO,茨城県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,194,Y2J,茨城県,244,NYAOHA,茨城県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,862,*AINE*,茨城県,928,HENSEL,茨城県,1188,5UB4RU,茨城県,0,,-
1st&substream,gentle stress,0,,-,343,*AINE*,茨城県,670,*AINE*,茨城県,1451,EIKOGO,茨城県,0,,-
1st&substream,GENOM SCREAMS,0,,-,403,*AINE*,茨城県,809,BULAN*,茨城県,1055,B-MAX.,茨城県,0,,-
1st&substream,GAMBOL,0,,-,267,HENSEL,茨城県,274,D-MAN,茨城県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,403,*AINE*,茨城県,509,HENSEL,茨城県,575,D-MAN,茨城県,0,,-
1st&substream,deep in you,0,,-,443,AI1482,茨城県,493,774.B,茨城県,650,D-MAN,茨城県,0,,-
1st&substream,5.1.1.,0,,-,198,NYAOHA,茨城県,978,2.3.8.,茨城県,1567,K6PEE.,茨城県,0,,-
