バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,756,NYAN-T,千葉県,996,SOFLAN,千葉県,1138,CHI8.,千葉県,0,,-
1st&substream,RUGGED ASH,0,,-,366,ESTER*,千葉県,399,EMA,千葉県,1084,69ONNA,千葉県,2038,SEIRYU,千葉県
1st&substream,R3,0,,-,638,KOUMU,千葉県,726,YONEWO,千葉県,903,ROEN,千葉県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,546,MR.2,千葉県,749,0NESH0,千葉県,1111,TENIN,千葉県,0,,-
1st&substream,Macho Gang,0,,-,376,HRBR*,千葉県,1060,POOH3*,千葉県,1655,SEIRYU,千葉県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,195,SMILY.,千葉県,244,MIYAKO,千葉県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,837,516PT,千葉県,924,SKRP,千葉県,1194,SUZAKU,千葉県,0,,-
1st&substream,gentle stress,0,,-,344,*A.T*!,千葉県,668,0NESH0,千葉県,1453,SEIRYU,千葉県,0,,-
1st&substream,GENOM SCREAMS,0,,-,415,511588,千葉県,823,ZAKURO,千葉県,1066,EMA,千葉県,0,,-
1st&substream,GAMBOL,0,,-,269,DAN5MK,千葉県,274,SMILY.,千葉県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,395,ZATSU,千葉県,500,SKRP,千葉県,575,U*TAKA,千葉県,0,,-
1st&substream,deep in you,0,,-,493,SMILY.,千葉県,505,EMA,千葉県,657,POOH3*,千葉県,0,,-
1st&substream,5.1.1.,0,,-,198,*A.T*!,千葉県,1007,0NESH0,千葉県,1568,SEIRYU,千葉県,0,,-
1st&substream,22DUNK,0,,-,509,DAN5MK,千葉県,633,KR-976,千葉県,653,PRECOG,千葉県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,484,AKAHT,千葉県,623,U.,千葉県,648,ROEN,千葉県,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,568,511588,千葉県,852,TEMIKO,千葉県,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,840,BSHAL.,千葉県,1056,511588,千葉県,1229,SEIRYU,千葉県,0,,-
2nd style,I Was The One,0,,-,528,BSHAL.,千葉県,634,1P.MDL,千葉県,692,SUZAKU,千葉県,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,700,KI2NE5,千葉県,894,NSKR,千葉県,1058,S.FFNL,千葉県,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,677,KI2NE5,千葉県,964,ZUNYA,千葉県,1131,MIYAKO,千葉県,0,,-
2nd style,.59,0,,-,695,DAN5MK,千葉県,978,CLOVER,千葉県,1159,SEIRYU,千葉県,0,,-
