バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,787,04*,東京都,987,RYOTA,東京都,1162,NIKE.,東京都,0,,-
1st&substream,RUGGED ASH,0,,-,370,04*,東京都,401,T-GEL*,東京都,1102,557,東京都,2064,DINASO,東京都
1st&substream,R3,0,,-,656,04*,東京都,728,IROHA*,東京都,908,DINASO,東京都,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,558,BAN-ZO,東京都,742,MONOKO,東京都,1121,NIKE.,東京都,0,,-
1st&substream,Macho Gang,0,,-,381,*NNK*,東京都,1036,ALC-P.,東京都,1666,DINASO,東京都,0,,-
1st&substream,KEEP ON MOVIN',0,,-,196,04*,東京都,244,04*,東京都,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,883,04*,東京都,973,HINANO,東京都,1211,DINASO,東京都,0,,-
1st&substream,gentle stress,0,,-,344,04*,東京都,676,MONOKO,東京都,1454,MIKAMO,東京都,0,,-
1st&substream,GENOM SCREAMS,0,,-,420,04*,東京都,818,TOSHI,東京都,1071,NIKE.,東京都,0,,-
1st&substream,GAMBOL,0,,-,274,04*,東京都,274,LEONE,東京都,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,406,04*,東京都,512,WLEN7,東京都,580,DINASO,東京都,0,,-
1st&substream,deep in you,0,,-,496,04*,東京都,502,IROHA*,東京都,665,DINASO,東京都,0,,-
1st&substream,5.1.1.,0,,-,198,405,東京都,1022,8$.,東京都,1572,NIKE.,東京都,0,,-
1st&substream,22DUNK,0,,-,528,04*,東京都,645,1048,東京都,658,DINASO,東京都,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,500,KHNTCY,東京都,615,MA2RI,東京都,646,M,東京都,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,566,1SE,東京都,862,1048,東京都,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,880,*SHO5*,東京都,1081,TA-1K1,東京都,1232,MIKAMO,東京都,0,,-
2nd style,I Was The One,0,,-,539,04*,東京都,641,BILL,東京都,695,DINASO,東京都,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,730,R-O,東京都,926,8KELCH,東京都,1070,1048,東京都,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,682,SANRYU,東京都,1006,CNN,東京都,1131,DINASO,東京都,0,,-
2nd style,.59,0,,-,715,04*,東京都,1001,IROHA*,東京都,1162,MIKAMO,東京都,0,,-
3rd style,THE SAFARI,364,TETU,東京都,1167,MOMOPU,東京都,1784,1048,東京都,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,282,04*,東京都,396,DINASO,東京都,0,,-,0,,-
3rd style,Skyscraper,0,,-,740,04*,東京都,1169,IROHA*,東京都,1257,DINASO,東京都,0,,-
3rd style,Schlagwerk,0,,-,747,MARI*2,東京都,1325,DINASO,東京都,1694,NIKE.,東京都,0,,-
3rd style,REINCARNATION,0,,-,814,MINK,東京都,1020,IROHA*,東京都,1278,1048,東京都,0,,-
3rd style,R5,0,,-,773,04*,東京都,1166,DICE,東京都,1776,DINASO,東京都,0,,-
3rd style,Presto,0,,-,543,04*,東京都,988,PICO,東京都,1014,NIKE.,東京都,0,,-
3rd style,LEADING CYBER,0,,-,857,04*,東京都,1170,IROHA*,東京都,1288,DINASO,東京都,0,,-
3rd style,Holic,0,,-,783,04*,東京都,1235,PICO,東京都,1739,MIKAMO,東京都,0,,-
3rd style,era (nostalmix),0,,-,842,WATAME,東京都,1085,TOSHI,東京都,1558,NIKE.,東京都,0,,-
3rd style,Don't Stop!,0,,-,775,04*,東京都,832,MONOKO,東京都,906,DINASO,東京都,0,,-
3rd style,CAN'T STOP FALLIN'IN LOVE,0,,-,618,04*,東京都,1262,1048,東京都,0,,-,0,,-
4th style,Voltage (feat. Hidemaru),0,,-,908,8KELCH,東京都,1246,DINASO,東京都,1338,DINASO,東京都,0,,-
4th style,SWEET LAB,0,,-,554,04*,東京都,944,CUFFS,東京都,1377,MIKAMO,東京都,0,,-
4th style,starmine,445,TETU,東京都,908,LEONE,東京都,1431,DINASO,東京都,1596,DINASO,東京都,0,,-
4th style,Mr.T.(take me higher),0,,-,797,SANRYU,東京都,989,MIRA*,東京都,1767,EXIT,東京都,0,,-
4th style,minimalian,0,,-,541,04*,東京都,1085,NESS,東京都,1411,PICO,東京都,0,,-
4th style,LOVE WILL・・・,0,,-,558,04*,東京都,750,WLEN7,東京都,1463,NIKE.,東京都,0,,-
4th style,KAMIKAZE,0,,-,962,MINK,東京都,1447,KOO,東京都,2305,NIKE.,東京都,0,,-
4th style,Jam&Marmalade,0,,-,769,04*,東京都,862,R-O,東京都,1023,NIKE.,東京都,0,,-
4th style,Hitch Hiker2,0,,-,840,PICO,東京都,1176,8KELCH,東京都,1323,DINASO,東京都,1946,NIKE.,東京都
4th style,HIGHER,0,,-,539,04*,東京都,914,MONOKO,東京都,1281,1048,東京都,0,,-
4th style,FLOWERS for ALBION,0,,-,238,CHIZ-R,東京都,444,MIKAMO,東京都,0,,-,0,,-
4th style,era (step mix),0,,-,1111,04*,東京都,1408,SHINPO,東京都,1740,NIKE.,東京都,0,,-
4th style,empathy,0,,-,792,MINK,東京都,1294,CUBE,東京都,1481,MIKAMO,東京都,0,,-
4th style,DXY!,0,,-,1281,1048,東京都,1828,D1,東京都,2288,DINASO,東京都,0,,-
4th style,Clione,0,,-,527,04*,東京都,927,DBJACK,東京都,1620,NIKE.,東京都,2189,MIKAMO,東京都
4th style,CHECKING YOU OUT,0,,-,628,MASIMO,東京都,941,HUYU,東京都,1368,PICO,東京都,0,,-
