バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,792,STEEL*,神奈川県,1058,IMOTO*,神奈川県,1161,CYBERX,神奈川県,0,,-
1st&substream,RUGGED ASH,0,,-,370,16GO!?,神奈川県,402,16GO!?,神奈川県,1093,877*S,神奈川県,2058,TATSU,神奈川県
1st&substream,R3,0,,-,623,SHO.,神奈川県,730,STEEL*,神奈川県,908,CYBERX,神奈川県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,531,K.ROSE,神奈川県,724,7S*WTR,神奈川県,1120,CYBERX,神奈川県,0,,-
1st&substream,Macho Gang,0,,-,377,STEEL*,神奈川県,1049,NANA,神奈川県,1659,TATSU,神奈川県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,196,16GO!?,神奈川県,244,16GO!?,神奈川県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,855,UTKR,神奈川県,1010,IMOTO*,神奈川県,1210,SEKI,神奈川県,0,,-
1st&substream,gentle stress,0,,-,340,HAVOC,神奈川県,667,PENNIS,神奈川県,1454,STYU--,神奈川県,0,,-
1st&substream,GENOM SCREAMS,0,,-,422,IMOTO*,神奈川県,827,*9N2*,神奈川県,1070,CYBERX,神奈川県,0,,-
1st&substream,GAMBOL,0,,-,274,16GO!?,神奈川県,274,9-MAP,神奈川県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,395,OECA,神奈川県,522,16GO!?,神奈川県,580,IMOTO*,神奈川県,0,,-
1st&substream,deep in you,0,,-,500,STEEL*,神奈川県,500,USHIO3,神奈川県,664,IGW.,神奈川県,0,,-
1st&substream,5.1.1.,0,,-,198,16GO!?,神奈川県,1006,ZUU,神奈川県,1570,CYDERX,神奈川県,0,,-
1st&substream,22DUNK,0,,-,526,STEEL*,神奈川県,638,STEEL*,神奈川県,657,IMOTO*,神奈川県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,508,STEEL*,神奈川県,626,IMOTO*,神奈川県,648,S.D.Z,神奈川県,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,579,STEEL*,神奈川県,863,S.D.Z,神奈川県,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,877,STEEL*,神奈川県,1124,STEEL*,神奈川県,1231,CYBERX,神奈川県,0,,-
2nd style,I Was The One,0,,-,541,STEEL*,神奈川県,631,OECA,神奈川県,696,877*S,神奈川県,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,777,STEEL*,神奈川県,955,STEEL*,神奈川県,1069,IGW.,神奈川県,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,746,STEEL*,神奈川県,1076,IMOTO*,神奈川県,1131,IGW.,神奈川県,0,,-
