バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,683,FAIRU,岐阜県,944,NODY,岐阜県,1149,UNA-10,岐阜県,0,,-
1st&substream,RUGGED ASH,0,,-,353,KZIIDX,岐阜県,401,NANAME,岐阜県,1088,UNA-10,岐阜県,1988,DEVI-3,岐阜県
1st&substream,R3,0,,-,453,T.H113,岐阜県,715,OHME,岐阜県,905,UNA-10,岐阜県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,444,SHAULA,岐阜県,724,OHME,岐阜県,1097,.,岐阜県,0,,-
1st&substream,Macho Gang,0,,-,370,ASPARA,岐阜県,954,LEGACY,岐阜県,1570,DEVI-3,岐阜県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,193,ROLES,岐阜県,244,YUUNA*,岐阜県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,566,T.H113,岐阜県,969,JIMEN4,岐阜県,1129,OHME,岐阜県,0,,-
1st&substream,gentle stress,0,,-,329,PS,岐阜県,630,U-SK,岐阜県,1440,OMESIS,岐阜県,0,,-
1st&substream,GENOM SCREAMS,0,,-,367,COCOA,岐阜県,769,MIMORI,岐阜県,1058,NE63..,岐阜県,0,,-
1st&substream,GAMBOL,0,,-,268,D*F,岐阜県,274,YUUNA*,岐阜県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,400,D*F,岐阜県,514,NANAME,岐阜県,571,D*F,岐阜県,0,,-
1st&substream,deep in you,0,,-,0,,-,438,564,岐阜県,660,YUUNA*,岐阜県,0,,-
1st&substream,5.1.1.,0,,-,198,YUUNA*,岐阜県,979,USAGI,岐阜県,1566,DEVI-3,岐阜県,0,,-
1st&substream,22DUNK,0,,-,478,KZIIDX,岐阜県,633,NANAME,岐阜県,648,AZARA5,岐阜県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,432,MONTA,岐阜県,589,SAZA73,岐阜県,645,77MARU,岐阜県,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,504,HIME-G,岐阜県,845,YUKIA2,岐阜県,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,637,COCOA,岐阜県,897,564,岐阜県,1227,UNA-10,岐阜県,0,,-
2nd style,I Was The One,0,,-,383,KIGU,岐阜県,622,USAGI,岐阜県,692,77MARU,岐阜県,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,0,,-,843,21-19,岐阜県,1037,CHIFFE,岐阜県,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,472,SHAULA,岐阜県,923,564,岐阜県,1065,FBKING,岐阜県,0,,-
2nd style,.59,0,,-,499,T.H113,岐阜県,978,MIMORI,岐阜県,1134,AZARA5,岐阜県,0,,-
3rd style,THE SAFARI,349,HAL,岐阜県,1060,AS2515,岐阜県,1733,DEVI-3,岐阜県,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,246,COCOA,岐阜県,396,YUUNA*,岐阜県,0,,-,0,,-
3rd style,Skyscraper,0,,-,0,,-,1050,564,岐阜県,1219,YUE.*,岐阜県,0,,-
3rd style,Schlagwerk,0,,-,0,,-,1185,LEGACY,岐阜県,1688,UNA-10,岐阜県,0,,-
3rd style,REINCARNATION,0,,-,0,,-,911,WEST,岐阜県,1243,L10Z,岐阜県,0,,-
3rd style,R5,0,,-,648,T.H113,岐阜県,1031,6262-R,岐阜県,1769,77MARU,岐阜県,0,,-
3rd style,Presto,0,,-,394,TAKKUN,岐阜県,969,TUTTYO,岐阜県,1002,.,岐阜県,0,,-
3rd style,LEADING CYBER,0,,-,740,SAZA73,岐阜県,1117,SHIBA,岐阜県,1233,AZARA5,岐阜県,0,,-
3rd style,Holic,0,,-,611,CHAOS,岐阜県,1179,IKA34,岐阜県,1731,UNA-10,岐阜県,0,,-
3rd style,era (nostalmix),0,,-,600,TAKKUN,岐阜県,1015,HAKU49,岐阜県,1526,ARDBEG,岐阜県,0,,-
3rd style,Don't Stop!,0,,-,71,SHIGE,岐阜県,803,564,岐阜県,902,77MARU,岐阜県,0,,-
3rd style,CAN'T STOP FALLIN'IN LOVE,0,,-,538,MONTA,岐阜県,1202,S-RAN,岐阜県,0,,-,0,,-
4th style,Voltage (feat. Hidemaru),0,,-,850,ECOGTI,岐阜県,1243,YUUNA*,岐阜県,1328,AZARA5,岐阜県,0,,-
4th style,SWEET LAB,0,,-,465,SZR,岐阜県,944,YUE.*,岐阜県,1360,ARDBEG,岐阜県,0,,-
4th style,starmine,421,PS,岐阜県,804,LEMON,岐阜県,1417,YUUNA*,岐阜県,1567,RYO,岐阜県,0,,-
4th style,Mr.T.(take me higher),0,,-,792,564,岐阜県,951,564,岐阜県,1737,AZARA5,岐阜県,0,,-
4th style,minimalian,0,,-,222,FUMPIG,岐阜県,892,21-19,岐阜県,1388,YUKIA2,岐阜県,0,,-
4th style,LOVE WILL・・・,0,,-,400,SHAULA,岐阜県,751,NANAME,岐阜県,1454,ARDBEG,岐阜県,0,,-
4th style,KAMIKAZE,0,,-,922,564,岐阜県,1298,564,岐阜県,2290,NE63..,岐阜県,0,,-
4th style,Jam&Marmalade,0,,-,696,SZR,岐阜県,856,MIMORI,岐阜県,1006,AZARA5,岐阜県,0,,-
4th style,Hitch Hiker2,0,,-,689,SZR,岐阜県,1070,RINO.,岐阜県,1266,ROCKY,岐阜県,1896,YUKIA2,岐阜県
4th style,HIGHER,0,,-,441,MONTA,岐阜県,883,564,岐阜県,1277,DEVI-3,岐阜県,0,,-
4th style,FLOWERS for ALBION,0,,-,240,D*F,岐阜県,444,AZARA5,岐阜県,0,,-,0,,-
4th style,era (step mix),0,,-,721,ICEWNG,岐阜県,1292,NODY,岐阜県,1709,UNA-10,岐阜県,0,,-
4th style,empathy,0,,-,741,SZR,岐阜県,1282,OHME,岐阜県,1455,NE63..,岐阜県,0,,-
4th style,DXY!,0,,-,1159,DM,岐阜県,1822,DEVI-3,岐阜県,2207,ARDBEG,岐阜県,0,,-
4th style,Clione,0,,-,525,YUE.*,岐阜県,850,WEST,岐阜県,1581,77MARU,岐阜県,2145,DEVI-3,岐阜県
4th style,CHECKING YOU OUT,0,,-,618,NODY,岐阜県,847,DEVI-3,岐阜県,1315,ARDBEG,岐阜県,0,,-
4th style,Burnin' The Floor,0,,-,500,SZR,岐阜県,884,564,岐阜県,1428,DEVI-3,岐阜県,0,,-
4th style,Broken My Heart,0,,-,891,6262-R,岐阜県,1355,MAME,岐阜県,1805,AZARA5,岐阜県,0,,-
4th style,B4U,0,,-,881,ROAD19,岐阜県,1445,OHME,岐阜県,2002,UNA-10,岐阜県,0,,-
4th style,ABSOLUTE,0,,-,1188,6262-R,岐阜県,1736,FBKING,岐阜県,2345,NE63..,岐阜県,2681,NE63..,岐阜県
4th style,250bpm,0,,-,591,SZR,岐阜県,859,564,岐阜県,1383,L10Z,岐阜県,0,,-
5th style,V,338,HAL,岐阜県,1186,EX-IC,岐阜県,2390,REDGON,岐阜県,2960,DEVI-3,岐阜県,0,,-
5th style,THE SHINING POLARIS,0,,-,818,SZR,岐阜県,1309,TUTTYO,岐阜県,1545,YUE.*,岐阜県,0,,-
5th style,THE CUBE,0,,-,735,MIMORI,岐阜県,1207,GMT.RK,岐阜県,1330,YUE.*,岐阜県,0,,-
5th style,sync,0,,-,913,SZR,岐阜県,1779,OHME,岐阜県,2366,DEVI-3,岐阜県,0,,-
5th style,still my words,0,,-,803,SZR,岐阜県,1224,AZARA5,岐阜県,0,,-,0,,-
5th style,STILL IN MY HEART,0,,-,985,5110,岐阜県,1253,D*F,岐阜県,1889,DEVI-3,岐阜県,0,,-
5th style,Spin the disc,0,,-,660,SZR,岐阜県,1287,YUUNA*,岐阜県,1329,ARDBEG,岐阜県,0,,-
5th style,sometime,0,,-,725,PS,岐阜県,1060,DEVI-3,岐阜県,1271,AZARA5,岐阜県,0,,-
5th style,RISLIM,0,,-,776,SZR,岐阜県,1225,YUUNA*,岐阜県,0,,-,0,,-
5th style,RIDE ON THE LIGHT (HI GREAT MIX),0,,-,811,SZR,岐阜県,1081,FBKING,岐阜県,1696,DEVI-3,岐阜県,1827,NOACHI,岐阜県
5th style,Regulus,0,,-,945,WEST,岐阜県,1481,DEVI-3,岐阜県,1685,DEVI-3,岐阜県,0,,-
5th style,Real,0,,-,992,6262-R,岐阜県,1678,TUTTYO,岐阜県,1767,AZARA5,岐阜県,0,,-
5th style,Radical Faith,0,,-,1101,6262-R,岐阜県,1491,YUUNA*,岐阜県,1231,ROLES,岐阜県,0,,-
5th style,QQQ,0,,-,1185,5110,岐阜県,1889,DEVI-3,岐阜県,2145,ARDBEG,岐阜県,0,,-
5th style,outer wall,0,,-,828,6262-R,岐阜県,1345,TUTTYO,岐阜県,1691,YUE.*,岐阜県,0,,-
5th style,LOVE AGAIN TONIGHT～for Mellisa mix～,0,,-,674,SZR,岐阜県,935,564,岐阜県,1116,77MARU,岐阜県,0,,-
5th style,in my eyes,0,,-,827,SZR,岐阜県,1453,NANAME,岐阜県,1571,YUUNA*,岐阜県,0,,-
5th style,Abyss,0,,-,1117,SZR,岐阜県,1576,IKA34,岐阜県,1872,DEVI-3,岐阜県,0,,-
6th style,こっちを向いてよ,0,,-,751,SZR,岐阜県,1171,MI2PIN,岐阜県,1377,UNA10R,岐阜県,0,,-
6th style,VJ ARMY,0,,-,1122,KONOHA,岐阜県,1620,J-.-J?,岐阜県,2204,ARDBEG,岐阜県,0,,-
6th style,Take It Easy,0,,-,1348,WEST,岐阜県,2358,DEVI-3,岐阜県,2524,UNA-10,岐阜県,0,,-
6th style,Summer Vacation(CU mix),0,,-,1113,SZR,岐阜県,1816,DEVI-3,岐阜県,0,,-,0,,-
6th style,SOMETHING WONDERFUL,0,,-,773,SZR,岐阜県,1223,GF9129,岐阜県,1907,YUKIA2,岐阜県,0,,-
6th style,route 80s,0,,-,853,MAME,岐阜県,1093,OHME,岐阜県,1514,UNA-10,岐阜県,0,,-
6th style,rottel-da-sun,0,,-,772,OHME,岐阜県,1306,DEVI-3,岐阜県,1851,AZARA5,岐阜県,0,,-
6th style,NEMESIS,0,,-,949,5110,岐阜県,1533,DEVI-3,岐阜県,1839,DEVI-3,岐阜県,0,,-
6th style,Linus,0,,-,875,SZR,岐阜県,1423,MAME,岐阜県,2164,AZARA5,岐阜県,0,,-
6th style,L'amour et la liberte,0,,-,982,TUTTYO,岐阜県,1527,TUTTYO,岐阜県,1941,TUTTYO,岐阜県,0,,-
