バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,794,YUDEX2,愛知県,1049,MONO,愛知県,1161,KUREI,愛知県,0,,-
1st&substream,RUGGED ASH,0,,-,369,TAKPOP,愛知県,402,YUDEX2,愛知県,1097,KUREI,愛知県,2065,PEACE,愛知県
1st&substream,R3,0,,-,658,YUDEX2,愛知県,736,MONO,愛知県,899,KIRISY,愛知県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,559,YUDEX2,愛知県,752,MONO,愛知県,1122,KUREI,愛知県,0,,-
1st&substream,Macho Gang,0,,-,382,YUDEX2,愛知県,1080,MONO,愛知県,1663,BBMART,愛知県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,196,KI.*,愛知県,244,KI.*,愛知県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,867,M0T7R1,愛知県,1000,MONO,愛知県,1180,OMEGA,愛知県,0,,-
1st&substream,gentle stress,0,,-,341,AK1*GX,愛知県,679,MONO,愛知県,1452,KUREI,愛知県,0,,-
1st&substream,GENOM SCREAMS,0,,-,415,AMMKRN,愛知県,815,MONO,愛知県,1070,KUREI,愛知県,0,,-
1st&substream,GAMBOL,0,,-,273,PEACE,愛知県,274,KI.*,愛知県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,399,M0T7R1,愛知県,522,MONO,愛知県,580,BBMART,愛知県,0,,-
1st&substream,deep in you,0,,-,499,YUDEX2,愛知県,510,MONO,愛知県,661,YUDEX2,愛知県,0,,-
1st&substream,5.1.1.,0,,-,198,TMR089,愛知県,1019,MONO,愛知県,1572,KUREI,愛知県,0,,-
1st&substream,22DUNK,0,,-,526,YUDEX2,愛知県,645,MONO,愛知県,653,PEACE,愛知県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,508,YUDEX2,愛知県,626,YUDEX2,愛知県,648,YUDEX2,愛知県,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,558,M0T7R1,愛知県,866,RIS.BN,愛知県,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,881,YUDEX2,愛知県,1123,MONO,愛知県,1229,KUREI,愛知県,0,,-
2nd style,I Was The One,0,,-,540,AMMKRN,愛知県,652,MONO,愛知県,689,KI.*,愛知県,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,776,YUDEX2,愛知県,959,MONO,愛知県,1069,KUREI,愛知県,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,742,YUDEX2,愛知県,1064,MONO,愛知県,1127,AROTTE,愛知県,0,,-
2nd style,.59,0,,-,712,YUDEX2,愛知県,1020,MONO,愛知県,1166,PEACE,愛知県,0,,-
3rd style,THE SAFARI,358,RYU-YU,愛知県,1196,M0T7R1,愛知県,1789,KUREI,愛知県,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,276,AMMKRN,愛知県,396,MONO,愛知県,0,,-,0,,-
3rd style,Skyscraper,0,,-,743,YUDEX2,愛知県,1212,MONO,愛知県,1236,AROTTE,愛知県,0,,-
3rd style,Schlagwerk,0,,-,808,M0T7R1,愛知県,1316,MONO,愛知県,1692,KUREI,愛知県,0,,-
3rd style,REINCARNATION,0,,-,848,YUDEX2,愛知県,1042,MONO,愛知県,1285,PEACE,愛知県,0,,-
3rd style,R5,0,,-,771,YUDEX2,愛知県,1165,MONO,愛知県,1774,BBMART,愛知県,0,,-
3rd style,Presto,0,,-,533,ELIWOD,愛知県,991,MONO,愛知県,1016,KUREI,愛知県,0,,-
3rd style,LEADING CYBER,0,,-,835,M0T7R1,愛知県,1216,MONO,愛知県,1269,AROTTE,愛知県,0,,-
