バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,759,YUKI-.,滋賀県,976,4690,滋賀県,1124,KOTA3,滋賀県,0,,-
1st&substream,RUGGED ASH,0,,-,322,PON*GT,滋賀県,399,*99*,滋賀県,1096,PANKO,滋賀県,2042,PANKO,滋賀県
1st&substream,R3,0,,-,637,YUKI-.,滋賀県,720,YUKI-.,滋賀県,901,R10000,滋賀県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,554,YUKI-.,滋賀県,733,YUKI-.,滋賀県,1087,*99*,滋賀県,0,,-
1st&substream,Macho Gang,0,,-,363,LESS.Q,滋賀県,1066,KASON,滋賀県,1559,KOTA3,滋賀県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,194,YUHEY,滋賀県,242,HIKO,滋賀県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,763,881X,滋賀県,826,58JM0,滋賀県,1139,ES.,滋賀県,0,,-
1st&substream,gentle stress,0,,-,330,YAYO84,滋賀県,651,SHUKA,滋賀県,1436,R.K.,滋賀県,0,,-
1st&substream,GENOM SCREAMS,0,,-,342,!2,滋賀県,741,YUKI-.,滋賀県,1061,R10000,滋賀県,0,,-
1st&substream,GAMBOL,0,,-,237,DEREVA,滋賀県,271,HIKO,滋賀県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,393,4690,滋賀県,291,COC724,滋賀県,569,*99*,滋賀県,0,,-
1st&substream,deep in you,0,,-,229,TKT,滋賀県,448,HIRUME,滋賀県,657,KASON,滋賀県,0,,-
1st&substream,5.1.1.,0,,-,172,U,滋賀県,830,CHALA,滋賀県,1552,*99*,滋賀県,0,,-
1st&substream,22DUNK,0,,-,517,U.M.,滋賀県,220,YUKI,滋賀県,632,MOMO,滋賀県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,505,YUKI-.,滋賀県,618,8VSZU4,滋賀県,628,ES.,滋賀県,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,558,YUKI-.,滋賀県,860,PANKO,滋賀県,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,846,YUKI-.,滋賀県,957,SHANA8,滋賀県,1230,R10000,滋賀県,0,,-
2nd style,I Was The One,0,,-,438,PON*GT,滋賀県,412,SOR4*,滋賀県,677,U.M.,滋賀県,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,333,AAAAAA,滋賀県,819,SHANA8,滋賀県,1032,U.M.,滋賀県,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,0,,-,978,YUKI-.,滋賀県,1086,3*ZU,滋賀県,0,,-
2nd style,.59,0,,-,696,YUKI-.,滋賀県,930,YUKI-.,滋賀県,1108,4690,滋賀県,0,,-
3rd style,THE SAFARI,253,LINK*,滋賀県,1045,NONO,滋賀県,1730,*99*,滋賀県,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,222,LINK*,滋賀県,386,ES.,滋賀県,0,,-,0,,-
3rd style,Skyscraper,0,,-,596,MANA,滋賀県,1166,SHUKA,滋賀県,1241,R.K.,滋賀県,0,,-
