バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,703,SMZS,京都府,1003,EROVI,京都府,1150,TETRIS,京都府,0,,-
1st&substream,RUGGED ASH,0,,-,344,&#1239,京都府,386,346,京都府,1084,HIRO-T,京都府,2034,53SAMA,京都府
1st&substream,R3,0,,-,543,ECL,京都府,692,MICHI,京都府,900,53SAMA,京都府,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,405,FRKAWA,京都府,679,0801,京都府,1101,HIRO-T,京都府,0,,-
1st&substream,Macho Gang,0,,-,355,HYERIN,京都府,985,HOSHZR,京都府,1620,TETRIS,京都府,0,,-
1st&substream,KEEP ON MOVIN',0,,-,193,FUNNY,京都府,244,HIRO-T,京都府,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,691,ECL,京都府,925,0801,京都府,1196,HIRO-T,京都府,0,,-
1st&substream,gentle stress,0,,-,218,TOUYA3,京都府,644,MEME,京都府,1440,HIRO-T,京都府,0,,-
1st&substream,GENOM SCREAMS,0,,-,401,L7.PAN,京都府,787,Q6XHET,京都府,1065,TETRIS,京都府,0,,-
1st&substream,GAMBOL,0,,-,273,CHAIKA,京都府,274,HIRO-T,京都府,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,377,E*YAMA,京都府,448,DIE-OD,京都府,579,HIRO-T,京都府,0,,-
1st&substream,deep in you,0,,-,408,ECL,京都府,396,ECL,京都府,661,HIRO-T,京都府,0,,-
1st&substream,5.1.1.,0,,-,198,DI-IVI,京都府,966,SRAMNE,京都府,1561,FUNNY,京都府,0,,-
1st&substream,22DUNK,0,,-,455,C141C,京都府,545,ECL,京都府,650,HIRO-T,京都府,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,336,TOUYA3,京都府,591,0801,京都府,648,HIRO-T,京都府,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,551,MICHI,京都府,857,HIRO-T,京都府,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,553,TOUYA3,京都府,924,DAY,京都府,1205,HIRO-T,京都府,0,,-
2nd style,I Was The One,0,,-,513,TDOFL,京都府,562,SRAMNE,京都府,690,HIRO-T,京都府,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,672,ECL,京都府,886,EBISU,京都府,1014,NOVIA,京都府,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,614,ECL,京都府,926,0801,京都府,1111,PIMAN,京都府,0,,-
2nd style,.59,0,,-,626,ECL,京都府,957,FUGA,京都府,1141,HIRO-T,京都府,0,,-
3rd style,THE SAFARI,279,DIE-OD,京都府,1100,0801,京都府,1753,HIRO-T,京都府,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,233,RNC,京都府,396,HIRO-T,京都府,0,,-,0,,-
3rd style,Skyscraper,0,,-,670,ECL,京都府,1103,0801,京都府,1240,HIRO-T,京都府,0,,-
3rd style,Schlagwerk,0,,-,739,0801,京都府,1196,DAY,京都府,1680,HIRO-T,京都府,0,,-
3rd style,REINCARNATION,0,,-,753,ECL,京都府,534,JAXY,京都府,1266,HIRO-T,京都府,0,,-
3rd style,R5,0,,-,734,0801,京都府,1149,TAKA,京都府,1770,TETRIS,京都府,0,,-
3rd style,Presto,0,,-,424,CHIMA.,京都府,917,TSKM,京都府,998,HIRO-T,京都府,0,,-
3rd style,LEADING CYBER,0,,-,766,0801,京都府,1123,HYERIN,京都府,1266,53SAMA,京都府,0,,-
3rd style,Holic,0,,-,736,0801,京都府,1165,MICHI,京都府,1697,HIRO-T,京都府,0,,-
3rd style,era (nostalmix),0,,-,768,QQQ,京都府,1049,RAI,京都府,1533,TETRIS,京都府,0,,-
3rd style,Don't Stop!,0,,-,701,ECL,京都府,786,DAY,京都府,904,HIRO-T,京都府,0,,-
3rd style,CAN'T STOP FALLIN'IN LOVE,0,,-,604,SKR,京都府,1252,HIRO-T,京都府,0,,-,0,,-
4th style,Voltage (feat. Hidemaru),0,,-,919,ICHI,京都府,1207,HIRO-T,京都府,1324,TETRIS,京都府,0,,-
4th style,SWEET LAB,0,,-,330,ANIMA,京都府,855,UME123,京都府,1348,TETRIS,京都府,0,,-
4th style,starmine,425,SRAMNE,京都府,855,0801,京都府,1412,HIRO-T,京都府,1568,P-RAGI,京都府,0,,-
4th style,Mr.T.(take me higher),0,,-,783,0801,京都府,935,0801,京都府,1746,HIRO-T,京都府,0,,-
4th style,minimalian,0,,-,330,TOUYA3,京都府,935,DNA,京都府,1377,PIMAN,京都府,0,,-
4th style,LOVE WILL・・・,0,,-,531,MICHI,京都府,686,0801,京都府,1459,HIRO-T,京都府,0,,-
4th style,KAMIKAZE,0,,-,938,0801,京都府,1382,0801,京都府,2281,HIRO-T,京都府,0,,-
4th style,Jam&Marmalade,0,,-,729,EBISU,京都府,837,&#1239,京都府,1001,HIRO-T,京都府,0,,-
4th style,Hitch Hiker2,0,,-,713,ECL,京都府,962,DI-IMR,京都府,1265,RCCHET,京都府,1929,U-POWD,京都府
4th style,HIGHER,0,,-,387,TOUYA3,京都府,849,0801,京都府,1275,HIRO-T,京都府,0,,-
4th style,FLOWERS for ALBION,0,,-,217,TOUYA3,京都府,438,HIRO-T,京都府,0,,-,0,,-
4th style,era (step mix),0,,-,1030,SRAMNE,京都府,1336,Q6XHET,京都府,1695,HIRO-T,京都府,0,,-
4th style,empathy,0,,-,781,0801,京都府,1155,PIRENO,京都府,1435,PIMAN,京都府,0,,-
4th style,DXY!,0,,-,1239,RAI,京都府,1721,TO10,京都府,2201,TORIKO,京都府,0,,-
4th style,Clione,0,,-,428,ECL,京都府,912,TO10,京都府,1599,F6,京都府,2123,F6,京都府
4th style,CHECKING YOU OUT,0,,-,603,AMIAT3,京都府,812,MICHI,京都府,1303,53SAMA,京都府,0,,-
4th style,Burnin' The Floor,0,,-,493,ECL,京都府,894,QQQ,京都府,1436,HIRO-T,京都府,0,,-
4th style,Broken My Heart,0,,-,895,TAKA,京都府,1452,TAKA,京都府,1808,F6,京都府,0,,-
4th style,B4U,0,,-,1007,TAKA,京都府,1498,TO10,京都府,1995,F6,京都府,0,,-
4th style,ABSOLUTE,0,,-,1328,AMERIC,京都府,1730,TO10,京都府,2363,TETRIS,京都府,2697,53SAMA,京都府
4th style,250bpm,0,,-,607,0801,京都府,769,NAO,京都府,1421,TETRIS,京都府,0,,-
5th style,V,329,DAILIS,京都府,1237,TAKA,京都府,2488,F6,京都府,3010,TKN,京都府,0,,-
5th style,THE SHINING POLARIS,0,,-,910,0801,京都府,1168,QQQ,京都府,1581,F6,京都府,0,,-
5th style,THE CUBE,0,,-,718,SKR,京都府,1050,HALF&1,京都府,1346,HIRO-T,京都府,0,,-
5th style,sync,0,,-,1049,TAKA,京都府,1874,TAKA,京都府,2391,53SAMA,京都府,0,,-
5th style,still my words,0,,-,877,0801,京都府,1224,HIRO-T,京都府,0,,-,0,,-
5th style,STILL IN MY HEART,0,,-,965,0801,京都府,1293,TAKA,京都府,1914,F6,京都府,0,,-
5th style,Spin the disc,0,,-,705,0801,京都府,1298,HIRO-T,京都府,1323,HIRO-T,京都府,0,,-
5th style,sometime,0,,-,712,0801,京都府,999,TSU9NE,京都府,1296,HIRO-T,京都府,0,,-
5th style,RISLIM,0,,-,832,0801,京都府,1226,TETRIS,京都府,0,,-,0,,-
5th style,RIDE ON THE LIGHT (HI GREAT MIX),0,,-,831,0801,京都府,995,0801,京都府,1713,HIRO-T,京都府,1828,53SAMA,京都府
5th style,Regulus,0,,-,910,0801,京都府,1403,MICHI,京都府,1678,HIRO-T,京都府,0,,-
5th style,Real,0,,-,1019,0801,京都府,1605,NUBE,京都府,1783,HIRO-T,京都府,0,,-
5th style,Radical Faith,0,,-,1127,0801,京都府,1402,E*YAMA,京都府,1284,LAMBDA,京都府,0,,-
5th style,QQQ,0,,-,1192,MICHI,京都府,1765,OBURI,京都府,2154,HIRO-T,京都府,0,,-
5th style,outer wall,0,,-,849,0801,京都府,1277,TO10,京都府,1741,PIMAN,京都府,0,,-
5th style,LOVE AGAIN TONIGHT～for Mellisa mix～,0,,-,720,0801,京都府,964,0801,京都府,1120,HIRO-T,京都府,0,,-
5th style,in my eyes,0,,-,926,MYNS.R,京都府,1055,MK.K,京都府,1554,AMERIC,京都府,0,,-
5th style,Abyss,0,,-,869,NEN3K0,京都府,1557,GOGO*T,京都府,1881,F6,京都府,0,,-
6th style,こっちを向いてよ,0,,-,801,0801,京都府,1224,GOGO*T,京都府,1354,4BATE,京都府,0,,-
6th style,VJ ARMY,0,,-,854,25,京都府,1610,RAI,京都府,2210,TETRIS,京都府,0,,-
6th style,Take It Easy,0,,-,1405,EBISU,京都府,2289,MONO34,京都府,2504,53SAMA,京都府,0,,-
6th style,Summer Vacation(CU mix),0,,-,1150,KAREN,京都府,1832,53SAMA,京都府,0,,-,0,,-
6th style,SOMETHING WONDERFUL,0,,-,854,0801,京都府,1172,TOSHI,京都府,1962,TORIKO,京都府,0,,-
6th style,route 80s,0,,-,818,C-NOZ.,京都府,1128,GOGO*T,京都府,1519,P-RAGI,京都府,0,,-
6th style,rottel-da-sun,0,,-,654,ECL,京都府,1231,189,京都府,1830,HIRO-T,京都府,0,,-
6th style,NEMESIS,0,,-,950,&592AK,京都府,1504,MONO34,京都府,1866,TKN,京都府,0,,-
6th style,Linus,0,,-,906,0801,京都府,1519,TAKA,京都府,2188,53SAMA,京都府,0,,-
6th style,L'amour et la liberte,0,,-,961,SKR,京都府,1561,HIRO-T,京都府,2012,P-RAGI,京都府,0,,-
6th style,G2,0,,-,1420,IIDX30,京都府,1517,DAY,京都府,2309,TETRIS,京都府,0,,-
6th style,Frozen Ray (original mix),0,,-,976,CHIMA.,京都府,1635,FUGA,京都府,1803,HIRO-T,京都府,0,,-
6th style,Free Style,0,,-,873,0801,京都府,1031,GJD,京都府,1272,HIRO-T,京都府,0,,-
