バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,745,YUKI,大阪府,1016,N1TRO,大阪府,1142,KAKOP,大阪府,0,,-
1st&substream,RUGGED ASH,0,,-,361,N1TRO,大阪府,402,FOX,大阪府,1082,NOIK.K,大阪府,2044,VELVET,大阪府
1st&substream,R3,0,,-,650,NOLIZO,大阪府,730,FOX,大阪府,891,SLAYER,大阪府,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,520,YUKI,大阪府,744,FOX,大阪府,1107,N*VIE,大阪府,0,,-
1st&substream,Macho Gang,0,,-,376,MSY-8,大阪府,1034,PISCES,大阪府,1653,VELVET,大阪府,0,,-
1st&substream,KEEP ON MOVIN',0,,-,195,HARUNA,大阪府,244,PANJAB,大阪府,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,861,TOR,大阪府,973,N1TRO,大阪府,1200,SHTOLA,大阪府,0,,-
1st&substream,gentle stress,0,,-,338,R.S,大阪府,675,KYRIE,大阪府,1449,IM0TO*,大阪府,0,,-
1st&substream,GENOM SCREAMS,0,,-,412,N1TRO,大阪府,807,FOX,大阪府,1066,Y,大阪府,0,,-
1st&substream,GAMBOL,0,,-,269,ATAOKA,大阪府,274,FOX,大阪府,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,400,N1TRO,大阪府,518,HIGA-C,大阪府,576,KAKOP,大阪府,0,,-
1st&substream,deep in you,0,,-,471,V1WIZ*,大阪府,501,N1TRO,大阪府,652,WAMDUS,大阪府,0,,-
1st&substream,5.1.1.,0,,-,198,TAKA.S,大阪府,1008,FOX,大阪府,1565,ALNIO,大阪府,0,,-
1st&substream,22DUNK,0,,-,515,N1TRO,大阪府,629,N1TRO,大阪府,649,WAMDUS,大阪府,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,489,YUKI,大阪府,616,SAYUKI,大阪府,646,SLAYER,大阪府,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,553,N1TRO,大阪府,857,PANJAB,大阪府,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,851,N1TRO,大阪府,1111,N1TRO,大阪府,1227,$MOASS,大阪府,0,,-
2nd style,I Was The One,0,,-,528,N1TRO,大阪府,642,FOX,大阪府,691,KAKOP,大阪府,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,746,NYAH,大阪府,924,N1TRO,大阪府,1058,KAKOP,大阪府,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,678,YUKI,大阪府,1028,N1TRO,大阪府,1124,?,大阪府,0,,-
2nd style,.59,0,,-,668,YUKI,大阪府,1005,WAMDUS,大阪府,1147,NOIK.K,大阪府,0,,-
3rd style,THE SAFARI,361,N1TRO,大阪府,1150,KEYNES,大阪府,1775,VELVET,大阪府,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,269,N1TRO,大阪府,391,INANNA,大阪府,0,,-,0,,-
3rd style,Skyscraper,0,,-,661,YUKI,大阪府,1183,N1TRO,大阪府,1251,IM0TO*,大阪府,0,,-
3rd style,Schlagwerk,0,,-,760,YUKI,大阪府,1299,N1TRO,大阪府,1682,MIRAI,大阪府,0,,-
3rd style,REINCARNATION,0,,-,809,IIDX31,大阪府,1014,N1TRO,大阪府,1273,SHTOLA,大阪府,0,,-
3rd style,R5,0,,-,760,BIGSHO,大阪府,1151,N1TRO,大阪府,1765,IM0TO*,大阪府,0,,-
3rd style,Presto,0,,-,522,N1TRO,大阪府,967,N1TRO,大阪府,1010,HAL,大阪府,0,,-
3rd style,LEADING CYBER,0,,-,842,N1TRO,大阪府,1170,N1TRO,大阪府,1263,HAL,大阪府,0,,-
3rd style,Holic,0,,-,752,16DORI,大阪府,1200,N1TRO,大阪府,1740,VELVET,大阪府,0,,-
3rd style,era (nostalmix),0,,-,829,IIDX31,大阪府,1069,N1TRO,大阪府,1551,VELVET,大阪府,0,,-
3rd style,Don't Stop!,0,,-,743,UKYO*,大阪府,849,HIGA-C,大阪府,905,HIGA-C,大阪府,0,,-
3rd style,CAN'T STOP FALLIN'IN LOVE,0,,-,608,IIDX31,大阪府,1241,SHTOLA,大阪府,0,,-,0,,-
4th style,Voltage (feat. Hidemaru),0,,-,874,TOUKA.,大阪府,1251,VELVET,大阪府,1325,VELVET,大阪府,0,,-
4th style,SWEET LAB,0,,-,505,FALL,大阪府,950,N1TRO,大阪府,1368,VELVET,大阪府,0,,-
4th style,starmine,437,NETHER,大阪府,831,KEYNES,大阪府,1429,VELVET,大阪府,1576,HY*ROA,大阪府,0,,-
4th style,Mr.T.(take me higher),0,,-,789,KO-86,大阪府,994,FOX,大阪府,1769,BRIBRI,大阪府,0,,-
4th style,minimalian,0,,-,531,N1TRO,大阪府,1033,N1TRO,大阪府,1395,*RK*,大阪府,0,,-
4th style,LOVE WILL・・・,0,,-,527,LATIAS,大阪府,754,FOX,大阪府,1459,NOIK.K,大阪府,0,,-
4th style,KAMIKAZE,0,,-,945,UKYO*,大阪府,1448,HIGA-C,大阪府,2296,VELVET,大阪府,0,,-
4th style,Jam&Marmalade,0,,-,746,HITUGI,大阪府,880,N1TRO,大阪府,1000,$MOASS,大阪府,0,,-
4th style,Hitch Hiker2,0,,-,720,R.S,大阪府,1175,N1TRO,大阪府,1308,SHTOLA,大阪府,1929,$MOASS,大阪府
4th style,HIGHER,0,,-,530,N1TRO,大阪府,921,FOX,大阪府,1279,NOIK.K,大阪府,0,,-
4th style,FLOWERS for ALBION,0,,-,238,N1TRO,大阪府,443,I.KILA,大阪府,0,,-,0,,-
4th style,era (step mix),0,,-,929,PRIME.,大阪府,1402,I.KILA,大阪府,1722,VELVET,大阪府,0,,-
4th style,empathy,0,,-,740,YUKI,大阪府,1304,N1TRO,大阪府,1473,VELVET,大阪府,0,,-
4th style,DXY!,0,,-,1207,ABERU,大阪府,1881,HAL,大阪府,2268,VELVET,大阪府,0,,-
4th style,Clione,0,,-,516,N1TRO,大阪府,943,N1TRO,大阪府,1599,HAL,大阪府,2176,VELVET,大阪府
4th style,CHECKING YOU OUT,0,,-,650,INANNA,大阪府,845,OTACON,大阪府,1368,VELVET,大阪府,0,,-
4th style,Burnin' The Floor,0,,-,565,N1TRO,大阪府,949,FOX,大阪府,1439,SLAYER,大阪府,0,,-
4th style,Broken My Heart,0,,-,932,FOX,大阪府,1458,N1TRO,大阪府,1810,HAL,大阪府,0,,-
4th style,B4U,0,,-,1014,N1TRO,大阪府,1560,HAL,大阪府,2012,$MOASS,大阪府,0,,-
