バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,745,RAN.S,島根県,950,CHARIN,島根県,1145,NAKA5,島根県,0,,-
1st&substream,RUGGED ASH,0,,-,332,CK389.,島根県,328,SIJIMI,島根県,1037,BOSS,島根県,2013,NAKA5,島根県
1st&substream,R3,0,,-,635,CHARIN,島根県,708,CHARIN,島根県,823,CHARIN,島根県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,529,RAN.S,島根県,0,,-,1028,RAN.S,島根県,0,,-
1st&substream,Macho Gang,0,,-,353,RAN.S,島根県,0,,-,1543,RASERI,島根県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,168,GAYUU,島根県,240,K*N.SY,島根県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,737,CK389.,島根県,938,LU.PSJ,島根県,1085,CHARIN,島根県,0,,-
1st&substream,gentle stress,0,,-,325,RAN.S,島根県,0,,-,1306,CHARIN,島根県,0,,-
1st&substream,GENOM SCREAMS,0,,-,345,CK389.,島根県,793,RAN.S,島根県,953,CHARIN,島根県,0,,-
1st&substream,GAMBOL,0,,-,231,CK389.,島根県,246,SUZUKA,島根県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,378,CK389.,島根県,0,,-,538,2KAPON,島根県,0,,-
1st&substream,deep in you,0,,-,342,CK389.,島根県,475,RAN.S,島根県,620,CHARIN,島根県,0,,-
1st&substream,5.1.1.,0,,-,191,CHARIN,島根県,952,CHARIN,島根県,1546,RASERI,島根県,0,,-
1st&substream,22DUNK,0,,-,419,CK389.,島根県,611,RAN.S,島根県,611,CHARIN,島根県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,450,CK389.,島根県,582,LU.PSJ,島根県,631,CHARIN,島根県,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,488,CK389.,島根県,800,CHARIN,島根県,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,844,RAN.S,島根県,0,,-,1172,KOHNOS,島根県,0,,-
2nd style,I Was The One,0,,-,513,LU.PSJ,島根県,545,CK389.,島根県,654,CHARIN,島根県,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,289,FCRPRO,島根県,868,LU.PSJ,島根県,959,CHARIN,島根県,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,604,CK389.,島根県,0,,-,1064,RAN.S,島根県,0,,-
2nd style,.59,0,,-,477,RIOT39,島根県,960,RAN.S,島根県,1010,SUZUKA,島根県,0,,-
3rd style,THE SAFARI,329,CK389.,島根県,1049,LU.PSJ,島根県,1577,RAN.S,島根県,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,260,CK389.,島根県,347,CK389.,島根県,0,,-,0,,-
