バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,737,A1,広島県,854,100HEY,広島県,1139,KENRYU,広島県,0,,-
1st&substream,RUGGED ASH,0,,-,359,CAMI*U,広島県,400,3.MPS*,広島県,1091,CO39LO,広島県,2011,-*?*-,広島県
1st&substream,R3,0,,-,590,A1,広島県,714,MIASMA,広島県,901,CO39LO,広島県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,511,V2ABG,広島県,712,569*RH,広島県,1107,-*?*-,広島県,0,,-
1st&substream,Macho Gang,0,,-,380,MELT,広島県,1044,3439,広島県,1618,CO39LO,広島県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,193,SILVI,広島県,244,MARIN.,広島県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,584,IMO,広島県,911,569*RH,広島県,1184,VIRUS,広島県,0,,-
1st&substream,gentle stress,0,,-,335,A1,広島県,680,ROBBY,広島県,1439,CO39LO,広島県,0,,-
1st&substream,GENOM SCREAMS,0,,-,388,A1,広島県,819,MELT,広島県,1054,VIRUS,広島県,0,,-
1st&substream,GAMBOL,0,,-,274,MARIN.,広島県,274,3.MPS*,広島県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,398,ROBBY,広島県,497,569*RH,広島県,575,MELT,広島県,0,,-
1st&substream,deep in you,0,,-,475,KYOKA,広島県,475,569*RH,広島県,651,3.MPS*,広島県,0,,-
1st&substream,5.1.1.,0,,-,189,NESS,広島県,1005,ROBBY,広島県,1563,CO39LO,広島県,0,,-
1st&substream,22DUNK,0,,-,521,CHALI.,広島県,570,CAMI*U,広島県,647,TATSU*,広島県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,494,A1,広島県,579,MOE,広島県,642,TATSU*,広島県,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,538,A1,広島県,859,3.MPS*,広島県,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,796,A1,広島県,901,MOE,広島県,1196,MUMEI,広島県,0,,-
2nd style,I Was The One,0,,-,500,A1,広島県,589,1SUCQ*,広島県,690,MELT,広島県,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,463,MATCH,広島県,862,BUNYA,広島県,1053,TATSU*,広島県,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,464,MITU,広島県,938,CHTRAN,広島県,1099,MELT,広島県,0,,-
2nd style,.59,0,,-,666,A1,広島県,962,DRIVE,広島県,1131,SILVI,広島県,0,,-
3rd style,THE SAFARI,329,NOIRE,広島県,1115,SHALON,広島県,1730,VIRUS,広島県,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,258,V2ABG,広島県,396,MARIN.,広島県,0,,-,0,,-
3rd style,Skyscraper,0,,-,0,,-,1124,569*RH,広島県,1227,QOK,広島県,0,,-
3rd style,Schlagwerk,0,,-,743,KURO,広島県,1317,CO39LO,広島県,1681,CO39LO,広島県,0,,-
3rd style,REINCARNATION,0,,-,727,V2ABG,広島県,977,STEEL*,広島県,1272,CO39LO,広島県,0,,-
3rd style,R5,0,,-,755,STEEL*,広島県,1127,3439,広島県,1759,ROBBY,広島県,0,,-
3rd style,Presto,0,,-,491,A1,広島県,935,IJIRO*,広島県,999,VIRUS,広島県,0,,-
3rd style,LEADING CYBER,0,,-,772,A1,広島県,1161,ROBBY,広島県,1259,CO39LO,広島県,0,,-
3rd style,Holic,0,,-,762,HOLY,広島県,1108,DAN9O,広島県,1705,CO39LO,広島県,0,,-
3rd style,era (nostalmix),0,,-,763,EVO66,広島県,1083,SYUUUU,広島県,1539,MORBOL,広島県,0,,-
3rd style,Don't Stop!,0,,-,718,A1,広島県,768,AYFIA.,広島県,904,CO39LO,広島県,0,,-
3rd style,CAN'T STOP FALLIN'IN LOVE,0,,-,596,A1,広島県,1254,-AKI-,広島県,0,,-,0,,-
4th style,Voltage (feat. Hidemaru),0,,-,879,SRY,広島県,1221,-AKI-,広島県,1324,SILVI,広島県,0,,-
4th style,SWEET LAB,0,,-,502,A1,広島県,839,ZR&CO.,広島県,1370,CO39LO,広島県,0,,-
4th style,starmine,427,NOIRE,広島県,886,STEEL*,広島県,1413,ROBBY,広島県,1566,S.WEEK,広島県,0,,-
4th style,Mr.T.(take me higher),0,,-,765,A1,広島県,981,STEEL*,広島県,1751,CO39LO,広島県,0,,-
4th style,minimalian,0,,-,501,V2ABG,広島県,1075,S.WEEK,広島県,1396,CO39LO,広島県,0,,-
4th style,LOVE WILL・・・,0,,-,530,A1,広島県,754,3.MPS*,広島県,1449,TATSU*,広島県,0,,-
4th style,KAMIKAZE,0,,-,1003,STEEL*,広島県,1399,569*RH,広島県,2304,MORBOL,広島県,0,,-
4th style,Jam&Marmalade,0,,-,0,,-,808,CAMI*U,広島県,1012,CO39LO,広島県,0,,-
4th style,Hitch Hiker2,0,,-,757,V2ABG,広島県,1134,569*RH,広島県,1299,QOK,広島県,1928,MORBOL,広島県
4th style,HIGHER,0,,-,510,A1,広島県,778,MITTO#,広島県,1268,MELT,広島県,0,,-
4th style,FLOWERS for ALBION,0,,-,224,V2ABG,広島県,441,TATSU*,広島県,0,,-,0,,-
4th style,era (step mix),0,,-,925,LLIMMI,広島県,1255,TTI,広島県,1719,MORBOL,広島県,0,,-
4th style,empathy,0,,-,0,,-,1224,IJIRO*,広島県,1474,MORBOL,広島県,0,,-
4th style,DXY!,0,,-,1204,TA5WA3,広島県,1764,7MAZUN,広島県,2224,CO39LO,広島県,0,,-
4th style,Clione,0,,-,506,KYOKA,広島県,715,VICE,広島県,1588,YMNSS,広島県,2133,VIRUS,広島県
4th style,CHECKING YOU OUT,0,,-,633,MELT,広島県,873,3.MPS*,広島県,1316,KENRYU,広島県,0,,-
4th style,Burnin' The Floor,0,,-,553,A1,広島県,927,K*N3,広島県,1441,CO39LO,広島県,0,,-
4th style,Broken My Heart,0,,-,833,A1,広島県,1336,SRY,広島県,1799,-BEL-,広島県,0,,-
4th style,B4U,0,,-,864,V2ABG,広島県,1528,S.WEEK,広島県,2004,-*?*-,広島県,0,,-
4th style,ABSOLUTE,0,,-,1240,YACH.O,広島県,1803,3.MPS*,広島県,2380,CO39LO,広島県,2722,-*?*-,広島県
4th style,250bpm,0,,-,581,V2ABG,広島県,901,*ASPN*,広島県,1425,CO39LO,広島県,0,,-
5th style,V,300,NOIRE,広島県,1248,STEEL*,広島県,2489,-AKI-,広島県,2953,-*?*-,広島県,0,,-
5th style,THE SHINING POLARIS,0,,-,941,STEEL*,広島県,1227,SHALON,広島県,1555,MELT,広島県,0,,-
5th style,THE CUBE,0,,-,698,A1,広島県,1208,NESS,広島県,1355,CO39LO,広島県,0,,-
5th style,sync,0,,-,731,MH,広島県,1705,AYA,広島県,2369,-AKI-,広島県,0,,-
5th style,still my words,0,,-,884,569*RH,広島県,1233,CO39LO,広島県,0,,-,0,,-
5th style,STILL IN MY HEART,0,,-,400,SEICA1,広島県,975,CAMI*U,広島県,1906,-*?*-,広島県,0,,-
5th style,Spin the disc,0,,-,400,KYABE,広島県,1283,KENRYU,広島県,1345,CO39LO,広島県,0,,-
5th style,sometime,0,,-,719,A1,広島県,934,SU-MAU,広島県,1316,CO39LO,広島県,0,,-
5th style,RISLIM,0,,-,881,A1,広島県,1214,VIRUS,広島県,0,,-,0,,-
5th style,RIDE ON THE LIGHT (HI GREAT MIX),0,,-,799,A1,広島県,1014,STEEL*,広島県,1701,KENRYU,広島県,1815,MORBOL,広島県
5th style,Regulus,0,,-,741,KURO,広島県,1382,3439,広島県,1725,CO39LO,広島県,0,,-
5th style,Real,0,,-,1060,STEEL*,広島県,1375,YACH.O,広島県,1775,KEH,広島県,0,,-
5th style,Radical Faith,0,,-,1158,STEEL*,広島県,1497,MELT,広島県,1273,TEN-IN,広島県,0,,-
