バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,0,,-,1008,LKAR,徳島県,1109,12EX65,徳島県,0,,-
1st&substream,RUGGED ASH,0,,-,335,BAER..,徳島県,393,SOL!D.,徳島県,1093,L#RUKA,徳島県,2015,L#RUKA,徳島県
1st&substream,R3,0,,-,0,,-,691,5039,徳島県,894,CROSS,徳島県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,375,9-ROW,徳島県,708,SOL!D.,徳島県,1093,MA-KUN,徳島県,0,,-
1st&substream,Macho Gang,0,,-,368,O-TA13,徳島県,988,DG192,徳島県,1566,MA-KUN,徳島県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,189,O-TA13,徳島県,242,L#RUKA,徳島県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,0,,-,881,LEUCIS,徳島県,1177,MA-KUN,徳島県,0,,-
1st&substream,gentle stress,0,,-,330,K,徳島県,596,K,徳島県,1432,L#RUKA,徳島県,0,,-
1st&substream,GENOM SCREAMS,0,,-,387,K,徳島県,756,ORE,徳島県,1041,MA-KUN,徳島県,0,,-
1st&substream,GAMBOL,0,,-,259,-LNK-,徳島県,264,LKAR,徳島県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,348,IIDX30,徳島県,435,IIDX30,徳島県,579,L#RUKA,徳島県,0,,-
1st&substream,deep in you,0,,-,0,,-,402,9-ROW,徳島県,646,MA-KUN,徳島県,0,,-
1st&substream,5.1.1.,0,,-,157,DGT4U,徳島県,1002,ORE,徳島県,1562,L#RUKA,徳島県,0,,-
1st&substream,22DUNK,0,,-,463,OCHAZK,徳島県,608,LKAR,徳島県,639,MA-KUN,徳島県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,358,DRVUS*,徳島県,0,,-,648,L#RUKA,徳島県,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,462,DRVUS*,徳島県,840,TATZTO,徳島県,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,439,TEPHRA,徳島県,1091,LKAR,徳島県,1212,L#RUKA,徳島県,0,,-
2nd style,I Was The One,0,,-,398,DRVUS*,徳島県,643,KOUIKA,徳島県,683,MA-KUN,徳島県,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,737,#!-$.?,徳島県,872,#!-$.?,徳島県,1038,KOUIKA,徳島県,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,0,,-,1032,LKAR,徳島県,1088,TATZTO,徳島県,0,,-
2nd style,.59,0,,-,0,,-,989,O-TA13,徳島県,1125,12EX65,徳島県,0,,-
3rd style,THE SAFARI,190,JIMSB,徳島県,952,HRDMKO,徳島県,1674,MA-KUN,徳島県,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,0,,-,191,CHA8N,徳島県,0,,-,0,,-
3rd style,Skyscraper,0,,-,273,HILONN,徳島県,1100,ORE,徳島県,1209,LKAR,徳島県,0,,-
3rd style,Schlagwerk,0,,-,0,,-,1031,DGT4U,徳島県,1681,L#RUKA,徳島県,0,,-
3rd style,REINCARNATION,0,,-,0,,-,959,ORE,徳島県,1212,12EX65,徳島県,0,,-
3rd style,R5,0,,-,701,BAER..,徳島県,1100,SOL!D.,徳島県,1742,TATZTO,徳島県,0,,-
3rd style,Presto,0,,-,364,DRVUS*,徳島県,704,MISTY*,徳島県,998,MA-KUN,徳島県,0,,-
3rd style,LEADING CYBER,0,,-,0,,-,1043,ORE,徳島県,1201,SHU1,徳島県,0,,-
3rd style,Holic,0,,-,507,KINDEN,徳島県,1071,ORE,徳島県,1695,L#RUKA,徳島県,0,,-
3rd style,era (nostalmix),0,,-,634,MMG,徳島県,973,SOL!D.,徳島県,1510,L#RUKA,徳島県,0,,-
3rd style,Don't Stop!,0,,-,343,CHA8N,徳島県,597,SHIMA,徳島県,667,SHIMA,徳島県,0,,-
3rd style,CAN'T STOP FALLIN'IN LOVE,0,,-,176,JIMSB,徳島県,1212,RIN5*,徳島県,0,,-,0,,-
4th style,Voltage (feat. Hidemaru),0,,-,645,KASS,徳島県,1238,KOUIKA,徳島県,1323,L#RUKA,徳島県,0,,-
4th style,SWEET LAB,0,,-,208,SY.,徳島県,847,ORE,徳島県,1346,L#RUKA,徳島県,0,,-
4th style,starmine,0,,-,830,K,徳島県,1404,KOUIKA,徳島県,1546,L#RUKA,徳島県,0,,-
4th style,Mr.T.(take me higher),0,,-,0,,-,840,IIDX30,徳島県,1752,L#RUKA,徳島県,0,,-
4th style,minimalian,0,,-,326,DRVUS*,徳島県,1043,LKAR,徳島県,1398,L#RUKA,徳島県,0,,-
