バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,734,NORTH,福岡県,969,ROGA,福岡県,1155,MR2N,福岡県,0,,-
1st&substream,RUGGED ASH,0,,-,355,1,福岡県,370,YURI,福岡県,1105,LOOT,福岡県,2048,SOMORI,福岡県
1st&substream,R3,0,,-,614,NORTH,福岡県,719,KJCJSJ,福岡県,905,AMI*,福岡県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,539,G4ZERV,福岡県,623,AGOOOO,福岡県,1112,MR2N,福岡県,0,,-
1st&substream,Macho Gang,0,,-,373,KAMBAL,福岡県,1008,1,福岡県,1638,LOOT,福岡県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,192,KRS#04,福岡県,243,77KURA,福岡県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,861,NORTH,福岡県,911,N.S.K,福岡県,1206,MR2N,福岡県,0,,-
1st&substream,gentle stress,0,,-,325,AKI,福岡県,653,S-CAT!,福岡県,1450,LOOT,福岡県,0,,-
1st&substream,GENOM SCREAMS,0,,-,389,NAKA.F,福岡県,770,#831*,福岡県,1063,LOOT,福岡県,0,,-
1st&substream,GAMBOL,0,,-,266,YUDAYA,福岡県,274,LOOT,福岡県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,382,TAKE.M,福岡県,473,HOKKE,福岡県,576,MR2N,福岡県,0,,-
1st&substream,deep in you,0,,-,406,RAY.,福岡県,506,MR2N,福岡県,664,MR2N,福岡県,0,,-
1st&substream,5.1.1.,0,,-,191,96SAWA,福岡県,976,96SAWA,福岡県,1571,LOOT,福岡県,0,,-
1st&substream,22DUNK,0,,-,427,SUSUME,福岡県,626,NORTH,福岡県,654,KURIBO,福岡県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,480,1,福岡県,612,ROGA,福岡県,646,MR2N,福岡県,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,536,1,福岡県,859,MR2N,福岡県,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,839,1,福岡県,1017,S-CAT!,福岡県,1224,MR2N,福岡県,0,,-
2nd style,I Was The One,0,,-,521,BEEYAN,福岡県,635,G4ZERV,福岡県,692,77KURA,福岡県,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,725,1,福岡県,896,#831*,福岡県,1071,MR2N,福岡県,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,682,1,福岡県,939,DIO,福岡県,1130,MR2N,福岡県,0,,-
2nd style,.59,0,,-,683,1,福岡県,1001,IIDX31,福岡県,1159,MR2N,福岡県,0,,-
3rd style,THE SAFARI,348,LESSOV,福岡県,1147,IIDX31,福岡県,1764,TIHAYA,福岡県,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,269,1,福岡県,395,TIHAYA,福岡県,0,,-,0,,-
3rd style,Skyscraper,0,,-,700,1,福岡県,1100,DIO,福岡県,1249,MR2N,福岡県,0,,-
3rd style,Schlagwerk,0,,-,781,1,福岡県,1235,O.T!,福岡県,1690,LOOT,福岡県,0,,-
3rd style,REINCARNATION,0,,-,817,1,福岡県,829,POYU,福岡県,1272,MR2N,福岡県,0,,-
3rd style,R5,0,,-,737,SLICEE,福岡県,1142,SOEDA,福岡県,1767,SUZAKU,福岡県,0,,-
3rd style,Presto,0,,-,507,1,福岡県,930,OSAM,福岡県,1009,MR2N,福岡県,0,,-
3rd style,LEADING CYBER,0,,-,806,1,福岡県,1022,KED.K,福岡県,1274,LOOT,福岡県,0,,-
3rd style,Holic,0,,-,724,1,福岡県,1185,GIDEON,福岡県,1726,MR2N,福岡県,0,,-
3rd style,era (nostalmix),0,,-,605,NAZUNA,福岡県,1067,KURIBO,福岡県,1538,KENTAN,福岡県,0,,-
3rd style,Don't Stop!,0,,-,755,GIDEON,福岡県,844,SUZAKU,福岡県,902,IIDX31,福岡県,0,,-
3rd style,CAN'T STOP FALLIN'IN LOVE,0,,-,588,1,福岡県,1254,MR2N,福岡県,0,,-,0,,-
4th style,Voltage (feat. Hidemaru),0,,-,914,KITA-N,福岡県,1233,SOSEI,福岡県,1332,LOOT,福岡県,0,,-
4th style,SWEET LAB,0,,-,328,AA,福岡県,939,CHEBEX,福岡県,1376,LOOT,福岡県,0,,-
4th style,starmine,414,PIXEL,福岡県,843,NORTH,福岡県,1428,SOSEI,福岡県,1594,MR2N,福岡県,0,,-
4th style,Mr.T.(take me higher),0,,-,753,SHINRO,福岡県,995,NORTH,福岡県,1762,SOMORI,福岡県,0,,-
4th style,minimalian,0,,-,504,1,福岡県,1071,SUEDOW,福岡県,1402,MR2N,福岡県,0,,-
4th style,LOVE WILL・・・,0,,-,532,NORTH,福岡県,724,ROGA,福岡県,1461,ACRUX*,福岡県,0,,-
4th style,KAMIKAZE,0,,-,973,1,福岡県,1304,YAPPO3,福岡県,2302,LOOT,福岡県,0,,-
4th style,Jam&Marmalade,0,,-,742,1,福岡県,808,DIO,福岡県,1015,MR2N,福岡県,0,,-
4th style,Hitch Hiker2,0,,-,710,SHINRO,福岡県,1139,NORTH,福岡県,1320,LOOT,福岡県,1925,MR2N,福岡県
