バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,603,427,大分県,936,OOGI,大分県,1154,HINATA,大分県,0,,-
1st&substream,RUGGED ASH,0,,-,196,GUNDAM,大分県,380,R-TYPE,大分県,1094,HINATA,大分県,2016,YAMADA,大分県
1st&substream,R3,0,,-,654,CXF,大分県,612,R-TYPE,大分県,903,HINATA,大分県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,59,FULBER,大分県,218,YM,大分県,1118,HINATA,大分県,0,,-
1st&substream,Macho Gang,0,,-,360,N*,大分県,982,PLAN.B,大分県,1638,YAMADA,大分県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,192,NATAKU,大分県,244,HINATA,大分県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,775,TAKE*M,大分県,893,PLAN.B,大分県,1211,HINATA,大分県,0,,-
1st&substream,gentle stress,0,,-,312,PMASO,大分県,640,PLAN.B,大分県,1447,HINATA,大分県,0,,-
1st&substream,GENOM SCREAMS,0,,-,358,SUS316,大分県,746,PLAN.B,大分県,1067,TANPA2,大分県,0,,-
1st&substream,GAMBOL,0,,-,267,10FU86,大分県,274,HINATA,大分県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,277,D.KTRG,大分県,279,KMAKIR,大分県,576,HINATA,大分県,0,,-
1st&substream,deep in you,0,,-,427,KAMO-R,大分県,157,GLADOS,大分県,663,HINATA,大分県,0,,-
1st&substream,5.1.1.,0,,-,184,MIKE,大分県,1022,TANPA2,大分県,1570,TANPA2,大分県,0,,-
1st&substream,22DUNK,0,,-,451,KAMO-R,大分県,367,AKI,大分県,654,HINATA,大分県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,273,AKI,大分県,0,,-,648,HINATA,大分県,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,417,NIKKI,大分県,866,HINATA,大分県,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,429,AKI,大分県,698,HATM-R,大分県,1227,HINATA,大分県,0,,-
2nd style,I Was The One,0,,-,275,KTROSE,大分県,292,AKI,大分県,693,HINATA,大分県,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,416,AKI,大分県,837,PLAN.B,大分県,1068,HINATA,大分県,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,397,AKI,大分県,475,AKI,大分県,1135,HINATA,大分県,0,,-
2nd style,.59,0,,-,403,AKI,大分県,881,J,大分県,1155,HINATA,大分県,0,,-
3rd style,THE SAFARI,253,ND5RC,大分県,1151,JA9,大分県,1776,HINATA,大分県,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,175,KMAKIR,大分県,395,HINATA,大分県,0,,-,0,,-
3rd style,Skyscraper,0,,-,447,KMAKIR,大分県,1044,J,大分県,1255,HINATA,大分県,0,,-
3rd style,Schlagwerk,0,,-,0,,-,1165,J,大分県,1688,HINATA,大分県,0,,-
3rd style,REINCARNATION,0,,-,531,KMAKIR,大分県,0,,-,1280,HINATA,大分県,0,,-
3rd style,R5,0,,-,480,AKI,大分県,1087,Y-CHAN,大分県,1764,CXF,大分県,0,,-
3rd style,Presto,0,,-,291,ROAM,大分県,789,J,大分県,1014,HINATA,大分県,0,,-
3rd style,LEADING CYBER,0,,-,290,AKI,大分県,1084,J,大分県,1280,HINATA,大分県,0,,-
3rd style,Holic,0,,-,683,MURA,大分県,1076,ASHIYU,大分県,1731,HINATA,大分県,0,,-
3rd style,era (nostalmix),0,,-,756,LEMONA,大分県,1029,JA9,大分県,1544,HINATA,大分県,0,,-
3rd style,Don't Stop!,0,,-,703,MURA,大分県,784,NGKAWA,大分県,904,HINATA,大分県,0,,-
3rd style,CAN'T STOP FALLIN'IN LOVE,0,,-,345,AKI,大分県,1251,HINATA,大分県,0,,-,0,,-
4th style,Voltage (feat. Hidemaru),0,,-,838,K,大分県,1243,HINATA,大分県,1330,HINATA,大分県,0,,-
4th style,SWEET LAB,0,,-,451,KAMO-R,大分県,853,OOGI,大分県,1373,HINATA,大分県,0,,-
4th style,starmine,364,PON,大分県,650,N*,大分県,1435,HINATA,大分県,1592,HINATA,大分県,0,,-
4th style,Mr.T.(take me higher),0,,-,582,AKI,大分県,926,MURA,大分県,1768,HINATA,大分県,0,,-
4th style,minimalian,0,,-,274,AKI,大分県,931,J,大分県,1411,HINATA,大分県,0,,-
4th style,LOVE WILL・・・,0,,-,340,KMAKIR,大分県,687,J,大分県,1463,YAMADA,大分県,0,,-
4th style,KAMIKAZE,0,,-,0,,-,1262,J,大分県,2306,HINATA,大分県,0,,-
