バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,0,,-,957,HAKU*,鹿児島県,1145,INOKI!,鹿児島県,0,,-
1st&substream,RUGGED ASH,0,,-,343,BARUCO,鹿児島県,385,HAKU*,鹿児島県,1107,CHP*1E,鹿児島県,2043,CHP*1E,鹿児島県
1st&substream,R3,0,,-,348,E.C.,鹿児島県,711,R5,鹿児島県,907,CHP*1E,鹿児島県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,387,K893,鹿児島県,670,AHOY!,鹿児島県,1120,CHP*1E,鹿児島県,0,,-
1st&substream,Macho Gang,0,,-,371,FRIERN,鹿児島県,1029,ALICE,鹿児島県,1649,CHP*1E,鹿児島県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,192,FRIERN,鹿児島県,244,CHP*1E,鹿児島県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,581,POKA,鹿児島県,797,EREKI,鹿児島県,1182,R5,鹿児島県,0,,-
1st&substream,gentle stress,0,,-,323,MOTOKI,鹿児島県,646,HAKU*,鹿児島県,1454,CHP*1E,鹿児島県,0,,-
1st&substream,GENOM SCREAMS,0,,-,306,MOTOKI,鹿児島県,767,HAKU*,鹿児島県,1048,R5,鹿児島県,0,,-
1st&substream,GAMBOL,0,,-,263,NICOLE,鹿児島県,268,YAMITA,鹿児島県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,281,MOTOKI,鹿児島県,438,EREKI,鹿児島県,576,R5,鹿児島県,0,,-
1st&substream,deep in you,0,,-,478,KAI046,鹿児島県,495,CARSEX,鹿児島県,654,R5,鹿児島県,0,,-
1st&substream,5.1.1.,0,,-,186,NICOLE,鹿児島県,967,KAI046,鹿児島県,1543,INOKI!,鹿児島県,0,,-
