バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,763,HIHU,韓国,985,AKINA7,韓国,1160,CHARM,韓国,0,,-
1st&substream,RUGGED ASH,0,,-,364,ENVY*,韓国,397,EBY,韓国,1104,CHARM,韓国,2070,KKM*,韓国
1st&substream,R3,0,,-,645,ARIA,韓国,708,ENVY*,韓国,902,SIGSIG,韓国,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,552,ENVY*,韓国,726,ENVY*,韓国,1118,FAFNIR,韓国,0,,-
1st&substream,Macho Gang,0,,-,372,******,韓国,971,SUSHI,韓国,1658,KKM*,韓国,0,,-
1st&substream,KEEP ON MOVIN',0,,-,192,HUNTER,韓国,244,LICA-,韓国,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,815,ENDDY,韓国,939,CTPLT*,韓国,1214,FAFNIR,韓国,0,,-
1st&substream,gentle stress,0,,-,339,CHAE#W,韓国,647,ENVY*,韓国,1455,CHARM,韓国,0,,-
1st&substream,GENOM SCREAMS,0,,-,395,HIHU,韓国,830,.,韓国,1072,CHARM,韓国,0,,-
1st&substream,GAMBOL,0,,-,274,EUN-!?,韓国,274,EUN-!?,韓国,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,383,KIRARI,韓国,491,K.H.B,韓国,579,NEON,韓国,0,,-
1st&substream,deep in you,0,,-,475,HIHU,韓国,478,BOCCHI,韓国,664,KKM*,韓国,0,,-
1st&substream,5.1.1.,0,,-,192,XYZ012,韓国,989,HIJUNE,韓国,1572,CHARM,韓国,0,,-
1st&substream,22DUNK,0,,-,492,TOMATO,韓国,616,YEOLJU,韓国,654,F,韓国,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,499,HIHU,韓国,595,SHIR,韓国,645,SIGSIG,韓国,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,566,ENVY*,韓国,866,DON*,韓国,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,821,HIHU,韓国,1054,SHIR,韓国,1222,SIGSIG,韓国,0,,-
2nd style,I Was The One,0,,-,510,CTPLT*,韓国,617,SHIR,韓国,691,CHLOE,韓国,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,758,HIHU,韓国,942,GB-001,韓国,1064,SIGSIG,韓国,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,705,HIHU,韓国,995,TOMATO,韓国,1138,KKM*,韓国,0,,-
2nd style,.59,0,,-,683,ENVY*,韓国,959,CTPLT*,韓国,1152,SIGSIG,韓国,0,,-
3rd style,THE SAFARI,351,SUSHI,韓国,1162,ENVY*,韓国,1791,FAFNIR,韓国,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,274,HIHU,韓国,393,******,韓国,0,,-,0,,-
3rd style,Skyscraper,0,,-,706,HIHU,韓国,1152,ENVY*,韓国,1248,SIGSIG,韓国,0,,-
3rd style,Schlagwerk,0,,-,789,HIHU,韓国,1322,KKM*,韓国,1695,CHARM,韓国,0,,-
3rd style,REINCARNATION,0,,-,810,HIHU,韓国,985,SHIR,韓国,1277,DON*,韓国,0,,-
3rd style,R5,0,,-,751,HIHU,韓国,1122,CLOUD-,韓国,1775,CHARM,韓国,0,,-
3rd style,Presto,0,,-,512,HIHU,韓国,952,QTGAME,韓国,1013,CHARM,韓国,0,,-
3rd style,LEADING CYBER,0,,-,830,SUSHI,韓国,1156,BYERDN,韓国,1276,DON*,韓国,0,,-
3rd style,Holic,0,,-,740,HIHU,韓国,1210,EUN-!?,韓国,1750,DON*,韓国,0,,-
3rd style,era (nostalmix),0,,-,807,HIHU,韓国,1078,BANARI,韓国,1555,NEON,韓国,0,,-
3rd style,Don't Stop!,0,,-,752,HIHU,韓国,831,ENVY*,韓国,906,MONILE,韓国,0,,-
3rd style,CAN'T STOP FALLIN'IN LOVE,0,,-,592,HIHU,韓国,1259,CHARM,韓国,0,,-,0,,-
4th style,Voltage (feat. Hidemaru),0,,-,895,HIHU,韓国,1231,CHARM,韓国,1331,FAFNIR,韓国,0,,-
4th style,SWEET LAB,0,,-,524,HIHU,韓国,967,BYERDN,韓国,1377,KKM*,韓国,0,,-
4th style,starmine,422,KIRARI,韓国,875,HIHU,韓国,1434,CHARM,韓国,1597,F,韓国,0,,-
4th style,Mr.T.(take me higher),0,,-,818,HIHU,韓国,985,TOMATO,韓国,1762,NURUNG,韓国,0,,-
4th style,minimalian,0,,-,520,HIHU,韓国,1044,ENVY*,韓国,1411,FAFNIR,韓国,0,,-
4th style,LOVE WILL・・・,0,,-,543,HIHU,韓国,730,ENVY*,韓国,1464,ALIEN,韓国,0,,-
4th style,KAMIKAZE,0,,-,970,HIHU,韓国,1421,ENVY*,韓国,2304,CHARM,韓国,0,,-
4th style,Jam&Marmalade,0,,-,756,BISCO,韓国,820,TOMATO,韓国,1021,DON*,韓国,0,,-
4th style,Hitch Hiker2,0,,-,795,HIHU,韓国,1134,SHIR,韓国,1326,DON*,韓国,1950,DON*,韓国
4th style,HIGHER,0,,-,524,HIHU,韓国,906,SHIR,韓国,1280,FAFNIR,韓国,0,,-
4th style,FLOWERS for ALBION,0,,-,225,HIHU,韓国,442,CHARM,韓国,0,,-,0,,-
