バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,0,,-,290,RONNIE,フィリピン,601,PU.,フィリピン,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,391,ELVIRA,フィリピン,781,HIMIKO,フィリピン,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,210,777777,フィリピン,262,000000,フィリピン,1199,YUKI,フィリピン,0,,-
2nd style,I Was The One,0,,-,206,NACK,フィリピン,479,CJ.IW,フィリピン,687,YUKI,フィリピン,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,429,JUGLR*,フィリピン,0,,-,911,PU.,フィリピン,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,271,JOGO,フィリピン,0,,-,1062,HIMIKO,フィリピン,0,,-
2nd style,.59,0,,-,121,NOBU,フィリピン,993,VE62CA,フィリピン,1146,YUKI,フィリピン,0,,-
1st&substream,THE EARTH LIGHT,0,,-,0,,-,990,HIMIKO,フィリピン,1090,CPU69,フィリピン,0,,-
1st&substream,RUGGED ASH,0,,-,103,777777,フィリピン,0,,-,1041,CH0P41,フィリピン,1969,YUKI,フィリピン
1st&substream,R3,0,,-,546,000000,フィリピン,414,ELVIRA,フィリピン,902,YUKI,フィリピン,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,417,JOGO,フィリピン,720,DBB,フィリピン,1059,HIMIKO,フィリピン,0,,-
1st&substream,Macho Gang,0,,-,352,CPU69,フィリピン,647,JIMMY,フィリピン,1442,CH0P41,フィリピン,0,,-
1st&substream,KEEP ON MOVIN',0,,-,189,CPU69,フィリピン,244,YUKI,フィリピン,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,639,000000,フィリピン,970,HIMIKO,フィリピン,1120,HIMIKO,フィリピン,0,,-
1st&substream,gentle stress,0,,-,140,777777,フィリピン,458,JOGO,フィリピン,1445,YUKI,フィリピン,0,,-
1st&substream,GENOM SCREAMS,0,,-,178,TJSDN,フィリピン,800,HIMIKO,フィリピン,1059,YUKI,フィリピン,0,,-
1st&substream,GAMBOL,0,,-,233,PNMN,フィリピン,266,TAKO,フィリピン,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,313,000000,フィリピン,453,PNMN,フィリピン,478,PU.,フィリピン,0,,-
1st&substream,deep in you,0,,-,259,JOGO,フィリピン,0,,-,646,YUKI,フィリピン,0,,-
1st&substream,5.1.1.,0,,-,109,000000,フィリピン,689,000000,フィリピン,1511,VE62CA,フィリピン,0,,-
1st&substream,22DUNK,0,,-,426,000000,フィリピン,608,KORIL,フィリピン,618,ANYA.F,フィリピン,0,,-
3rd style,THE SAFARI,136,BUMMML,フィリピン,1130,KORIL,フィリピン,1729,YUKI,フィリピン,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,0,,-,382,CPU69,フィリピン,0,,-,0,,-
3rd style,Skyscraper,0,,-,0,,-,0,,-,1192,HIMIKO,フィリピン,0,,-
3rd style,Schlagwerk,0,,-,0,,-,1272,HIMIKO,フィリピン,1627,HIMIKO,フィリピン,0,,-
3rd style,REINCARNATION,0,,-,0,,-,578,ELVIRA,フィリピン,1259,YUKI,フィリピン,0,,-
3rd style,R5,0,,-,712,PU.,フィリピン,1152,HIMIKO,フィリピン,1769,YUKI,フィリピン,0,,-
3rd style,Presto,0,,-,533,CPU69,フィリピン,604,.EBISU,フィリピン,1003,YUKI,フィリピン,0,,-
3rd style,LEADING CYBER,0,,-,110,DDELTA,フィリピン,1126,CPU69,フィリピン,1273,YUKI,フィリピン,0,,-
3rd style,Holic,0,,-,667,######,フィリピン,1160,HIMIKO,フィリピン,1711,YUKI,フィリピン,0,,-
3rd style,era (nostalmix),0,,-,0,,-,1034,CPU69,フィリピン,1374,CH0P41,フィリピン,0,,-
3rd style,Don't Stop!,0,,-,658,005,フィリピン,0,,-,900,YUKI,フィリピン,0,,-
3rd style,CAN'T STOP FALLIN'IN LOVE,0,,-,336,JOGO,フィリピン,1179,HIMIKO,フィリピン,0,,-,0,,-
4th style,Voltage (feat. Hidemaru),0,,-,0,,-,989,FANZA,フィリピン,1311,YUKI,フィリピン,0,,-
4th style,SWEET LAB,0,,-,280,RONNIE,フィリピン,911,HIMIKO,フィリピン,1235,YUKI,フィリピン,0,,-
4th style,starmine,364,CHAN**,フィリピン,543,ELVIRA,フィリピン,1386,CH0P41,フィリピン,1509,CH0P41,フィリピン,0,,-
4th style,Mr.T.(take me higher),0,,-,0,,-,0,,-,1533,PU.,フィリピン,0,,-
4th style,minimalian,0,,-,202,VEETEE,フィリピン,0,,-,801,FANZA,フィリピン,0,,-
4th style,LOVE WILL・・・,0,,-,0,,-,749,YUKI,フィリピン,1384,65A-B,フィリピン,0,,-
4th style,KAMIKAZE,0,,-,0,,-,0,,-,2140,YUKI,フィリピン,0,,-
4th style,Jam&Marmalade,0,,-,0,,-,0,,-,963,HIMIKO,フィリピン,0,,-
4th style,Hitch Hiker2,0,,-,468,QS36,フィリピン,1180,HIMIKO,フィリピン,1258,HIMIKO,フィリピン,1824,CPU69,フィリピン
4th style,HIGHER,0,,-,207,TAKA,フィリピン,494,YAMADA,フィリピン,1237,HIMIKO,フィリピン,0,,-
4th style,FLOWERS for ALBION,0,,-,116,777777,フィリピン,414,VE62CA,フィリピン,0,,-,0,,-
4th style,era (step mix),0,,-,0,,-,1317,HIMIKO,フィリピン,1575,65A-B,フィリピン,0,,-
4th style,empathy,0,,-,633,######,フィリピン,1282,HIMIKO,フィリピン,1362,HIMIKO,フィリピン,0,,-
4th style,DXY!,0,,-,741,CJ.IW,フィリピン,1422,OTKPH,フィリピン,2036,HAPPY,フィリピン,0,,-
4th style,Clione,0,,-,289,JOGO,フィリピン,547,######,フィリピン,1400,4,フィリピン,2108,YUKI,フィリピン
4th style,CHECKING YOU OUT,0,,-,391,000000,フィリピン,787,*#06#,フィリピン,1225,65A-B,フィリピン,0,,-
4th style,Burnin' The Floor,0,,-,319,ATMOS,フィリピン,416,AAAAAA,フィリピン,1398,HIMIKO,フィリピン,0,,-
4th style,Broken My Heart,0,,-,875,005,フィリピン,1431,HIMIKO,フィリピン,1786,YUKI,フィリピン,0,,-
