バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,709,U235,アメリカ,985,TDS111,アメリカ,1138,LIAM,アメリカ,0,,-
1st&substream,RUGGED ASH,0,,-,338,LPXOVR,アメリカ,395,PURGED,アメリカ,1069,Z*TAKA,アメリカ,1936,SCADU,アメリカ
1st&substream,R3,0,,-,632,QCOM,アメリカ,685,JA$E,アメリカ,893,VEGETA,アメリカ,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,532,GRTHOK,アメリカ,706,G.BEAR,アメリカ,1106,UZNK,アメリカ,0,,-
1st&substream,Macho Gang,0,,-,343,SQIGLY,アメリカ,1012,C4-621,アメリカ,1584,Z*TAKA,アメリカ,0,,-
1st&substream,KEEP ON MOVIN',0,,-,193,BIGC,アメリカ,244,ARK,アメリカ,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,846,DAGETT,アメリカ,910,POPO,アメリカ,1200,PHN!X*,アメリカ,0,,-
1st&substream,gentle stress,0,,-,325,TBD2DX,アメリカ,658,MEOWTH,アメリカ,1440,SIMP,アメリカ,0,,-
1st&substream,GENOM SCREAMS,0,,-,346,KAMUNT,アメリカ,748,MEOWTH,アメリカ,1052,GOOBLR,アメリカ,0,,-
1st&substream,GAMBOL,0,,-,267,OJIKA,アメリカ,266,HEDO29,アメリカ,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,377,GIBSON,アメリカ,488,GSBOY,アメリカ,569,VEGETA,アメリカ,0,,-
1st&substream,deep in you,0,,-,445,VOICON,アメリカ,471,JA$E,アメリカ,653,VEGETA,アメリカ,0,,-
1st&substream,5.1.1.,0,,-,187,NZD.,アメリカ,1003,UZNK,アメリカ,1559,PUNK,アメリカ,0,,-
1st&substream,22DUNK,0,,-,501,GOONER,アメリカ,601,POMYU,アメリカ,650,SIMP,アメリカ,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,488,U235,アメリカ,589,JVNTUS,アメリカ,636,AKUMA,アメリカ,0,,-
