バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,0,,-,0,,-,1069,890,オーストラリア,0,,-
1st&substream,RUGGED ASH,0,,-,213,BONBON,オーストラリア,329,TELL44,オーストラリア,1048,KOO,オーストラリア,1927,FLOAT8,オーストラリア
1st&substream,R3,0,,-,213,BONBON,オーストラリア,709,JOHNNN,オーストラリア,875,TAIKO4,オーストラリア,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,346,SHINKO,オーストラリア,563,TELL44,オーストラリア,1077,TAIKO4,オーストラリア,0,,-
1st&substream,Macho Gang,0,,-,147,ELZIL,オーストラリア,411,DREK,オーストラリア,1562,CPTSU,オーストラリア,0,,-
1st&substream,KEEP ON MOVIN',0,,-,191,PIPPA,オーストラリア,240,LAMU,オーストラリア,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,0,,-,856,I0KIMU,オーストラリア,1134,TAIKO4,オーストラリア,0,,-
1st&substream,gentle stress,0,,-,200,BONBON,オーストラリア,155,MYKE,オーストラリア,1426,TAIKO4,オーストラリア,0,,-
1st&substream,GENOM SCREAMS,0,,-,163,BONBON,オーストラリア,712,SZR,オーストラリア,1044,TAIKO4,オーストラリア,0,,-
1st&substream,GAMBOL,0,,-,123,CHOJI,オーストラリア,262,TAIKO4,オーストラリア,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,156,BONBON,オーストラリア,253,REPO,オーストラリア,566,LAMU,オーストラリア,0,,-
1st&substream,deep in you,0,,-,0,,-,0,,-,648,TAIKO4,オーストラリア,0,,-
1st&substream,5.1.1.,0,,-,198,TAIKO4,オーストラリア,0,,-,1556,CPTSU,オーストラリア,0,,-
1st&substream,22DUNK,0,,-,177,EGGDIP,オーストラリア,415,TELL44,オーストラリア,645,TAIKO4,オーストラリア,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,133,BONBON,オーストラリア,563,TELL44,オーストラリア,620,PIPPA,オーストラリア,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,170,MYKE,オーストラリア,836,ZUNDAM,オーストラリア,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,659,TALIX,オーストラリア,613,KBB,オーストラリア,1171,TAIKO4,オーストラリア,0,,-
2nd style,I Was The One,0,,-,222,BONBON,オーストラリア,542,TALIX,オーストラリア,677,TAIKO4,オーストラリア,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,342,ELZIL,オーストラリア,630,TELL44,オーストラリア,1003,PIPPA,オーストラリア,0,,-
