バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,625,DARWIN,茨城県,978,CHION,茨城県,1159,NUCHIO,茨城県,0,,-
1st&substream,RUGGED ASH,0,,-,364,GOD-P,茨城県,394,K-DASH,茨城県,1100,TAKWAN,茨城県,2047,TAKWAN,茨城県
1st&substream,R3,0,,-,600,A,茨城県,694,SKB-NK,茨城県,900,FOOL-D,茨城県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,511,SYOBON,茨城県,742,RIBBON,茨城県,1104,D-MAN,茨城県,0,,-
1st&substream,Macho Gang,0,,-,356,K-DASH,茨城県,1012,NO.,茨城県,1658,TAKWAN,茨城県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,196,RIN.T,茨城県,244,NUCHIO,茨城県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,835,GOD-P,茨城県,915,HENSEL,茨城県,1178,SHU,茨城県,0,,-
1st&substream,gentle stress,0,,-,339,HENSEL,茨城県,572,GEN-H,茨城県,1445,EIKOGO,茨城県,0,,-
1st&substream,GENOM SCREAMS,0,,-,370,K-DASH,茨城県,806,RIBBON,茨城県,1063,FBI.1,茨城県,0,,-
1st&substream,GAMBOL,0,,-,271,KO9TA9,茨城県,274,FOOL-D,茨城県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,399,HENSEL,茨城県,491,065536,茨城県,579,NUCHIO,茨城県,0,,-
1st&substream,deep in you,0,,-,392,SYOBON,茨城県,454,JIKIDO,茨城県,646,SHU,茨城県,0,,-
1st&substream,5.1.1.,0,,-,189,HENSEL,茨城県,986,ILOHAS,茨城県,1562,FBI.1,茨城県,0,,-
1st&substream,22DUNK,0,,-,485,10FEET,茨城県,600,HENSEL,茨城県,643,SHU,茨城県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,495,K-DASH,茨城県,433,DEEZ,茨城県,644,GAYA,茨城県,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,547,K-DASH,茨城県,862,TAKWAN,茨城県,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,852,K-DASH,茨城県,971,DARWIN,茨城県,1211,MEGUMI,茨城県,0,,-
2nd style,I Was The One,0,,-,502,K-DASH,茨城県,625,HENSEL,茨城県,682,SHU,茨城県,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,672,DARWIN,茨城県,824,DARWIN,茨城県,1064,D-MAN,茨城県,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,674,GOD-P,茨城県,948,2501,茨城県,1117,NO.,茨城県,0,,-
2nd style,.59,0,,-,592,FC.KSK,茨城県,985,RIBBON,茨城県,1153,TAKWAN,茨城県,0,,-
3rd style,THE SAFARI,355,HENSEL,茨城県,1071,HENSEL,茨城県,1766,TAKWAN,茨城県,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,278,K-DASH,茨城県,394,GAYA,茨城県,0,,-,0,,-
3rd style,Skyscraper,0,,-,0,,-,1046,2501,茨城県,1226,NO.,茨城県,0,,-
3rd style,Schlagwerk,0,,-,749,DARWIN,茨城県,1223,3110,茨城県,1672,HEROPN,茨城県,0,,-
3rd style,REINCARNATION,0,,-,812,GOD-P,茨城県,902,DARWIN,茨城県,1282,NUCHIO,茨城県,0,,-
3rd style,R5,0,,-,744,AKML,茨城県,1118,AKITA,茨城県,1766,NUCHIO,茨城県,0,,-
3rd style,Presto,0,,-,519,K-DASH,茨城県,903,RUKI*,茨城県,1009,TAKWAN,茨城県,0,,-
3rd style,LEADING CYBER,0,,-,810,GOD-P,茨城県,1142,3110,茨城県,1240,O2ZW,茨城県,0,,-
3rd style,Holic,0,,-,699,GOD-P,茨城県,1183,UHOMAX,茨城県,1741,NUCHIO,茨城県,0,,-
3rd style,era (nostalmix),0,,-,815,HENSEL,茨城県,1078,D-MAN,茨城県,1538,TAKWAN,茨城県,0,,-
3rd style,Don't Stop!,0,,-,739,ILOHAS,茨城県,829,ILOHAS,茨城県,900,NUCHIO,茨城県,0,,-
3rd style,CAN'T STOP FALLIN'IN LOVE,0,,-,550,METTTY,茨城県,1253,NUCHIO,茨城県,0,,-,0,,-
4th style,Voltage (feat. Hidemaru),0,,-,883,HENSEL,茨城県,1186,RIBBON,茨城県,1336,TAKWAN,茨城県,0,,-
4th style,SWEET LAB,0,,-,521,K-DASH,茨城県,875,CHION,茨城県,1359,FBI.1,茨城県,0,,-
4th style,starmine,444,CIRRUS,茨城県,667,NBR.,茨城県,1322,M*CHAN,茨城県,1596,NUCHIO,茨城県,0,,-
4th style,Mr.T.(take me higher),0,,-,704,SYOBON,茨城県,917,KOW,茨城県,1740,MEGUMI,茨城県,0,,-
4th style,minimalian,0,,-,524,A,茨城県,1104,NUCHIO,茨城県,1407,NUCHIO,茨城県,0,,-
4th style,LOVE WILL・・・,0,,-,532,TAKK,茨城県,696,2501,茨城県,1460,TAKWAN,茨城県,0,,-
4th style,KAMIKAZE,0,,-,871,M-O,茨城県,1432,UHOMAX,茨城県,2283,FBI.1,茨城県,0,,-
4th style,Jam&Marmalade,0,,-,669,DARWIN,茨城県,863,NO.,茨城県,1014,TAKWAN,茨城県,0,,-
4th style,Hitch Hiker2,0,,-,531,ARA$,茨城県,1115,MR.,茨城県,1321,NUCHIO,茨城県,1940,EIKOGO,茨城県
4th style,HIGHER,0,,-,525,K-DASH,茨城県,796,JIKIDO,茨城県,1271,FBI.1,茨城県,0,,-
4th style,FLOWERS for ALBION,0,,-,216,RUKI*,茨城県,431,HENSEL,茨城県,0,,-,0,,-
4th style,era (step mix),0,,-,1076,LARK,茨城県,1305,K-DASH,茨城県,1717,TAKWAN,茨城県,0,,-
4th style,empathy,0,,-,746,DARWIN,茨城県,1291,NURJES,茨城県,1470,TAKWAN,茨城県,0,,-
4th style,DXY!,0,,-,1182,GOBAR,茨城県,1768,NODOAM,茨城県,2273,NUCHIO,茨城県,0,,-
4th style,Clione,0,,-,384,SORA,茨城県,879,AKML,茨城県,1608,NUCHIO,茨城県,2118,MEGUMI,茨城県
4th style,CHECKING YOU OUT,0,,-,615,TAN*38,茨城県,910,A,茨城県,1367,TAKWAN,茨城県,0,,-
4th style,Burnin' The Floor,0,,-,572,RYU,茨城県,922,HENSEL,茨城県,1442,MOKA.A,茨城県,0,,-
4th style,Broken My Heart,0,,-,809,DARWIN,茨城県,1433,NURJES,茨城県,1821,NUCHIO,茨城県,0,,-
4th style,B4U,0,,-,980,HENSEL,茨城県,1388,OGST,茨城県,2004,EIKOGO,茨城県,0,,-
4th style,ABSOLUTE,0,,-,1249,METTTY,茨城県,1731,RYAZAN,茨城県,2411,EIKOGO,茨城県,2787,TAKWAN,茨城県
4th style,250bpm,0,,-,648,GOD-P,茨城県,976,Y2J,茨城県,1434,NUCHIO,茨城県,0,,-
5th style,V,328,RUKI*,茨城県,1228,L-MES$,茨城県,2450,UHOMAX,茨城県,3015,TAKWAN,茨城県,0,,-
5th style,THE SHINING POLARIS,0,,-,789,SODA,茨城県,1296,NO.,茨城県,1564,D-MAN,茨城県,0,,-
5th style,THE CUBE,0,,-,717,Y2J,茨城県,1237,UHOMAX,茨城県,1337,GAYA,茨城県,0,,-
