バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,768,BANZOH,千葉県,998,ARUBEE,千葉県,1158,TEMIKO,千葉県,0,,-
1st&substream,RUGGED ASH,0,,-,361,BANZOH,千葉県,402,MY.JUG,千葉県,1095,U*TAKA,千葉県,2058,U*TAKA,千葉県
1st&substream,R3,0,,-,657,ZAKURO,千葉県,729,MY.JUG,千葉県,905,TEMIKO,千葉県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,547,BANZOH,千葉県,752,MY.JUG,千葉県,1111,TEMIKO,千葉県,0,,-
1st&substream,Macho Gang,0,,-,379,NILGOD,千葉県,973,ITEKEN,千葉県,1646,SYIMD,千葉県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,194,SEIRYU,千葉県,244,WAMY,千葉県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,845,ESTER*,千葉県,952,ESTER*,千葉県,1208,SEIRYU,千葉県,0,,-
1st&substream,gentle stress,0,,-,344,*A.T*!,千葉県,684,MY.JUG,千葉県,1451,TEMIKO,千葉県,0,,-
1st&substream,GENOM SCREAMS,0,,-,412,511588,千葉県,830,56NYAN,千葉県,1069,ZAKURO,千葉県,0,,-
1st&substream,GAMBOL,0,,-,270,NILGOD,千葉県,274,MY.JUG,千葉県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,402,NILGOD,千葉県,507,BANZOH,千葉県,579,R0EN,千葉県,0,,-
1st&substream,deep in you,0,,-,500,56NYAN,千葉県,487,OCEAN,千葉県,665,U*TAKA,千葉県,0,,-
1st&substream,5.1.1.,0,,-,198,*A.T*!,千葉県,1022,MY.JUG,千葉県,1570,MY.JUG,千葉県,0,,-
1st&substream,22DUNK,0,,-,527,56NYAN,千葉県,600,MY.JUG,千葉県,656,R0EN,千葉県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,496,BANZOH,千葉県,626,MY.JUG,千葉県,648,R0EN,千葉県,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,555,BANZOH,千葉県,859,56NYAN,千葉県,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,878,56NYAN,千葉県,1057,TAEZOC,千葉県,1231,SEIRYU,千葉県,0,,-
