バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,769,RYU,東京都,1047,DINASO,東京都,1151,AURUM,東京都,0,,-
1st&substream,RUGGED ASH,0,,-,370,04*,東京都,400,*NIKI*,東京都,1104,DINASO,東京都,2064,DINASO,東京都
1st&substream,R3,0,,-,641,R-O,東京都,733,SHINPO,東京都,907,DINASO,東京都,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,541,MASIMO,東京都,744,CHIZ,東京都,1122,DINASO,東京都,0,,-
1st&substream,Macho Gang,0,,-,379,YUTAKO,東京都,1065,AURUM,東京都,1662,DINASO,東京都,0,,-
1st&substream,KEEP ON MOVIN',0,,-,196,04*,東京都,244,HUYU,東京都,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,865,AURUM,東京都,951,IIDX32,東京都,1203,557,東京都,0,,-
1st&substream,gentle stress,0,,-,342,N,東京都,667,SIZURU,東京都,1453,NIKE.,東京都,0,,-
1st&substream,GENOM SCREAMS,0,,-,403,1SE,東京都,822,TOSHI,東京都,1068,EXIT,東京都,0,,-
1st&substream,GAMBOL,0,,-,273,CHURIL,東京都,274,PICO,東京都,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,404,AURUM,東京都,514,RYU,東京都,580,PICO,東京都,0,,-
1st&substream,deep in you,0,,-,483,CITRUS,東京都,506,DINASO,東京都,666,PICO,東京都,0,,-
1st&substream,5.1.1.,0,,-,198,SIZURU,東京都,1010,AURUM,東京都,1572,PICO,東京都,0,,-
1st&substream,22DUNK,0,,-,521,AURUM,東京都,643,1048,東京都,658,PICO,東京都,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,489,MARI*2,東京都,616,MA2RI,東京都,648,PICO,東京都,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,574,KO4KEN,東京都,864,557,東京都,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,851,POSSE,東京都,1040,KYONTA,東京都,1227,INARI,東京都,0,,-
2nd style,I Was The One,0,,-,499,K.SY2,東京都,651,JDK*,東京都,696,PICO,東京都,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,755,ZAQRO,東京都,930,DBJACK,東京都,1069,NAGACH,東京都,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,691,ZAQRO,東京都,1047,GOD810,東京都,1142,PICO,東京都,0,,-
