バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,784,04,神奈川県,1007,7KATA2,神奈川県,1160,CYBERX,神奈川県,0,,-
1st&substream,RUGGED ASH,0,,-,370,*9N2*,神奈川県,402,*9N2*,神奈川県,1097,CYBERX,神奈川県,2051,WELLOW,神奈川県
1st&substream,R3,0,,-,634,KHAOS*,神奈川県,725,OSUSHI,神奈川県,908,CYBERX,神奈川県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,560,TART,神奈川県,750,BAY.,神奈川県,1121,CYBERX,神奈川県,0,,-
1st&substream,Macho Gang,0,,-,380,AZ,神奈川県,1068,STEEL*,神奈川県,1644,IGW.,神奈川県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,196,*9N2*,神奈川県,244,*9N2*,神奈川県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,877,TART,神奈川県,983,16GO!?,神奈川県,1212,IGW.,神奈川県,0,,-
1st&substream,gentle stress,0,,-,344,*9N2*,神奈川県,679,MELL,神奈川県,1455,IGW.,神奈川県,0,,-
1st&substream,GENOM SCREAMS,0,,-,422,*9N2*,神奈川県,823,OSUSHI,神奈川県,1072,STYU--,神奈川県,0,,-
1st&substream,GAMBOL,0,,-,274,16GO!?,神奈川県,274,OSUSHI,神奈川県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,408,16GO!?,神奈川県,522,16GO!?,神奈川県,580,CYBERX,神奈川県,0,,-
1st&substream,deep in you,0,,-,478,SASORI,神奈川県,489,FBI.7,神奈川県,666,CYBERX,神奈川県,0,,-
1st&substream,5.1.1.,0,,-,198,*9N2*,神奈川県,1006,SU.32,神奈川県,1572,WELLOW,神奈川県,0,,-
1st&substream,22DUNK,0,,-,515,HELMES,神奈川県,639,OSUSHI,神奈川県,658,CYBERX,神奈川県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,488,ILOHA*,神奈川県,612,HELMES,神奈川県,648,CYBERX,神奈川県,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,543,NAKAM,神奈川県,861,IGW.,神奈川県,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,715,SYOGUN,神奈川県,1098,OSUSHI,神奈川県,1231,CYBERX,神奈川県,0,,-
2nd style,I Was The One,0,,-,526,IIDX32,神奈川県,640,KASA3!,神奈川県,691,GOLUSI,神奈川県,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,773,TART,神奈川県,957,STEEL*,神奈川県,1066,AZ,神奈川県,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,740,TART,神奈川県,1031,HELMES,神奈川県,1127,KEN,神奈川県,0,,-
2nd style,.59,0,,-,716,STEEL*,神奈川県,1009,OSUSHI,神奈川県,1160,SEKI,神奈川県,0,,-
3rd style,THE SAFARI,365,MELL,神奈川県,1226,8NE877,神奈川県,1775,IGW.,神奈川県,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,282,*9N2*,神奈川県,396,*9N2*,神奈川県,0,,-,0,,-
3rd style,Skyscraper,0,,-,679,PSYCHO,神奈川県,1183,HELMES,神奈川県,1256,R8M0K8,神奈川県,0,,-
3rd style,Schlagwerk,0,,-,822,TART,神奈川県,1280,SQUALO,神奈川県,1695,CYBERX,神奈川県,0,,-
3rd style,REINCARNATION,0,,-,787,DORA*,神奈川県,1021,HELMES,神奈川県,1280,IGW.,神奈川県,0,,-
3rd style,R5,0,,-,774,*9N2*,神奈川県,1165,04,神奈川県,1774,CYBERX,神奈川県,0,,-
3rd style,Presto,0,,-,476,SHUREI,神奈川県,977,KA2718,神奈川県,1014,CYBERX,神奈川県,0,,-
3rd style,LEADING CYBER,0,,-,793,CUERVO,神奈川県,1181,AREXBT,神奈川県,1276,SEKI,神奈川県,0,,-
3rd style,Holic,0,,-,744,CUERVO,神奈川県,1235,STEEL*,神奈川県,1744,31HATE,神奈川県,0,,-
3rd style,era (nostalmix),0,,-,816,MISO,神奈川県,1104,IGW.,神奈川県,1556,CYBERX,神奈川県,0,,-
3rd style,Don't Stop!,0,,-,755,MISO,神奈川県,850,AREXBT,神奈川県,906,CYBERX,神奈川県,0,,-
3rd style,CAN'T STOP FALLIN'IN LOVE,0,,-,607,NAKAM,神奈川県,1263,IGW.,神奈川県,0,,-,0,,-
4th style,Voltage (feat. Hidemaru),0,,-,926,OSUSHI,神奈川県,1245,AZ,神奈川県,1334,WELLOW,神奈川県,0,,-
4th style,SWEET LAB,0,,-,553,MELL,神奈川県,980,MELL,神奈川県,1376,IGW.,神奈川県,0,,-
4th style,starmine,441,MELL,神奈川県,899,7KATA2,神奈川県,1403,7KATA2,神奈川県,1595,CYBERX,神奈川県,0,,-
4th style,Mr.T.(take me higher),0,,-,845,HELMES,神奈川県,1015,16GO!?,神奈川県,1773,31HATE,神奈川県,0,,-
4th style,minimalian,0,,-,540,TART,神奈川県,1102,STEEL*,神奈川県,1412,CYBERX,神奈川県,0,,-
4th style,LOVE WILL・・・,0,,-,558,16GO!?,神奈川県,732,TAKA83,神奈川県,1464,CYBERX,神奈川県,0,,-
4th style,KAMIKAZE,0,,-,1011,UTKR,神奈川県,1442,AREXBT,神奈川県,2301,WELLOW,神奈川県,0,,-
4th style,Jam&Marmalade,0,,-,769,STEEL*,神奈川県,893,UTKR,神奈川県,1021,CYBERX,神奈川県,0,,-
4th style,Hitch Hiker2,0,,-,820,AGYPO3,神奈川県,1183,AGYPO3,神奈川県,1327,SEKI,神奈川県,1945,CYBERX,神奈川県
