バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,641,MIKOTO,新潟県,922,WEDGE,新潟県,1121,9MA564,新潟県,0,,-
1st&substream,RUGGED ASH,0,,-,346,NGT48,新潟県,389,AO,新潟県,1072,IIDX31,新潟県,2010,W,新潟県
1st&substream,R3,0,,-,513,DTM,新潟県,721,SHAFU,新潟県,872,DAYVI5,新潟県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,532,SUME4,新潟県,725,AO,新潟県,1112,MAKO-G,新潟県,0,,-
1st&substream,Macho Gang,0,,-,362,BERI,新潟県,976,XYZ,新潟県,1635,*SHO*,新潟県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,196,AXIOM.,新潟県,243,AXIOM.,新潟県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,746,ILFA17,新潟県,957,HANON,新潟県,1194,MAKO-G,新潟県,0,,-
1st&substream,gentle stress,0,,-,265,UUD0N,新潟県,659,*KLEE*,新潟県,1446,W,新潟県,0,,-
1st&substream,GENOM SCREAMS,0,,-,305,SUP,新潟県,734,REST,新潟県,1065,AXIOM.,新潟県,0,,-
1st&substream,GAMBOL,0,,-,273,AXIOM.,新潟県,274,HANON,新潟県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,390,TECHPO,新潟県,489,DOMINO,新潟県,569,TAL2SS,新潟県,0,,-
1st&substream,deep in you,0,,-,445,NGT48,新潟県,496,HANON,新潟県,647,DASCA,新潟県,0,,-
1st&substream,5.1.1.,0,,-,198,HANON,新潟県,1007,9RUGA*,新潟県,1569,MAKO-G,新潟県,0,,-
1st&substream,22DUNK,0,,-,460,NGT48,新潟県,584,REST,新潟県,645,IIDX32,新潟県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,488,REST,新潟県,620,SHAFU,新潟県,640,BLONK,新潟県,0,,-
