バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,661,YAMA34,富山県,1030,180SX,富山県,1131,320YEN,富山県,0,,-
1st&substream,RUGGED ASH,0,,-,370,AQ-VNS,富山県,402,AQ-VNS,富山県,1101,SHAARK,富山県,2048,SHAARK,富山県
1st&substream,R3,0,,-,643,BBBBBB,富山県,729,180SX,富山県,893,REVIUS,富山県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,557,AQ-VNS,富山県,742,180SX,富山県,1121,SHAARK,富山県,0,,-
1st&substream,Macho Gang,0,,-,372,PI*,富山県,875,DIVA,富山県,1644,SHAARK,富山県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,196,AQ-VNS,富山県,244,AQ-VNS,富山県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,780,110577,富山県,989,180SX,富山県,1192,CRZ-K.,富山県,0,,-
1st&substream,gentle stress,0,,-,344,AQ-VNS,富山県,649,OSWALD,富山県,1453,SHAARK,富山県,0,,-
1st&substream,GENOM SCREAMS,0,,-,420,PALACE,富山県,772,TEJINA,富山県,1063,REVIUS,富山県,0,,-
1st&substream,GAMBOL,0,,-,274,AQ-VNS,富山県,274,AQ-VNS,富山県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,408,AQ-VNS,富山県,479,YAMA34,富山県,577,LEVIUS,富山県,0,,-
1st&substream,deep in you,0,,-,414,YAMA34,富山県,448,UQE.,富山県,655,REVIUS,富山県,0,,-
1st&substream,5.1.1.,0,,-,198,AQ-VNS,富山県,944,II5,富山県,1562,REVIUS,富山県,0,,-
1st&substream,22DUNK,0,,-,440,0655,富山県,610,KAFF,富山県,658,SHAARK,富山県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,508,AQ-VNS,富山県,573,AN-BM-,富山県,642,LEVIUS,富山県,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,514,YAMA34,富山県,842,MABODF,富山県,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,720,YAMA34,富山県,913,YAMA34,富山県,1210,REVIUS,富山県,0,,-
2nd style,I Was The One,0,,-,507,YAMA34,富山県,634,BIGBOS,富山県,696,SHAARK,富山県,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,741,QWY,富山県,898,YUKI*,富山県,1034,CIA.2,富山県,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,666,YAMA34,富山県,966,AIM.,富山県,1120,LEVIUS,富山県,0,,-
2nd style,.59,0,,-,639,YAMA34,富山県,918,WANKO,富山県,1143,REVIUS,富山県,0,,-
3rd style,THE SAFARI,366,AQ-VNS,富山県,1008,L!N?,富山県,1740,CIA,富山県,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,282,AQ-VNS,富山県,390,OSA6.K,富山県,0,,-,0,,-
3rd style,Skyscraper,0,,-,643,YAMA34,富山県,1091,LUCIA,富山県,1229,180SX,富山県,0,,-
3rd style,Schlagwerk,0,,-,720,YAMA34,富山県,1156,LUCIA,富山県,1664,CIA.3,富山県,0,,-
3rd style,REINCARNATION,0,,-,763,YAMA34,富山県,933,LUCIA,富山県,1282,SHAARK,富山県,0,,-
3rd style,R5,0,,-,771,AQ-VNS,富山県,1047,DIVA,富山県,1776,SHAARK,富山県,0,,-
3rd style,Presto,0,,-,502,Y.HIKI,富山県,818,SERAPH,富山県,1011,SHAARK,富山県,0,,-
3rd style,LEADING CYBER,0,,-,724,YAMA34,富山県,1186,180SX,富山県,1237,180SX,富山県,0,,-
3rd style,Holic,0,,-,725,-GOMI-,富山県,1147,OSWALD,富山県,1737,SHAARK,富山県,0,,-
3rd style,era (nostalmix),0,,-,813,-GOMI-,富山県,1071,180SX,富山県,1505,REVIUS,富山県,0,,-
3rd style,Don't Stop!,0,,-,778,AQ-VNS,富山県,828,DIVA,富山県,899,AQ-VNS,富山県,0,,-
3rd style,CAN'T STOP FALLIN'IN LOVE,0,,-,570,YAMA34,富山県,1233,320YEN,富山県,0,,-,0,,-
4th style,Voltage (feat. Hidemaru),0,,-,840,-GOMI-,富山県,1159,DUTCH,富山県,1324,CIA,富山県,0,,-
4th style,SWEET LAB,0,,-,524,OSWALD,富山県,895,OSWALD,富山県,1361,SHAARK,富山県,0,,-
4th style,starmine,448,AQ-VNS,富山県,732,YAMA34,富山県,1213,IIDX30,富山県,1579,OSA6.K,富山県,0,,-
4th style,Mr.T.(take me higher),0,,-,794,IIDX*C,富山県,889,-GOMI-,富山県,1739,PALACE,富山県,0,,-
4th style,minimalian,0,,-,540,AQ-VNS,富山県,986,-GOMI-,富山県,1412,SHAARK,富山県,0,,-
4th style,LOVE WILL・・・,0,,-,500,YAMA34,富山県,706,TUBAKI,富山県,1458,CIA.3,富山県,0,,-
4th style,KAMIKAZE,0,,-,934,-GOMI-,富山県,1373,RRRR,富山県,2305,SHAARK,富山県,0,,-
4th style,Jam&Marmalade,0,,-,707,-GOMI-,富山県,834,-GOMI-,富山県,1011,REVIUS,富山県,0,,-
4th style,Hitch Hiker2,0,,-,732,4MABYU,富山県,1075,AIM.,富山県,1310,LEVIUS,富山県,1917,REVIUS,富山県
4th style,HIGHER,0,,-,540,AQ-VNS,富山県,826,SENA,富山県,1271,SHAARK,富山県,0,,-
4th style,FLOWERS for ALBION,0,,-,225,AIM.,富山県,440,LEVIUS,富山県,0,,-,0,,-
4th style,era (step mix),0,,-,955,IIDX32,富山県,1269,2410,富山県,1715,SHAARK,富山県,0,,-
4th style,empathy,0,,-,797,-GOMI-,富山県,1233,-GOMI-,富山県,1431,CIA.3,富山県,0,,-
4th style,DXY!,0,,-,1131,AN-BM-,富山県,1700,CRZ-R.,富山県,2277,SHAARK,富山県,0,,-
4th style,Clione,0,,-,488,YAMA34,富山県,887,KZM,富山県,1617,SHAARK,富山県,2184,SHAARK,富山県
4th style,CHECKING YOU OUT,0,,-,561,-GOMI-,富山県,796,OSWALD,富山県,1359,SHAARK,富山県,0,,-
4th style,Burnin' The Floor,0,,-,586,AQ-VNS,富山県,814,YAMA34,富山県,1433,LEVIUS,富山県,0,,-
4th style,Broken My Heart,0,,-,846,-GOMI-,富山県,1317,-GOMI-,富山県,1798,REVIUS,富山県,0,,-
4th style,B4U,0,,-,963,-GOMI-,富山県,1335,H4N4,富山県,1993,REVIUS,富山県,0,,-
4th style,ABSOLUTE,0,,-,1166,WATTA,富山県,1707,4ORIKO,富山県,2411,SHAARK,富山県,2734,REVIUS,富山県
4th style,250bpm,0,,-,595,-GOMI-,富山県,886,LUCIA,富山県,1438,SHAARK,富山県,0,,-
5th style,V,346,AQ-VNS,富山県,1195,-GOMI-,富山県,2514,CIA.3,富山県,3004,SHAARK,富山県,0,,-
5th style,THE SHINING POLARIS,0,,-,898,-GOMI-,富山県,1206,OSWALD,富山県,1560,REVIUS,富山県,0,,-
5th style,THE CUBE,0,,-,639,DIVA,富山県,1174,IIDX29,富山県,1355,LEVIUS,富山県,0,,-
5th style,sync,0,,-,1050,YUKI*,富山県,1736,EIEIMN,富山県,2398,SHAARK,富山県,0,,-
5th style,still my words,0,,-,895,BIGBOS,富山県,1227,REVIUS,富山県,0,,-,0,,-
5th style,STILL IN MY HEART,0,,-,960,-GOMI-,富山県,1351,320YEN,富山県,1924,SHAARK,富山県,0,,-
5th style,Spin the disc,0,,-,724,-GOMI-,富山県,1210,YUKI*,富山県,1319,CIA.3,富山県,0,,-
5th style,sometime,0,,-,723,OSWALD,富山県,976,OSWALD,富山県,1300,REVIUS,富山県,0,,-
5th style,RISLIM,0,,-,811,Y.HIKI,富山県,1247,SHAARK,富山県,0,,-,0,,-
5th style,RIDE ON THE LIGHT (HI GREAT MIX),0,,-,0,,-,986,-GOMI-,富山県,1705,REVIUS,富山県,1825,SHAARK,富山県
5th style,Regulus,0,,-,920,-GOMI-,富山県,1337,-GOMI-,富山県,1587,DUTCH,富山県,0,,-
5th style,Real,0,,-,986,-GOMI-,富山県,1482,OSWALD,富山県,1798,CIA,富山県,0,,-
5th style,Radical Faith,0,,-,1106,-GOMI-,富山県,1483,LEVIUS,富山県,1315,SHAARK,富山県,0,,-
5th style,QQQ,0,,-,1147,-GOMI-,富山県,1684,OSWALD,富山県,2158,REVIUS,富山県,0,,-
5th style,outer wall,0,,-,823,-GOMI-,富山県,1203,-GOMI-,富山県,1751,CIA.3,富山県,0,,-
5th style,LOVE AGAIN TONIGHT～for Mellisa mix～,0,,-,707,SENA,富山県,792,YAMA34,富山県,1108,CIA.3,富山県,0,,-
5th style,in my eyes,0,,-,938,YUKI*,富山県,1325,-GOMI-,富山県,1578,CIA.3,富山県,0,,-
5th style,Abyss,0,,-,1182,-GOMI-,富山県,1588,ASA,富山県,1875,REVIUS,富山県,0,,-
6th style,こっちを向いてよ,0,,-,777,-GOMI-,富山県,1118,TAKOST,富山県,1386,SHAARK,富山県,0,,-
6th style,VJ ARMY,0,,-,1164,OSWALD,富山県,1578,OSWALD,富山県,2269,SHAARK,富山県,0,,-
6th style,Take It Easy,0,,-,1343,-GOMI-,富山県,2187,OSWALD,富山県,2488,LEVIUS,富山県,0,,-
6th style,Summer Vacation(CU mix),0,,-,1208,-GOMI-,富山県,1828,REVIUS,富山県,0,,-,0,,-
6th style,SOMETHING WONDERFUL,0,,-,879,OSWALD,富山県,1277,OSWALD,富山県,1867,DUTCH,富山県,0,,-
6th style,route 80s,0,,-,655,MEA,富山県,1074,REILA,富山県,1512,REVIUS,富山県,0,,-
6th style,rottel-da-sun,0,,-,726,-GOMI-,富山県,1298,OSWALD,富山県,1860,REVIUS,富山県,0,,-
6th style,NEMESIS,0,,-,900,-GOMI-,富山県,1423,LIME,富山県,1932,SHAARK,富山県,0,,-
6th style,L’amour et la libert?,0,,-,968,MEAN,富山県,1525,MEAN,富山県,2015,REVIUS,富山県,0,,-
6th style,Linus,0,,-,910,-GOMI-,富山県,1423,AQ-VNS,富山県,2201,SHAARK,富山県,0,,-
6th style,G2,0,,-,1371,OZ,富山県,1683,AQ-VNS,富山県,2342,SHAARK,富山県,0,,-
6th style,Frozen Ray (original mix),0,,-,1200,-GOMI-,富山県,1670,DUTCH,富山県,1813,SHAARK,富山県,0,,-
6th style,Free Style,0,,-,825,-GOMI-,富山県,926,WATTA,富山県,1316,SHAARK,富山県,0,,-
6th style,fly through the night,0,,-,792,Y.HIKI,富山県,1206,-GOMI-,富山県,1667,REVIUS,富山県,0,,-
6th style,DIVE ～INTO YOUR HEART～,0,,-,1167,-GOMI-,富山県,1821,320YEN,富山県,2070,REVIUS,富山県,0,,-
6th style,Colors (radio edit),0,,-,1339,-GOMI-,富山県,1845,IIDX32,富山県,2456,SHAARK,富山県,0,,-
6th style,Buffalo,0,,-,973,OSWALD,富山県,1350,OSWALD,富山県,1813,REVIUS,富山県,2508,REVIUS,富山県
6th style,Blueberry Stream,0,,-,711,Y.HIKI,富山県,1393,YUKI*,富山県,1671,SHAARK,富山県,0,,-
6th style,BALLAD FOR YOU～想いの雨～,0,,-,562,YAMA34,富山県,719,YAMA34,富山県,1067,MEAN,富山県,0,,-
6th style,"19,November",0,,-,1031,-GOMI-,富山県,1238,SENA,富山県,1811,SHAARK,富山県,0,,-
7th style,革命,0,,-,670,-GOMI-,富山県,1875,DELTA,富山県,2309,REVIUS,富山県,0,,-
7th style,ZERO-ONE,0,,-,1007,-GOMI-,富山県,1540,OSWALD,富山県,2225,REVIUS,富山県,2877,SHAARK,富山県
7th style,traces,0,,-,1424,-GOMI-,富山県,1796,CRZ-R.,富山県,2136,REVIUS,富山県,0,,-
