バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,768,RIKI-P,福井県,977,RIKI-P,福井県,1125,M4S1R0,福井県,0,,-
1st&substream,RUGGED ASH,0,,-,365,GI-TA3,福井県,378,STICKS,福井県,1075,SLAY.,福井県,2015,SAEKI.,福井県
1st&substream,R3,0,,-,458,MITT,福井県,630,NAMMI,福井県,870,9,福井県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,527,2HOU,福井県,709,RIA,福井県,1072,IMOYA*,福井県,0,,-
1st&substream,Macho Gang,0,,-,361,MG-CAL,福井県,943,RIA,福井県,1570,MANUKE,福井県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,191,620,福井県,241,620,福井県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,469,MITT,福井県,717,SALAD,福井県,1127,9,福井県,0,,-
1st&substream,gentle stress,0,,-,330,RIA,福井県,0,,-,1403,MANUKE,福井県,0,,-
1st&substream,GENOM SCREAMS,0,,-,401,2HOU,福井県,684,U,福井県,1031,MANUKE,福井県,0,,-
1st&substream,GAMBOL,0,,-,260,ANIHUN,福井県,272,RIKI-P,福井県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,390,HANA.,福井県,503,620,福井県,569,9,福井県,0,,-
1st&substream,deep in you,0,,-,473,2HOU,福井県,484,SUZ,福井県,651,SAEKI.,福井県,0,,-
1st&substream,5.1.1.,0,,-,198,RIKI-P,福井県,978,TETTLY,福井県,1555,SLAY.,福井県,0,,-
1st&substream,22DUNK,0,,-,504,PUYO,福井県,622,IMOYA*,福井県,635,IMOYA*,福井県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,503,GI-TA3,福井県,610,GI-TA3,福井県,643,SAEKI.,福井県,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,0,,-,842,9,福井県,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,760,SALAD,福井県,986,ALT?,福井県,1199,MANUKE,福井県,0,,-
2nd style,I Was The One,0,,-,517,SLAY.,福井県,610,IMOYA*,福井県,684,9,福井県,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,0,,-,0,,-,1028,9,福井県,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,0,,-,744,CHTARO,福井県,1080,KOBA84,福井県,0,,-
2nd style,.59,0,,-,417,S-GM,福井県,995,GI-TA3,福井県,1089,KOBA84,福井県,0,,-
3rd style,THE SAFARI,337,HDK,福井県,1041,HDK,福井県,1729,SLAY.,福井県,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,0,,-,392,RIKI-P,福井県,0,,-,0,,-
3rd style,Skyscraper,0,,-,0,,-,873,CHTARO,福井県,1175,KOBA84,福井県,0,,-
3rd style,Schlagwerk,0,,-,0,,-,949,SWUWU,福井県,1655,MANUKE,福井県,0,,-
3rd style,REINCARNATION,0,,-,816,SOMA.,福井県,751,CHTARO,福井県,1228,MANUKE,福井県,0,,-
3rd style,R5,0,,-,729,2HOU,福井県,1123,GI-TA3,福井県,1744,MANUKE,福井県,0,,-
3rd style,Presto,0,,-,490,SRI*MA,福井県,889,NUMATA,福井県,993,620,福井県,0,,-
3rd style,LEADING CYBER,0,,-,0,,-,1063,CORO,福井県,1236,RIKI-P,福井県,0,,-
3rd style,Holic,0,,-,626,ELLLLL,福井県,1081,RIA,福井県,1691,SLAY.,福井県,0,,-
3rd style,era (nostalmix),0,,-,834,RIA,福井県,1042,GI-TA3,福井県,1499,SLAY.,福井県,0,,-
3rd style,Don't Stop!,0,,-,712,STICKS,福井県,784,STICKS,福井県,896,9,福井県,0,,-
3rd style,CAN'T STOP FALLIN'IN LOVE,0,,-,0,,-,1206,IMOYA*,福井県,0,,-,0,,-
4th style,Voltage (feat. Hidemaru),0,,-,900,TAT,福井県,1210,620,福井県,1308,SAEKI.,福井県,0,,-
4th style,SWEET LAB,0,,-,333,S-GM,福井県,810,CORO,福井県,1303,M4S1R0,福井県,0,,-
4th style,starmine,423,HDK,福井県,738,ASK-,福井県,1250,5YUNN,福井県,1584,SLAY.,福井県,0,,-
4th style,Mr.T.(take me higher),0,,-,598,ASK-,福井県,0,,-,1713,MANUKE,福井県,0,,-
4th style,minimalian,0,,-,254,ARI1,福井県,1001,SUZ,福井県,1375,MANUKE,福井県,0,,-
4th style,LOVE WILL・・・,0,,-,352,S-GM,福井県,660,B.,福井県,1445,MANUKE,福井県,0,,-
4th style,KAMIKAZE,0,,-,0,,-,1241,HAZUKI,福井県,2255,MANUKE,福井県,0,,-
4th style,Jam&Marmalade,0,,-,535,SWUWU,福井県,795,CORO,福井県,994,MANUKE,福井県,0,,-
4th style,Hitch Hiker2,0,,-,647,ASK-,福井県,1028,RIA,福井県,1290,MANUKE,福井県,1918,E-C-B,福井県
