バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,692,KANO.M,岐阜県,948,KONOHA,岐阜県,1149,ARDBEG,岐阜県,0,,-
1st&substream,RUGGED ASH,0,,-,357,564,岐阜県,394,J-.-J?,岐阜県,1003,KZIIDX,岐阜県,1977,A.SGSW,岐阜県
1st&substream,R3,0,,-,620,564,岐阜県,674,564,岐阜県,889,AZARA5,岐阜県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,435,SHU1,岐阜県,707,LEGACY,岐阜県,1082,S-RAN,岐阜県,0,,-
1st&substream,Macho Gang,0,,-,357,564,岐阜県,967,SHIBA,岐阜県,1640,A.SGSW,岐阜県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,195,77MARU,岐阜県,244,YUUNA*,岐阜県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,647,SHU1,岐阜県,909,LEGACY,岐阜県,1157,YUE.*,岐阜県,0,,-
1st&substream,gentle stress,0,,-,334,564,岐阜県,664,CHERIE,岐阜県,1415,RA*U,岐阜県,0,,-
1st&substream,GENOM SCREAMS,0,,-,396,564,岐阜県,737,LEGACY,岐阜県,1066,A.SGSW,岐阜県,0,,-
1st&substream,GAMBOL,0,,-,233,SHU1,岐阜県,274,YUUNA*,岐阜県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,387,BAMBI,岐阜県,500,REDRUM,岐阜県,576,YUUNA*,岐阜県,0,,-
1st&substream,deep in you,0,,-,377,SHU1,岐阜県,469,GAIA,岐阜県,658,YUUNA*,岐阜県,0,,-
1st&substream,5.1.1.,0,,-,197,7RUT0,岐阜県,989,SHIBA,岐阜県,1551,AZARA5,岐阜県,0,,-
1st&substream,22DUNK,0,,-,505,RA*U,岐阜県,607,KY,岐阜県,656,YUUNA*,岐阜県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,484,564,岐阜県,572,SZR,岐阜県,630,GMT.RK,岐阜県,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,539,564,岐阜県,853,YUUNA*,岐阜県,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,778,564,岐阜県,951,RE.Q,岐阜県,1217,YUE.*,岐阜県,0,,-
2nd style,I Was The One,0,,-,407,AS.,岐阜県,583,RE.Q,岐阜県,687,YUUNA*,岐阜県,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,695,564,岐阜県,839,21-19,岐阜県,1005,GMT.RK,岐阜県,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,514,SHU1,岐阜県,915,RE.Q,岐阜県,1093,YUE.*,岐阜県,0,,-
2nd style,.59,0,,-,664,564,岐阜県,949,FAIRU,岐阜県,1156,A.SGSW,岐阜県,0,,-
3rd style,THE SAFARI,289,S1019,岐阜県,1018,KO41TA,岐阜県,1744,OMESIS,岐阜県,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,265,564,岐阜県,390,GMT.RK,岐阜県,0,,-,0,,-
