バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,0,,-,461,GIGLIO,鳥取県,1077,HOMURA,鳥取県,0,,-
1st&substream,RUGGED ASH,0,,-,0,,-,0,,-,1015,ANTCOR,鳥取県,2026,KYORSK,鳥取県
1st&substream,R3,0,,-,385,DJCA$$,鳥取県,0,,-,818,Y.Y,鳥取県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,0,,-,641,GIGLIO,鳥取県,1041,ANTCOR,鳥取県,0,,-
1st&substream,Macho Gang,0,,-,204,GORO56,鳥取県,653,MARKET,鳥取県,1510,P.S3TH,鳥取県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,192,HOMURA,鳥取県,241,KYORSK,鳥取県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,0,,-,629,MARKET,鳥取県,1013,TIARA,鳥取県,0,,-
1st&substream,gentle stress,0,,-,0,,-,630,TIARA,鳥取県,1377,ANTCOR,鳥取県,0,,-
1st&substream,GENOM SCREAMS,0,,-,200,U-7GI,鳥取県,495,GIGLIO,鳥取県,1054,KYORSK,鳥取県,0,,-
1st&substream,GAMBOL,0,,-,110,GORO56,鳥取県,249,AS-PIL,鳥取県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,365,NORNOR,鳥取県,473,35!?,鳥取県,561,DEBU**,鳥取県,0,,-
1st&substream,deep in you,0,,-,0,,-,0,,-,633,PRN.SZ,鳥取県,0,,-
1st&substream,5.1.1.,0,,-,55,RIRAYU,鳥取県,898,TIARA,鳥取県,1552,YU1MA,鳥取県,0,,-
1st&substream,22DUNK,0,,-,0,,-,0,,-,617,SIGRIN,鳥取県,0,,-
