バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,490,731707,島根県,924,LU.PSJ,島根県,1072,V3G4S*,島根県,0,,-
1st&substream,RUGGED ASH,0,,-,331,731707,島根県,357,RIJI.T,島根県,1011,V3G4S*,島根県,2010,FENCE,島根県
1st&substream,R3,0,,-,540,731707,島根県,701,CHARIN,島根県,866,V3G4S*,島根県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,496,731707,島根県,518,DAG!!!,島根県,1039,RAN.S,島根県,0,,-
1st&substream,Macho Gang,0,,-,362,V3G4S*,島根県,915,LU.PSJ,島根県,1416,V3G4S*,島根県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,163,731707,島根県,228,TOG,島根県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,736,731707,島根県,660,SIJIMI,島根県,1115,V3G4S*,島根県,0,,-
1st&substream,gentle stress,0,,-,0,,-,540,731707,島根県,1370,V3G4S*,島根県,0,,-
1st&substream,GENOM SCREAMS,0,,-,347,731707,島根県,756,CHARIN,島根県,973,RAN.S,島根県,0,,-
1st&substream,GAMBOL,0,,-,247,731707,島根県,265,V3G4S*,島根県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,372,731707,島根県,463,LU.PSJ,島根県,568,V3G4S*,島根県,0,,-
1st&substream,deep in you,0,,-,351,731707,島根県,0,,-,632,V3G4S*,島根県,0,,-
1st&substream,5.1.1.,0,,-,180,731707,島根県,991,V3G4S*,島根県,1477,RAN.S,島根県,0,,-
1st&substream,22DUNK,0,,-,407,731707,島根県,618,CHARIN,島根県,620,V3G4S*,島根県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,445,731707,島根県,609,CHARIN,島根県,630,V3G4S*,島根県,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,486,731707,島根県,808,V3G4S*,島根県,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,712,731707,島根県,0,,-,1151,KOHNOS,島根県,0,,-
2nd style,I Was The One,0,,-,479,731707,島根県,0,,-,657,V3G4S*,島根県,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,586,731707,島根県,382,JULI,島根県,991,V3G4S*,島根県,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,592,731707,島根県,0,,-,1031,V3G4S*,島根県,0,,-
