バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,718,MER9RY,山口県,875,MER9RY,山口県,1155,ANMIL,山口県,0,,-
1st&substream,RUGGED ASH,0,,-,361,MER9RY,山口県,386,MER9RY,山口県,1098,ANMIL,山口県,2022,ANMIL,山口県
1st&substream,R3,0,,-,610,MER9RY,山口県,703,XANADU,山口県,904,ANMIL,山口県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,541,MER9RY,山口県,723,MER9RY,山口県,1104,ANMIL,山口県,0,,-
1st&substream,Macho Gang,0,,-,366,MER9RY,山口県,921,KENPNI,山口県,1618,ANMIL,山口県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,190,MER9RY,山口県,244,ANMIL,山口県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,830,MER9RY,山口県,909,MER9RY,山口県,1190,ANMIL,山口県,0,,-
1st&substream,gentle stress,0,,-,336,MER9RY,山口県,641,MER9RY,山口県,1447,RINO,山口県,0,,-
1st&substream,GENOM SCREAMS,0,,-,398,MER9RY,山口県,701,PHAL*,山口県,1068,ANMIL,山口県,0,,-
1st&substream,GAMBOL,0,,-,266,MER9RY,山口県,274,ANMIL,山口県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,395,MER9RY,山口県,495,MER9RY,山口県,577,ANMIL,山口県,0,,-
1st&substream,deep in you,0,,-,462,MER9RY,山口県,460,MER9RY,山口県,660,ANMIL,山口県,0,,-
1st&substream,5.1.1.,0,,-,192,SONICO,山口県,927,MER9RY,山口県,1566,ANMIL,山口県,0,,-
1st&substream,22DUNK,0,,-,494,MER9RY,山口県,589,M5,山口県,653,ANMIL,山口県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,495,MER9RY,山口県,574,MER9RY,山口県,648,ANMIL,山口県,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,542,MER9RY,山口県,855,ANMIL,山口県,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,799,MER9RY,山口県,943,MER9RY,山口県,1223,RINO,山口県,0,,-
2nd style,I Was The One,0,,-,509,MER9RY,山口県,625,MER9RY,山口県,691,ANMIL,山口県,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,705,MER9RY,山口県,801,MER9RY,山口県,1070,ANMIL,山口県,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,697,MER9RY,山口県,946,MER9RY,山口県,1118,ANMIL,山口県,0,,-
2nd style,.59,0,,-,676,MER9RY,山口県,928,MER9RY,山口県,1148,ANMIL,山口県,0,,-
3rd style,THE SAFARI,349,MER9RY,山口県,1211,SONICO,山口県,1748,ANMIL,山口県,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,267,MER9RY,山口県,396,ANMIL,山口県,0,,-,0,,-
3rd style,Skyscraper,0,,-,700,MER9RY,山口県,1022,MER9RY,山口県,1238,ANMIL,山口県,0,,-
3rd style,Schlagwerk,0,,-,773,MER9RY,山口県,1142,MER9RY,山口県,1684,ANMIL,山口県,0,,-
3rd style,REINCARNATION,0,,-,806,MER9RY,山口県,907,MER9RY,山口県,1271,ANMIL,山口県,0,,-
3rd style,R5,0,,-,745,MER9RY,山口県,1120,SONICO,山口県,1766,ANMIL,山口県,0,,-
3rd style,Presto,0,,-,497,MER9RY,山口県,737,DJDJ,山口県,1006,ANMIL,山口県,0,,-
3rd style,LEADING CYBER,0,,-,798,MER9RY,山口県,1038,MER9RY,山口県,1261,ANMIL,山口県,0,,-
3rd style,Holic,0,,-,734,MER9RY,山口県,1194,SHIROZ,山口県,1707,ANMIL,山口県,0,,-
3rd style,era (nostalmix),0,,-,814,MER9RY,山口県,1040,9R3N41,山口県,1523,RINO,山口県,0,,-
3rd style,Don't Stop!,0,,-,750,MER9RY,山口県,822,SONICO,山口県,906,ANMIL,山口県,0,,-
3rd style,CAN'T STOP FALLIN'IN LOVE,0,,-,578,MER9RY,山口県,1240,ANMIL,山口県,0,,-,0,,-
4th style,Voltage (feat. Hidemaru),0,,-,844,MER9RY,山口県,1138,INAKA.,山口県,1321,ANMIL,山口県,0,,-
4th style,SWEET LAB,0,,-,515,MER9RY,山口県,817,?-!,山口県,1352,ANMIL,山口県,0,,-
4th style,starmine,431,MER9RY,山口県,845,MER9RY,山口県,1056,SHIO-R,山口県,1582,ANMIL,山口県,0,,-
4th style,Mr.T.(take me higher),0,,-,785,MER9RY,山口県,929,MER9RY,山口県,1754,ANMIL,山口県,0,,-
4th style,minimalian,0,,-,505,MER9RY,山口県,808,DJDJ,山口県,1405,ANMIL,山口県,0,,-
4th style,LOVE WILL・・・,0,,-,524,MER9RY,山口県,733,JUNCHI,山口県,1457,ANMIL,山口県,0,,-
