バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,549,NAKA,香川県,1004,TK,香川県,1108,TRD*N,香川県,0,,-
1st&substream,RUGGED ASH,0,,-,353,TK,香川県,349,NAKA,香川県,1067,IRU.CA,香川県,2008,VAN3,香川県
1st&substream,R3,0,,-,548,SHELA,香川県,713,TK,香川県,872,SO.DR,香川県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,455,NAKA,香川県,725,TK,香川県,1080,DAIKI,香川県,0,,-
1st&substream,Macho Gang,0,,-,356,KIKONY,香川県,992,TK,香川県,1592,TT,香川県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,193,NAGISA,香川県,243,VAN3,香川県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,638,NAKA,香川県,949,TK,香川県,1128,NAGISA,香川県,0,,-
1st&substream,gentle stress,0,,-,333,KEITA,香川県,664,TK,香川県,1404,LEMAHU,香川県,0,,-
1st&substream,GENOM SCREAMS,0,,-,375,SHELA,香川県,754,NAGISA,香川県,1069,VAN3,香川県,0,,-
1st&substream,GAMBOL,0,,-,237,NAKA,香川県,272,LOW,香川県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,320,NAKA,香川県,511,TK,香川県,570,KIKYO,香川県,0,,-
1st&substream,deep in you,0,,-,347,NAKA,香川県,499,TK,香川県,634,M-2-BR,香川県,0,,-
1st&substream,5.1.1.,0,,-,176,SHELA,香川県,874,YKHR,香川県,1570,VAN3,香川県,0,,-
1st&substream,22DUNK,0,,-,410,NOOK,香川県,619,TK,香川県,639,TRD*N,香川県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,417,NAKA,香川県,247,AYA,香川県,643,VAN3,香川県,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,574,KIKYO,香川県,826,M-2-BR,香川県,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,0,,-,1047,TK,香川県,1231,OHMZSE,香川県,0,,-
2nd style,I Was The One,0,,-,464,NAKA,香川県,185,AYA,香川県,693,LOW,香川県,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,713,FEMTO.,香川県,917,TK,香川県,1037,YU-YAN,香川県,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,569,NAKA,香川県,1025,TK,香川県,1103,KIKYO,香川県,0,,-
2nd style,.59,0,,-,603,NOOK,香川県,917,S*ATRI,香川県,1136,LOW,香川県,0,,-
3rd style,THE SAFARI,346,TK,香川県,1138,TK,香川県,1767,VAN3,香川県,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,239,NAKA,香川県,386,3982,香川県,0,,-,0,,-
3rd style,Skyscraper,0,,-,721,TK,香川県,1165,TK,香川県,1208,TRD*N,香川県,0,,-
3rd style,Schlagwerk,0,,-,791,TK,香川県,1255,TK,香川県,1641,ANYOJI,香川県,0,,-
3rd style,REINCARNATION,0,,-,817,TK,香川県,999,TK,香川県,1209,LEMAHU,香川県,0,,-
3rd style,R5,0,,-,622,NIJIKA,香川県,1081,TK,香川県,1756,VAN3,香川県,0,,-
3rd style,Presto,0,,-,449,NAKA,香川県,918,U8-RAN,香川県,989,VAN3,香川県,0,,-
3rd style,LEADING CYBER,0,,-,822,TK,香川県,1148,3982,香川県,1201,KIKYO,香川県,0,,-
3rd style,Holic,0,,-,630,BATORA,香川県,1156,TK,香川県,1745,OHMZSE,香川県,0,,-
3rd style,era (nostalmix),0,,-,739,SHELA,香川県,1064,VAN3,香川県,1532,WL1,香川県,0,,-
3rd style,Don't Stop!,0,,-,750,TK,香川県,835,TK,香川県,889,TRD*N,香川県,0,,-
3rd style,CAN'T STOP FALLIN'IN LOVE,0,,-,513,NAKA,香川県,1192,9-NYA,香川県,0,,-,0,,-
4th style,Voltage (feat. Hidemaru),0,,-,897,TK,香川県,1130,NAGISA,香川県,1318,VAN3,香川県,0,,-
4th style,SWEET LAB,0,,-,525,TK,香川県,905,TK,香川県,1366,VAN3,香川県,0,,-
4th style,starmine,441,TK,香川県,705,BATORA,香川県,1192,YAMITA,香川県,1588,VAN3,香川県,0,,-
4th style,Mr.T.(take me higher),0,,-,803,TK,香川県,0,,-,1755,OHMZSE,香川県,0,,-
4th style,minimalian,0,,-,422,NAKA,香川県,899,YAMITA,香川県,1412,OHMZSE,香川県,0,,-
4th style,LOVE WILL・・・,0,,-,545,TK,香川県,730,TK,香川県,1446,OHMZSE,香川県,0,,-
4th style,KAMIKAZE,0,,-,1001,TK,香川県,1180,YAMITA,香川県,2278,VAN3,香川県,0,,-
4th style,Jam&Marmalade,0,,-,569,NAKA,香川県,767,BIS,香川県,1020,OHMZSE,香川県,0,,-
4th style,Hitch Hiker2,0,,-,793,TK,香川県,991,YAMITA,香川県,1314,VAN3,香川県,1858,GNSCCI,香川県
4th style,HIGHER,0,,-,529,TK,香川県,895,TK,香川県,1253,M-2-BR,香川県,0,,-
4th style,FLOWERS for ALBION,0,,-,53,OV3R,香川県,431,VAN3,香川県,0,,-,0,,-
4th style,era (step mix),0,,-,1097,TRD*N,香川県,1337,TK,香川県,1718,VAN3,香川県,0,,-
4th style,empathy,0,,-,813,TK,香川県,1127,ABC,香川県,1436,VAN3,香川県,0,,-
4th style,DXY!,0,,-,1199,TK,香川県,1678,KDNX,香川県,2246,VAN3,香川県,0,,-
4th style,Clione,0,,-,511,TK,香川県,921,TK,香川県,1532,LEMAHU,香川県,2177,VAN3,香川県
4th style,CHECKING YOU OUT,0,,-,503,YAMITA,香川県,880,RENZI,香川県,1359,VAN3,香川県,0,,-
4th style,Burnin' The Floor,0,,-,562,TK,香川県,938,TK,香川県,1425,OHMZSE,香川県,0,,-
4th style,Broken My Heart,0,,-,885,TK,香川県,1289,YAMITA,香川県,1820,OHMZSE,香川県,0,,-
4th style,B4U,0,,-,1032,TK,香川県,1463,TK,香川県,2016,OHMZSE,香川県,0,,-
4th style,ABSOLUTE,0,,-,1280,TK,香川県,1747,D#RICE,香川県,2365,VAN3,香川県,2757,VAN3,香川県
4th style,250bpm,0,,-,651,TK,香川県,968,TK,香川県,1423,VAN3,香川県,0,,-
5th style,V,340,TK,香川県,1229,TK,香川県,2456,VAN3,香川県,3024,OHMZSE,香川県,0,,-
5th style,THE SHINING POLARIS,0,,-,918,TK,香川県,0,,-,1531,TRD*N,香川県,0,,-
5th style,THE CUBE,0,,-,729,TK,香川県,1215,M-2-BR,香川県,1315,LOW,香川県,0,,-
5th style,sync,0,,-,1025,TK,香川県,1425,HYU,香川県,2382,OHMZSE,香川県,0,,-
5th style,still my words,0,,-,890,TK,香川県,1196,NAGISA,香川県,0,,-,0,,-
5th style,STILL IN MY HEART,0,,-,1000,TK,香川県,1160,IIDX32,香川県,1929,OHMZSE,香川県,0,,-
5th style,Spin the disc,0,,-,776,TK,香川県,1218,TK,香川県,1340,VAN3,香川県,0,,-
5th style,sometime,0,,-,751,TK,香川県,1007,TK,香川県,1320,VAN3,香川県,0,,-
5th style,RISLIM,0,,-,890,TK,香川県,1181,TT,香川県,0,,-,0,,-
5th style,RIDE ON THE LIGHT (HI GREAT MIX),0,,-,879,TK,香川県,0,,-,1707,VAN3,香川県,1841,VAN3,香川県
5th style,Regulus,0,,-,1030,TK,香川県,1415,TK,香川県,1576,TRD*N,香川県,0,,-
5th style,Real,0,,-,1051,TK,香川県,1560,TK,香川県,1808,VAN3,香川県,0,,-
5th style,Radical Faith,0,,-,1145,TK,香川県,1440,TK,香川県,1227,3982,香川県,0,,-
5th style,QQQ,0,,-,1184,TK,香川県,1670,JESMET,香川県,2165,OHMZSE,香川県,0,,-
5th style,outer wall,0,,-,619,NAKA,香川県,1302,TK,香川県,1753,OHMZSE,香川県,0,,-
5th style,LOVE AGAIN TONIGHT～for Mellisa mix～,0,,-,736,SUBARU,香川県,577,CLGFAM,香川県,1120,VAN3,香川県,0,,-
5th style,in my eyes,0,,-,917,TK,香川県,1399,TK,香川県,1583,TT,香川県,0,,-
5th style,Abyss,0,,-,1245,TK,香川県,1559,TK,香川県,1878,OHMZSE,香川県,0,,-
6th style,こっちを向いてよ,0,,-,820,TK,香川県,1012,YAMITA,香川県,1369,WL1,香川県,0,,-
6th style,VJ ARMY,0,,-,801,NAKA,香川県,1632,TK,香川県,2171,VAN3,香川県,0,,-
6th style,Take It Easy,0,,-,1433,TK,香川県,2288,KIKYO,香川県,2519,VAN3,香川県,0,,-
6th style,Summer Vacation(CU mix),0,,-,1230,TK,香川県,1764,ANYOJI,香川県,0,,-,0,,-
6th style,SOMETHING WONDERFUL,0,,-,901,TK,香川県,1118,KA3NOK,香川県,1887,9-NYA,香川県,0,,-
6th style,route 80s,0,,-,875,TK,香川県,1074,KDNX,香川県,1518,VAN3,香川県,0,,-
6th style,rottel-da-sun,0,,-,800,TK,香川県,1307,D#RICE,香川県,1857,VAN3,香川県,0,,-
6th style,NEMESIS,0,,-,960,TK,香川県,1424,TK,香川県,1877,VAN3,香川県,0,,-
6th style,L’amour et la libert?,0,,-,943,TK,香川県,1438,M-2-BR,香川県,2014,VAN3,香川県,0,,-
6th style,Linus,0,,-,946,TK,香川県,1380,IIDX32,香川県,2188,VAN3,香川県,0,,-
6th style,G2,0,,-,1406,M-2-BR,香川県,1624,TK,香川県,2318,VAN3,香川県,0,,-
6th style,Frozen Ray (original mix),0,,-,1240,TK,香川県,1590,FEMTO.,香川県,1797,VAN3,香川県,0,,-
6th style,Free Style,0,,-,892,TK,香川県,828,YAMITA,香川県,1240,LOW,香川県,0,,-
