バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,566,JQK,愛媛県,1007,PGXDEN,愛媛県,1151,45NYAN,愛媛県,0,,-
1st&substream,RUGGED ASH,0,,-,347,4141*R,愛媛県,393,QUIU,愛媛県,1073,45NYAN,愛媛県,2011,45NYAN,愛媛県
1st&substream,R3,0,,-,593,4141*R,愛媛県,665,4141*R,愛媛県,889,TAKOSS,愛媛県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,506,4141*R,愛媛県,689,4141*R,愛媛県,1097,762,愛媛県,0,,-
1st&substream,Macho Gang,0,,-,356,4141*R,愛媛県,1005,QUIU,愛媛県,1629,45NYAN,愛媛県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,190,GERRY,愛媛県,241,KANIPI,愛媛県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,782,4141*R,愛媛県,884,K*Y,愛媛県,1185,762,愛媛県,0,,-
1st&substream,gentle stress,0,,-,235,JQK,愛媛県,604,PEG11O,愛媛県,1448,45NYAN,愛媛県,0,,-
1st&substream,GENOM SCREAMS,0,,-,356,4141*R,愛媛県,767,GYAREN,愛媛県,1069,45NYAN,愛媛県,0,,-
1st&substream,GAMBOL,0,,-,256,4141*R,愛媛県,266,KTPN,愛媛県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,385,4141*R,愛媛県,467,4141*R,愛媛県,559,PNSP!!,愛媛県,0,,-
1st&substream,deep in you,0,,-,333,JQK,愛媛県,388,YUUKI,愛媛県,636,762,愛媛県,0,,-
1st&substream,5.1.1.,0,,-,183,RSN!!!,愛媛県,1009,NYAN8S,愛媛県,1555,45NYAN,愛媛県,0,,-
1st&substream,22DUNK,0,,-,340,JQK,愛媛県,458,YUUKI,愛媛県,632,ANROCO,愛媛県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,469,4141*R,愛媛県,613,ZETUEI,愛媛県,640,L#WIND,愛媛県,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,534,4141*R,愛媛県,840,KANIPI,愛媛県,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,634,JQK,愛媛県,875,U160R,愛媛県,1206,45NYAN,愛媛県,0,,-
2nd style,I Was The One,0,,-,443,JQK,愛媛県,521,MIXVEG,愛媛県,676,762,愛媛県,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,658,4141*R,愛媛県,771,4141*R,愛媛県,1054,ANROCO,愛媛県,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,498,JQK,愛媛県,883,4141*R,愛媛県,1088,PNSP!!,愛媛県,0,,-
2nd style,.59,0,,-,639,4141*R,愛媛県,885,4141*R,愛媛県,1124,ANROCO,愛媛県,0,,-
3rd style,THE SAFARI,348,MARCO,愛媛県,898,4141*R,愛媛県,1741,762,愛媛県,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,213,JQK,愛媛県,385,EXTEND,愛媛県,0,,-,0,,-
3rd style,Skyscraper,0,,-,628,Q,愛媛県,870,4141*R,愛媛県,1199,MO27BE,愛媛県,0,,-
3rd style,Schlagwerk,0,,-,747,AIR,愛媛県,1215,AKIYA,愛媛県,1668,45NYAN,愛媛県,0,,-
3rd style,REINCARNATION,0,,-,775,4141*R,愛媛県,891,4141*R,愛媛県,1231,E-SPRI,愛媛県,0,,-
3rd style,R5,0,,-,735,4141*R,愛媛県,1063,RA9,愛媛県,1759,762,愛媛県,0,,-
3rd style,Presto,0,,-,352,JQK,愛媛県,594,P1AN0.,愛媛県,1007,45NYAN,愛媛県,0,,-
3rd style,LEADING CYBER,0,,-,758,4141*R,愛媛県,1155,YANGAS,愛媛県,1250,762,愛媛県,0,,-
3rd style,Holic,0,,-,676,4141*R,愛媛県,936,TINNPO,愛媛県,1728,45NYAN,愛媛県,0,,-
3rd style,era (nostalmix),0,,-,764,4141*R,愛媛県,1045,HA4MOT,愛媛県,1501,45NYAN,愛媛県,0,,-
3rd style,Don't Stop!,0,,-,763,P*ARK,愛媛県,707,YUUKI,愛媛県,885,GERRY,愛媛県,0,,-
3rd style,CAN'T STOP FALLIN'IN LOVE,0,,-,392,JQK,愛媛県,1213,KTPN,愛媛県,0,,-,0,,-
4th style,Voltage (feat. Hidemaru),0,,-,836,4141*R,愛媛県,1104,PGXDEN,愛媛県,1302,45NYAN,愛媛県,0,,-
4th style,SWEET LAB,0,,-,494,4141*R,愛媛県,801,UNKA,愛媛県,1326,45NYAN,愛媛県,0,,-
4th style,starmine,439,AKIYA,愛媛県,807,4141*R,愛媛県,1246,PEG11O,愛媛県,1582,45NYAN,愛媛県,0,,-
4th style,Mr.T.(take me higher),0,,-,727,Q,愛媛県,872,4141*R,愛媛県,1752,762,愛媛県,0,,-
4th style,minimalian,0,,-,424,Q,愛媛県,969,AIR,愛媛県,1397,45NYAN,愛媛県,0,,-
4th style,LOVE WILL・・・,0,,-,501,YUUKI,愛媛県,725,ZETUEI,愛媛県,1438,TORI,愛媛県,0,,-
4th style,KAMIKAZE,0,,-,906,4141*R,愛媛県,1335,ZETUEI,愛媛県,2287,762,愛媛県,0,,-
4th style,Jam&Marmalade,0,,-,726,MARCO,愛媛県,858,ZETUEI,愛媛県,1010,45NYAN,愛媛県,0,,-
4th style,Hitch Hiker2,0,,-,720,Q,愛媛県,1070,PEG11O,愛媛県,1277,E-SPRI,愛媛県,1927,45NYAN,愛媛県
4th style,HIGHER,0,,-,414,JQK,愛媛県,820,4141*R,愛媛県,1252,PNSP!!,愛媛県,0,,-
4th style,FLOWERS for ALBION,0,,-,188,JQK,愛媛県,423,KTPN,愛媛県,0,,-,0,,-
4th style,era (step mix),0,,-,1012,4141*R,愛媛県,1170,89BTMG,愛媛県,1680,45NYAN,愛媛県,0,,-
4th style,empathy,0,,-,769,4141*R,愛媛県,942,4141*R,愛媛県,1462,45NYAN,愛媛県,0,,-
4th style,DXY!,0,,-,1099,4141*R,愛媛県,1630,FAMI,愛媛県,2216,45NYAN,愛媛県,0,,-
4th style,Clione,0,,-,498,4141*R,愛媛県,814,4141*R,愛媛県,1609,45NYAN,愛媛県,2125,762,愛媛県
4th style,CHECKING YOU OUT,0,,-,580,K*Y,愛媛県,728,CHOCOM,愛媛県,1303,45NYAN,愛媛県,0,,-
4th style,Burnin' The Floor,0,,-,560,4141*R,愛媛県,871,4141*R,愛媛県,1422,KENKEN,愛媛県,0,,-
4th style,Broken My Heart,0,,-,861,4141*R,愛媛県,1258,MARCO,愛媛県,1817,45NYAN,愛媛県,0,,-
