バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,521,YOZORA,長崎県,976,SIGNUM,長崎県,1124,HEIPOP,長崎県,0,,-
1st&substream,RUGGED ASH,0,,-,369,SAYO**,長崎県,386,SLIVER,長崎県,1050,SAYO**,長崎県,1999,GOTHIC,長崎県
1st&substream,R3,0,,-,352,CHEK,長崎県,547,ZO3,長崎県,882,HEIPOP,長崎県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,489,KASUMI,長崎県,630,TKNN,長崎県,1077,HEIPOP,長崎県,0,,-
1st&substream,Macho Gang,0,,-,233,CHEK,長崎県,975,SHIURA,長崎県,1591,GOTHIC,長崎県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,172,KASUMI,長崎県,244,GOTHIC,長崎県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,639,MOE7TU,長崎県,876,T2UU,長崎県,1166,HEIPOP,長崎県,0,,-
1st&substream,gentle stress,0,,-,292,AAA,長崎県,480,ZO3,長崎県,1400,LOW.S,長崎県,0,,-
1st&substream,GENOM SCREAMS,0,,-,364,LELEKA,長崎県,503,MOE7TU,長崎県,1035,HEIPOP,長崎県,0,,-
1st&substream,GAMBOL,0,,-,270,SAYO**,長崎県,268,SAYO**,長崎県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,342,TOMO,長崎県,496,ROBROY,長崎県,571,SAYO**,長崎県,0,,-
1st&substream,deep in you,0,,-,328,ADMIN,長崎県,0,,-,650,HEIPOP,長崎県,0,,-
1st&substream,5.1.1.,0,,-,193,PMJIMA,長崎県,997,SAYO**,長崎県,1552,GOTHIC,長崎県,0,,-
1st&substream,22DUNK,0,,-,245,CHEK,長崎県,494,MRMINE,長崎県,639,PCFAXX,長崎県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,333,JMC,長崎県,614,SAYO**,長崎県,639,HEIPOP,長崎県,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,256,SOSUKE,長崎県,832,SAYO**,長崎県,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,368,SEIRA,長崎県,923,FENCER,長崎県,1204,P,長崎県,0,,-
2nd style,I Was The One,0,,-,0,,-,321,SEIRA,長崎県,683,SAYO**,長崎県,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,432,ADMIN,長崎県,0,,-,1008,SAYO**,長崎県,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,565,YOZORA,長崎県,0,,-,1095,HEIPOP,長崎県,0,,-
2nd style,.59,0,,-,350,CHEK,長崎県,985,SAYO**,長崎県,1103,LOW.S,長崎県,0,,-
3rd style,THE SAFARI,266,KAEDE,長崎県,1066,ROBROY,長崎県,1724,GOTHIC,長崎県,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,183,MELTY*,長崎県,391,SAYO**,長崎県,0,,-,0,,-
3rd style,Skyscraper,0,,-,75,AMANE,長崎県,1157,SAYO**,長崎県,1224,PCFAXX,長崎県,0,,-
