バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,745,UDG,沖縄県,1040,SIM,沖縄県,1134,SKYM,沖縄県,0,,-
1st&substream,RUGGED ASH,0,,-,216,MIRIA,沖縄県,392,N.E.,沖縄県,1062,HKTK3,沖縄県,1987,HKTK3,沖縄県
1st&substream,R3,0,,-,617,5UP1C4,沖縄県,677,SHUSAN,沖縄県,896,HKTK3,沖縄県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,536,SHUSAN,沖縄県,734,N.E.,沖縄県,1105,HKTK3,沖縄県,0,,-
1st&substream,Macho Gang,0,,-,369,SYORYU,沖縄県,925,REM,沖縄県,1592,SIM,沖縄県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,191,KOU-.-,沖縄県,242,N.E.,沖縄県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,842,5UP1C4,沖縄県,879,PATCH,沖縄県,1194,HKTK3,沖縄県,0,,-
1st&substream,gentle stress,0,,-,331,MEU,沖縄県,665,F1VE,沖縄県,1440,HKTK3,沖縄県,0,,-
1st&substream,GENOM SCREAMS,0,,-,391,JANSI-,沖縄県,791,F1VE,沖縄県,1042,HISA0.,沖縄県,0,,-
1st&substream,GAMBOL,0,,-,263,YJ514!,沖縄県,273,SIM,沖縄県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,396,JANSI-,沖縄県,492,JANSI-,沖縄県,566,HKTK3,沖縄県,0,,-
1st&substream,deep in you,0,,-,0,,-,468,F1VE,沖縄県,655,HKTK3,沖縄県,0,,-
1st&substream,5.1.1.,0,,-,194,JANSI-,沖縄県,1002,F1VE,沖縄県,1554,SIM,沖縄県,0,,-
1st&substream,22DUNK,0,,-,423,MEU,沖縄県,592,MINORU,沖縄県,645,HKTK3,沖縄県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,421,JANSI-,沖縄県,398,T?K?S,沖縄県,643,POPO,沖縄県,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,521,AAA,沖縄県,821,CAGE,沖縄県,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,746,AAA,沖縄県,1098,F1VE,沖縄県,1202,HKTK3,沖縄県,0,,-
2nd style,I Was The One,0,,-,529,JANSI-,沖縄県,620,F1VE,沖縄県,680,N.E.,沖縄県,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,736,5UP1C4,沖縄県,879,SHUSAN,沖縄県,1058,SKYM,沖縄県,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,643,SHUSAN,沖縄県,991,F1VE,沖縄県,1107,HKTK3,沖縄県,0,,-
2nd style,.59,0,,-,697,JANSI-,沖縄県,909,-4CKA.,沖縄県,1148,SIM,沖縄県,0,,-
3rd style,THE SAFARI,336,MEU,沖縄県,1121,JANSI-,沖縄県,1732,HKTK3,沖縄県,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,270,MEU,沖縄県,389,DAPUMP,沖縄県,0,,-,0,,-
3rd style,Skyscraper,0,,-,0,,-,1164,F1VE,沖縄県,1194,P-TIME,沖縄県,0,,-
3rd style,Schlagwerk,0,,-,706,HMD,沖縄県,1244,F1VE,沖縄県,1665,HKTK3,沖縄県,0,,-
3rd style,REINCARNATION,0,,-,507,ME,沖縄県,979,CSEMP2,沖縄県,1257,HKTK3,沖縄県,0,,-
3rd style,R5,0,,-,732,JANSI-,沖縄県,1136,DISTEL,沖縄県,1764,HKTK3,沖縄県,0,,-
3rd style,Presto,0,,-,466,HMD,沖縄県,879,PATCH,沖縄県,1004,SIM,沖縄県,0,,-
3rd style,LEADING CYBER,0,,-,822,JANSI-,沖縄県,1160,F1VE,沖縄県,1197,BOB.U,沖縄県,0,,-
3rd style,Holic,0,,-,696,ECL,沖縄県,1111,JANSI-,沖縄県,1682,HKTK3,沖縄県,0,,-
3rd style,era (nostalmix),0,,-,775,HMD,沖縄県,1045,HKTK3,沖縄県,1535,SSM,沖縄県,0,,-
3rd style,Don't Stop!,0,,-,0,,-,831,F1VE,沖縄県,900,SIM,沖縄県,0,,-
3rd style,CAN'T STOP FALLIN'IN LOVE,0,,-,0,,-,1240,P-TIME,沖縄県,0,,-,0,,-
4th style,Voltage (feat. Hidemaru),0,,-,840,NECO*A,沖縄県,1174,PQR*,沖縄県,1307,SIM,沖縄県,0,,-
4th style,SWEET LAB,0,,-,287,1230,沖縄県,931,F1VE,沖縄県,1354,SIM,沖縄県,0,,-
4th style,starmine,198,KANON,沖縄県,790,ECL,沖縄県,1176,MATAC!,沖縄県,1556,P-TIME,沖縄県,0,,-
4th style,Mr.T.(take me higher),0,,-,762,HMD,沖縄県,980,F1VE,沖縄県,1698,HZM#X1,沖縄県,0,,-
4th style,minimalian,0,,-,475,HMD,沖縄県,1067,A,沖縄県,1391,HKTK3,沖縄県,0,,-
4th style,LOVE WILL・・・,0,,-,517,MINORU,沖縄県,741,F1VE,沖縄県,1449,HKTK3,沖縄県,0,,-
4th style,KAMIKAZE,0,,-,926,MASA,沖縄県,1448,F1VE,沖縄県,2247,HKTK3,沖縄県,0,,-
4th style,Jam&Marmalade,0,,-,719,MA01,沖縄県,850,JANSI-,沖縄県,999,HKTK3,沖縄県,0,,-
4th style,Hitch Hiker2,0,,-,782,JANSI-,沖縄県,1181,F1VE,沖縄県,1292,P-TIME,沖縄県,1918,SIM,沖縄県
