バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,0,,-,790,DEJIKO,インドネシア,1071,OGUMAN,インドネシア,0,,-
1st&substream,RUGGED ASH,0,,-,277,WILD,インドネシア,368,UVB-76,インドネシア,935,8390,インドネシア,1948,DNM,インドネシア
1st&substream,R3,0,,-,302,HARI,インドネシア,516,IIDX32,インドネシア,722,WATANE,インドネシア,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,380,DARY16,インドネシア,532,EMMA!!,インドネシア,1001,8390,インドネシア,0,,-
1st&substream,Macho Gang,0,,-,233,DCL,インドネシア,918,DEJIKO,インドネシア,1439,OGUMAN,インドネシア,0,,-
1st&substream,KEEP ON MOVIN',0,,-,81,ANCHAN,インドネシア,238,EEPY,インドネシア,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,0,,-,822,CHOKA,インドネシア,1078,UVB-76,インドネシア,0,,-
1st&substream,gentle stress,0,,-,196,LEGIGH,インドネシア,582,ASA,インドネシア,1335,CORN,インドネシア,0,,-
1st&substream,GENOM SCREAMS,0,,-,237,DCL,インドネシア,562,.,インドネシア,988,64MGN,インドネシア,0,,-
1st&substream,GAMBOL,0,,-,225,ASA,インドネシア,271,DNM,インドネシア,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,0,,-,250,PREHMM,インドネシア,546,MRDS,インドネシア,0,,-
1st&substream,deep in you,0,,-,304,FLUFFY,インドネシア,397,OTADA,インドネシア,640,APIN58,インドネシア,0,,-
1st&substream,5.1.1.,0,,-,185,CASUAL,インドネシア,888,ASA,インドネシア,1543,DNM,インドネシア,0,,-
1st&substream,22DUNK,0,,-,362,MOE?,インドネシア,292,DOTSKY,インドネシア,626,MRDS,インドネシア,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,323,ANCHAN,インドネシア,476,DOTSKY,インドネシア,606,8390,インドネシア,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,396,CHIMIZ,インドネシア,774,8390,インドネシア,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,0,,-,772,*.EXE,インドネシア,1178,SKYSPA,インドネシア,0,,-
2nd style,I Was The One,0,,-,250,REYNO,インドネシア,471,DOOMER,インドネシア,630,JK,インドネシア,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,0,,-,779,UVB-76,インドネシア,990,M55,インドネシア,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,513,DOTSKY,インドネシア,648,*.EXE,インドネシア,1017,8390,インドネシア,0,,-
2nd style,.59,0,,-,530,HIMENO,インドネシア,750,MID000,インドネシア,996,RHAPSO,インドネシア,0,,-
3rd style,THE SAFARI,271,KYORO*,インドネシア,897,RHAPSO,インドネシア,1658,DNM,インドネシア,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,0,,-,366,8390,インドネシア,0,,-,0,,-
3rd style,Skyscraper,0,,-,0,,-,772,.,インドネシア,1185,OGRCAP,インドネシア,0,,-
3rd style,Schlagwerk,0,,-,544,MOE?,インドネシア,317,*.EXE,インドネシア,1661,U-GEE,インドネシア,0,,-
3rd style,REINCARNATION,0,,-,687,MOE?,インドネシア,677,MOE?,インドネシア,1211,JHAYR#,インドネシア,0,,-
3rd style,R5,0,,-,523,MOE?,インドネシア,1086,MELUSN,インドネシア,1769,DNM,インドネシア,0,,-
3rd style,Presto,0,,-,495,CASUAL,インドネシア,287,*.EXE,インドネシア,969,OGRCAP,インドネシア,0,,-
3rd style,LEADING CYBER,0,,-,528,MOE?,インドネシア,495,*.EXE,インドネシア,1037,DEJIKO,インドネシア,0,,-
3rd style,Holic,0,,-,568,CODYSB,インドネシア,965,DEJIKO,インドネシア,1592,AAAAAA,インドネシア,0,,-
3rd style,era (nostalmix),0,,-,642,DOTSKY,インドネシア,1057,U-GEE,インドネシア,1391,UVB-76,インドネシア,0,,-
3rd style,Don't Stop!,0,,-,475,HIMENO,インドネシア,0,,-,876,EEPY,インドネシア,0,,-
3rd style,CAN'T STOP FALLIN'IN LOVE,0,,-,390,DARY16,インドネシア,1090,8390,インドネシア,0,,-,0,,-
4th style,Voltage (feat. Hidemaru),0,,-,440,*.EXE,インドネシア,1033,DEJIKO,インドネシア,1284,BENCHD,インドネシア,0,,-
4th style,SWEET LAB,0,,-,351,KYORO*,インドネシア,778,CHOKA,インドネシア,1205,JHAYR#,インドネシア,0,,-
4th style,starmine,377,ADSHRT,インドネシア,690,FELIX,インドネシア,1371,JHAYR#,インドネシア,1471,MRDS,インドネシア,0,,-
4th style,Mr.T.(take me higher),0,,-,0,,-,622,*.EXE,インドネシア,1667,SALJU2,インドネシア,0,,-
4th style,minimalian,0,,-,97,REEREE,インドネシア,700,MOYO#,インドネシア,1301,JHAYR#,インドネシア,0,,-
4th style,LOVE WILL・・・,0,,-,0,,-,40,SNOWRG,インドネシア,1416,ALOE,インドネシア,0,,-
4th style,KAMIKAZE,0,,-,776,CODYSB,インドネシア,1380,TORATI,インドネシア,2239,DNM,インドネシア,0,,-
4th style,Jam&Marmalade,0,,-,494,MOE?,インドネシア,649,IIDX32,インドネシア,981,KEMU,インドネシア,0,,-
4th style,Hitch Hiker2,0,,-,0,,-,81,*.EXE,インドネシア,1191,CORN,インドネシア,1773,NERO7,インドネシア
4th style,HIGHER,0,,-,342,RESIR4,インドネシア,638,JOE,インドネシア,1135,BACK,インドネシア,0,,-
4th style,FLOWERS for ALBION,0,,-,147,ZEN,インドネシア,370,8390,インドネシア,0,,-,0,,-
4th style,era (step mix),0,,-,793,*.EXE,インドネシア,1047,SANBAI,インドネシア,1553,M55,インドネシア,0,,-
4th style,empathy,0,,-,0,,-,0,,-,1372,JHAYR#,インドネシア,0,,-
4th style,DXY!,0,,-,798,*.EXE,インドネシア,1269,MUGI,インドネシア,2001,BENCHD,インドネシア,0,,-
4th style,Clione,0,,-,319,*CLVR*,インドネシア,696,H1PP0,インドネシア,1401,HENTA1,インドネシア,2034,AAAAAA,インドネシア
4th style,CHECKING YOU OUT,0,,-,491,KARINA,インドネシア,806,JHAYR#,インドネシア,1275,DNM,インドネシア,0,,-
4th style,Burnin' The Floor,0,,-,350,*CLVR*,インドネシア,489,DARY16,インドネシア,1402,EEPY,インドネシア,0,,-
4th style,Broken My Heart,0,,-,701,CODYSB,インドネシア,887,JOE,インドネシア,1663,8390,インドネシア,0,,-
4th style,B4U,0,,-,637,DOTSKY,インドネシア,1196,BIDJI,インドネシア,1834,TOKEI,インドネシア,0,,-
4th style,ABSOLUTE,0,,-,909,EMMA!!,インドネシア,1527,415A,インドネシア,2184,OGUMAN,インドネシア,2498,CHANOG,インドネシア
4th style,250bpm,0,,-,0,,-,721,ANONN,インドネシア,1310,AAAAAA,インドネシア,0,,-
5th style,V,276,IMP,インドネシア,920,SASAAA,インドネシア,2285,8390,インドネシア,2920,DNM,インドネシア,0,,-
5th style,THE SHINING POLARIS,0,,-,577,MOE?,インドネシア,1131,DEJIKO,インドネシア,1519,AAAAAA,インドネシア,0,,-
5th style,THE CUBE,0,,-,419,CANTI.,インドネシア,548,*.EXE,インドネシア,1055,ZXY!,インドネシア,0,,-
5th style,sync,0,,-,0,,-,1577,CHOKA,インドネシア,2307,U-GEE,インドネシア,0,,-
5th style,still my words,0,,-,0,,-,1125,8390,インドネシア,0,,-,0,,-
5th style,STILL IN MY HEART,0,,-,492,DARY16,インドネシア,1154,DEJIKO,インドネシア,1819,APIN58,インドネシア,0,,-
5th style,Spin the disc,0,,-,542,DOTSKY,インドネシア,1091,DEJIKO,インドネシア,1244,MRDS,インドネシア,0,,-
5th style,sometime,0,,-,182,HANZER,インドネシア,258,*.EXE,インドネシア,1137,CORN,インドネシア,0,,-
5th style,RISLIM,0,,-,633,SNOWRG,インドネシア,1166,EEPY,インドネシア,0,,-,0,,-
5th style,RIDE ON THE LIGHT (HI GREAT MIX),0,,-,0,,-,956,CASUAL,インドネシア,1684,SKYSPA,インドネシア,1783,EEPY,インドネシア
5th style,Regulus,0,,-,910,64MGN,インドネシア,1402,JHAYR#,インドネシア,1470,AATSRA,インドネシア,0,,-
5th style,Real,0,,-,822,ASA,インドネシア,1245,DEJIKO,インドネシア,1602,M55,インドネシア,0,,-
5th style,Radical Faith,0,,-,605,*.EXE,インドネシア,1489,KEMU,インドネシア,1191,8390,インドネシア,0,,-
5th style,QQQ,0,,-,0,,-,1536,UVB-76,インドネシア,1992,AAAAAA,インドネシア,0,,-
5th style,outer wall,0,,-,741,CODYSB,インドネシア,0,,-,1695,APIN58,インドネシア,0,,-
5th style,LOVE AGAIN TONIGHT～for Mellisa mix～,0,,-,456,IIDX32,インドネシア,375,DARY16,インドネシア,1110,DNM,インドネシア,0,,-
5th style,in my eyes,0,,-,596,BDYHUN,インドネシア,785,.,インドネシア,1398,8390,インドネシア,0,,-
5th style,Abyss,0,,-,939,SASAAA,インドネシア,1476,BBIRD?,インドネシア,1832,ALOE,インドネシア,0,,-
6th style,こっちを向いてよ,0,,-,543,MOE?,インドネシア,0,,-,1337,SKYSPA,インドネシア,0,,-
6th style,VJ ARMY,0,,-,1154,PLAN8,インドネシア,1628,JHAYR#,インドネシア,2045,OGUMAN,インドネシア,0,,-
6th style,Take It Easy,0,,-,0,,-,2136,BACK,インドネシア,2448,DNM,インドネシア,0,,-
6th style,Summer Vacation(CU mix),0,,-,433,*.EXE,インドネシア,1815,DNM,インドネシア,0,,-,0,,-
6th style,SOMETHING WONDERFUL,0,,-,592,MOE?,インドネシア,1093,RHAPSO,インドネシア,1327,WATANE,インドネシア,0,,-
6th style,route 80s,0,,-,436,*.EXE,インドネシア,0,,-,1448,0721,インドネシア,0,,-
6th style,rottel-da-sun,0,,-,649,ASA,インドネシア,1098,N3M0!,インドネシア,1747,MRDS,インドネシア,0,,-
6th style,NEMESIS,0,,-,650,*.EXE,インドネシア,753,XION,インドネシア,1748,SHIYOU,インドネシア,0,,-
6th style,L’amour et la libert?,0,,-,0,,-,1469,JHAYR#,インドネシア,1925,SKYSPA,インドネシア,0,,-
6th style,Linus,0,,-,0,,-,1448,JHAYR#,インドネシア,1780,TAKOP,インドネシア,0,,-
6th style,G2,0,,-,1025,DEJIKO,インドネシア,1143,DGL112,インドネシア,2000,M55,インドネシア,0,,-
6th style,Frozen Ray (original mix),0,,-,773,*.EXE,インドネシア,1472,DEJIKO,インドネシア,1700,AAAAAA,インドネシア,0,,-
6th style,Free Style,0,,-,642,DOTSKY,インドネシア,0,,-,1222,MRDS,インドネシア,0,,-
6th style,fly through the night,0,,-,0,,-,428,IIDX32,インドネシア,1565,MRDS,インドネシア,0,,-
6th style,DIVE ～INTO YOUR HEART～,0,,-,1070,SHINE,インドネシア,1353,BIDJI,インドネシア,1928,VNJUM,インドネシア,0,,-
6th style,Colors (radio edit),0,,-,925,SHINE,インドネシア,1636,BBIRD?,インドネシア,2372,DNM,インドネシア,0,,-
6th style,Buffalo,0,,-,663,*.EXE,インドネシア,0,,-,1688,VNL*TN,インドネシア,2442,KEMU,インドネシア
6th style,Blueberry Stream,0,,-,545,MOE?,インドネシア,1201,DEJIKO,インドネシア,1445,8390,インドネシア,0,,-
6th style,BALLAD FOR YOU～想いの雨～,0,,-,466,DOGPLN,インドネシア,648,DOGPLN,インドネシア,1028,8390,インドネシア,0,,-
6th style,"19,November",0,,-,823,MOE?,インドネシア,1030,.,インドネシア,1735,ALOE,インドネシア,0,,-
7th style,革命,0,,-,525,ANCHAN,インドネシア,1724,8390,インドネシア,2206,SHIYOU,インドネシア,0,,-
7th style,ZERO-ONE,0,,-,608,JOE,インドネシア,1501,JHAYR#,インドネシア,2203,DNM,インドネシア,2833,DNM,インドネシア
7th style,traces,0,,-,829,*.EXE,インドネシア,1064,MOYO#,インドネシア,1980,JHAYR#,インドネシア,0,,-
7th style,Tomorrow Perfume,0,,-,1059,RHAPSO,インドネシア,1270,BIDJI,インドネシア,1827,8390,インドネシア,0,,-
