バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,570,PETER,マカオ,705,PETER,マカオ,1082,NANASE,マカオ,0,,-
1st&substream,RUGGED ASH,0,,-,271,A4RKW?,マカオ,392,E.F-D,マカオ,1076,ROCHER,マカオ,1982,ROCHER,マカオ
1st&substream,R3,0,,-,645,E.F-D,マカオ,614,ERA,マカオ,861,KUKO,マカオ,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,522,RCHE,マカオ,716,RCHE,マカオ,1067,YXX,マカオ,0,,-
1st&substream,Macho Gang,0,,-,381,NANASE,マカオ,971,NANASE,マカオ,1547,KUKO,マカオ,0,,-
1st&substream,KEEP ON MOVIN',0,,-,166,XSG,マカオ,244,ROCHER,マカオ,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,647,AJO?,マカオ,768,46NEKO,マカオ,1119,KUKO,マカオ,0,,-
1st&substream,gentle stress,0,,-,234,JEYCEE,マカオ,500,YUKI,マカオ,1354,HANSOK,マカオ,0,,-
1st&substream,GENOM SCREAMS,0,,-,217,JEYCEE,マカオ,800,ERA,マカオ,1068,ROCHER,マカオ,0,,-
1st&substream,GAMBOL,0,,-,225,PETER,マカオ,272,ROCHER,マカオ,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,375,COBALT,マカオ,275,PETER,マカオ,551,ZIP.,マカオ,0,,-
1st&substream,deep in you,0,,-,388,PETER,マカオ,456,PETER,マカオ,623,QIED,マカオ,0,,-
1st&substream,5.1.1.,0,,-,172,AMIS,マカオ,949,BUNZIN,マカオ,1568,ROCHER,マカオ,0,,-
1st&substream,22DUNK,0,,-,273,JEYCEE,マカオ,465,AJO?,マカオ,609,RCHE,マカオ,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,450,AJO?,マカオ,595,RCHE,マカオ,624,GOBLIN,マカオ,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,432,PETER,マカオ,855,ROCHER,マカオ,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,0,,-,773,PETER,マカオ,1219,ROCHER,マカオ,0,,-
2nd style,I Was The One,0,,-,0,,-,509,PETER,マカオ,653,ERA,マカオ,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,609,GUMI,マカオ,536,PETER,マカオ,1006,COBALT,マカオ,0,,-
