バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,574,GIBSON,アメリカ,1004,CUNNY!,アメリカ,1140,ARK,アメリカ,0,,-
1st&substream,RUGGED ASH,0,,-,326,GIBSON,アメリカ,391,DAVO,アメリカ,1078,ZYX,アメリカ,1925,ARK,アメリカ
1st&substream,R3,0,,-,594,ANSON,アメリカ,676,ANSON,アメリカ,883,LIAM,アメリカ,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,493,TROOPR,アメリカ,720,TDS111,アメリカ,1097,UZNK,アメリカ,0,,-
1st&substream,Macho Gang,0,,-,374,$IR18$,アメリカ,978,TDS111,アメリカ,1607,TCOBEL,アメリカ,0,,-
1st&substream,KEEP ON MOVIN',0,,-,192,FLUZZ,アメリカ,244,ARK,アメリカ,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,807,ANSON,アメリカ,915,ANSON,アメリカ,1180,TOTORO,アメリカ,0,,-
1st&substream,gentle stress,0,,-,336,GR86,アメリカ,632,5730JP,アメリカ,1431,SIMP,アメリカ,0,,-
1st&substream,GENOM SCREAMS,0,,-,352,GIBSON,アメリカ,760,TDS111,アメリカ,1065,PUNK,アメリカ,0,,-
1st&substream,GAMBOL,0,,-,272,SIMP,アメリカ,273,ZYPH,アメリカ,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,373,ANSON,アメリカ,497,SIM,アメリカ,568,NONAME,アメリカ,0,,-
1st&substream,deep in you,0,,-,479,FLUZZ,アメリカ,480,FLUZZ,アメリカ,656,MYTHO.,アメリカ,0,,-
1st&substream,5.1.1.,0,,-,190,HST*,アメリカ,1003,HAGA,アメリカ,1561,ARK,アメリカ,0,,-
1st&substream,22DUNK,0,,-,512,SIMP,アメリカ,599,SIM,アメリカ,652,SIMP,アメリカ,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,416,GIBSON,アメリカ,590,DAGETT,アメリカ,646,SIG.NT,アメリカ,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,507,TROOPR,アメリカ,852,LIAM,アメリカ,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,656,CLICKB,アメリカ,996,GSBOY,アメリカ,1212,ARK,アメリカ,0,,-
2nd style,I Was The One,0,,-,481,GIBSON,アメリカ,592,MDC573,アメリカ,688,BIGC,アメリカ,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,631,JELLYY,アメリカ,854,5730JP,アメリカ,1066,TCOBEL,アメリカ,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,665,LPXOVR,アメリカ,976,5730JP,アメリカ,1108,LIAM,アメリカ,0,,-
2nd style,.59,0,,-,618,GIBSON,アメリカ,916,GSBOY,アメリカ,1150,LIAM,アメリカ,0,,-
3rd style,THE SAFARI,307,GIBSON,アメリカ,1037,STANG!,アメリカ,1767,ARK,アメリカ,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,269,GR86,アメリカ,386,XYZ,アメリカ,0,,-,0,,-
3rd style,Skyscraper,0,,-,500,NULL1K,アメリカ,1089,5730JP,アメリカ,1244,ZYX,アメリカ,0,,-
3rd style,Schlagwerk,0,,-,661,JELLYY,アメリカ,1159,GSBOY,アメリカ,1670,LIAM,アメリカ,0,,-
3rd style,REINCARNATION,0,,-,794,MYTHO.,アメリカ,998,SALEM,アメリカ,1248,LIAM,アメリカ,0,,-
3rd style,R5,0,,-,653,ROAMER,アメリカ,1098,TDS111,アメリカ,1758,$IR18$,アメリカ,0,,-
3rd style,Presto,0,,-,500,TDS111,アメリカ,902,TDS111,アメリカ,1003,TCOBEL,アメリカ,0,,-
3rd style,LEADING CYBER,0,,-,531,LOUS,アメリカ,1065,5730JP,アメリカ,1244,NONAME,アメリカ,0,,-
3rd style,Holic,0,,-,689,TROOPR,アメリカ,1145,STEN,アメリカ,1701,ARK,アメリカ,0,,-
3rd style,era (nostalmix),0,,-,691,DOGMAN,アメリカ,1055,BIGC,アメリカ,1485,TCOBEL,アメリカ,0,,-
3rd style,Don't Stop!,0,,-,749,LPXOVR,アメリカ,796,5730JP,アメリカ,888,TOTORO,アメリカ,0,,-
3rd style,CAN'T STOP FALLIN'IN LOVE,0,,-,555,LPXOVR,アメリカ,1231,LIAM,アメリカ,0,,-,0,,-
4th style,Voltage (feat. Hidemaru),0,,-,717,4.DARU,アメリカ,1166,BIGC,アメリカ,1325,SIMP,アメリカ,0,,-
4th style,SWEET LAB,0,,-,497,LPXOVR,アメリカ,925,SALEM,アメリカ,1337,TCOBEL,アメリカ,0,,-
4th style,starmine,378,JULIAN,アメリカ,742,CHRE,アメリカ,1226,KITTY,アメリカ,1562,SIMP,アメリカ,0,,-
4th style,Mr.T.(take me higher),0,,-,717,LPXOVR,アメリカ,911,5730JP,アメリカ,1759,ZYX,アメリカ,0,,-
4th style,minimalian,0,,-,476,LPXOVR,アメリカ,1015,S*MIKO,アメリカ,1388,ARK,アメリカ,0,,-
4th style,LOVE WILL・・・,0,,-,518,LPXOVR,アメリカ,705,5730JP,アメリカ,1456,TCOBEL,アメリカ,0,,-
4th style,KAMIKAZE,0,,-,893,LPXOVR,アメリカ,1305,GSBOY,アメリカ,2267,ZYX,アメリカ,0,,-
4th style,Jam&Marmalade,0,,-,653,LGND,アメリカ,851,DAVO,アメリカ,1014,TCOBEL,アメリカ,0,,-
4th style,Hitch Hiker2,0,,-,567,RAW,アメリカ,1121,TDS111,アメリカ,1318,SIMP,アメリカ,1896,PUNK,アメリカ
4th style,HIGHER,0,,-,496,LPXOVR,アメリカ,862,5730JP,アメリカ,1266,ARK,アメリカ,0,,-
4th style,FLOWERS for ALBION,0,,-,216,LPXOVR,アメリカ,440,!WRIST,アメリカ,0,,-,0,,-
4th style,era (step mix),0,,-,856,DOGMAN,アメリカ,1244,DR.ACE,アメリカ,1654,TCOBEL,アメリカ,0,,-
4th style,empathy,0,,-,753,BROCC,アメリカ,1271,WWE,アメリカ,1445,XYZ,アメリカ,0,,-
4th style,DXY!,0,,-,1165,WWE,アメリカ,1682,C4-621,アメリカ,2171,TCOBEL,アメリカ,0,,-
4th style,Clione,0,,-,475,LPXOVR,アメリカ,890,TEHSIG,アメリカ,1587,TOTORO,アメリカ,2090,SWEK,アメリカ
4th style,CHECKING YOU OUT,0,,-,613,ALLEN,アメリカ,806,J-CORE,アメリカ,1346,LIAM,アメリカ,0,,-
4th style,Burnin' The Floor,0,,-,537,LPXOVR,アメリカ,894,5730JP,アメリカ,1425,TCOBEL,アメリカ,0,,-
4th style,Broken My Heart,0,,-,842,HAUZER,アメリカ,1356,WWE,アメリカ,1776,SIMP,アメリカ,0,,-
4th style,B4U,0,,-,1016,WWE,アメリカ,1416,FONZ,アメリカ,1981,SIMP,アメリカ,0,,-
4th style,ABSOLUTE,0,,-,1104,TROOPR,アメリカ,1597,ZENITH,アメリカ,2366,ZYX,アメリカ,2665,ZYPH,アメリカ
4th style,250bpm,0,,-,649,SALEM,アメリカ,875,5730JP,アメリカ,1368,SIMP,アメリカ,0,,-
5th style,V,315,141,アメリカ,1229,GODAI,アメリカ,2323,SORA.K,アメリカ,2972,INBOBY,アメリカ,0,,-
5th style,THE SHINING POLARIS,0,,-,781,LPXOVR,アメリカ,1240,$1.50,アメリカ,1559,GOOBLR,アメリカ,0,,-
