バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,522,RUINS1,ニュージーランド,903,IMA?,ニュージーランド,1123,123456,ニュージーランド,0,,-
1st&substream,RUGGED ASH,0,,-,368,KNOK7I,ニュージーランド,326,RUINS1,ニュージーランド,1074,TAIKO6,ニュージーランド,1975,ZAE,ニュージーランド
1st&substream,R3,0,,-,633,86TARO,ニュージーランド,714,NIJIKA,ニュージーランド,890,PIUPIU,ニュージーランド,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,448,RUINS1,ニュージーランド,591,ARTHUR,ニュージーランド,1089,TAIKO6,ニュージーランド,0,,-
1st&substream,Macho Gang,0,,-,369,ZAE,ニュージーランド,973,BERRY!,ニュージーランド,1552,IIDX32,ニュージーランド,0,,-
1st&substream,KEEP ON MOVIN',0,,-,193,86TARO,ニュージーランド,241,KNOK7I,ニュージーランド,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,566,JIMJI,ニュージーランド,657,ARTHUR,ニュージーランド,1174,IIDX32,ニュージーランド,0,,-
1st&substream,gentle stress,0,,-,121,ALEX,ニュージーランド,644,86TARO,ニュージーランド,1444,TAIKO6,ニュージーランド,0,,-
1st&substream,GENOM SCREAMS,0,,-,330,RUINS1,ニュージーランド,780,ZAE,ニュージーランド,1043,TAIKO6,ニュージーランド,0,,-
1st&substream,GAMBOL,0,,-,228,RUINS1,ニュージーランド,272,NIJIKA,ニュージーランド,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,339,RUINS1,ニュージーランド,454,BERRY!,ニュージーランド,570,TAIKO6,ニュージーランド,0,,-
1st&substream,deep in you,0,,-,462,BERRY!,ニュージーランド,486,86TARO,ニュージーランド,655,TAIKO6,ニュージーランド,0,,-
1st&substream,5.1.1.,0,,-,157,RUINS1,ニュージーランド,846,DAVID,ニュージーランド,1552,PIUPIU,ニュージーランド,0,,-
1st&substream,22DUNK,0,,-,425,RUINS1,ニュージーランド,612,86TARO,ニュージーランド,643,TAIKO6,ニュージーランド,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,383,RUINS1,ニュージーランド,327,NEXTNE,ニュージーランド,646,TAIKO6,ニュージーランド,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,457,RUINS1,ニュージーランド,853,TAIKO6,ニュージーランド,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,714,RUINS1,ニュージーランド,787,RUINS1,ニュージーランド,1205,TAIKO6,ニュージーランド,0,,-
2nd style,I Was The One,0,,-,457,RUINS1,ニュージーランド,641,IIDX32,ニュージーランド,686,TAIKO6,ニュージーランド,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,531,REMY,ニュージーランド,681,NEXTNE,ニュージーランド,1051,IIDX32,ニュージーランド,0,,-
