バージョン,タイトル,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県
1st&substream,THE EARTH LIGHT,778,T-A6.Y,北海道,1026,ORGASM,北海道,1131,MR2N,北海道
1st&substream,RUGGED ASH,370,10PLUS,北海道,395,QZQX.Q,北海道,1077,N!?,北海道
1st&substream,R3,636,T-A6.Y,北海道,718,T-A6.Y,北海道,901,N!?,北海道
1st&substream,PARANOIA MAX～DIRTY MIX～,547,KACYO,北海道,731,LOXIT,北海道,1106,N!?,北海道
1st&substream,Macho Gang,368,TUBASA,北海道,1030,T-A6.Y,北海道,1601,S*LOL,北海道
1st&substream,KEEP ON MOVIN',196,10PLUS,北海道,243,*WOOL*,北海道,0,,未設定
1st&substream,GRADIUSIC CYBER,863,KAIEN3,北海道,1002,REK0.J,北海道,1185,MR2N,北海道
1st&substream,GENOM SCREAMS,408,MISO,北海道,801,STARFY,北海道,1060,*WOOL*,北海道
1st&substream,GAMBOL,274,10PLUS,北海道,272,C-BOSS,北海道,0,,未設定
1st&substream,Dr.LOVE,397,ASUTE,北海道,506,LONE,北海道,573,MR2N,北海道
1st&substream,deep in you,486,T-A6.Y,北海道,482,I.K,北海道,652,S*LOL,北海道
1st&substream,BRILLIANT 2U,530,T-A6.Y,北海道,646,114514,北海道,722,S*LOL,北海道
1st&substream,5.1.1.,198,N!?,北海道,1005,REK0.J,北海道,1562,N!?,北海道
1st&substream,22DUNK,514,CHU2TM,北海道,627,CHU2TM,北海道,654,N!?,北海道
2nd style,SP-TRIP MACHINE(for beatmania II),508,N!?,北海道,611,ZZZ..2,北海道,647,N!?,北海道
2nd style,PUT YOUR FAITH IN ME(for beatmania II),561,PSG,北海道,853,MR2N,北海道,0,,未設定
2nd style,Indigo Vision(full flavour hide around mix),856,T-A6.Y,北海道,1099,CHU2TM,北海道,1197,GLY4NE,北海道
2nd style,I Was The One,536,M.,北海道,636,C-BOSS,北海道,693,N!?,北海道
2nd style,Electro Tuned(the SubS mix),761,T-A6.Y,北海道,934,TEFNUT,北海道,1068,N!?,北海道
2nd style,Digital MinD(A/T Libra mix),746,N!?,北海道,1008,LONE,北海道,1121,N!?,北海道
