バージョン,タイトル,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県
1st&substream,THE EARTH LIGHT,605,IIDX22,米国,963,REV.,米国,1096,CALPIS,米国
1st&substream,RUGGED ASH,353,BIGC,米国,386,SRAN!!,米国,1063,ANDO,米国
1st&substream,R3,557,NKJ-MX,米国,680,COBAIN,米国,884,404,米国
1st&substream,PARANOIA MAX～DIRTY MIX～,542,CALPIS,米国,728,CHROM3,米国,1058,CALPIS,米国
1st&substream,Macho Gang,354,CHROM3,米国,853,OFUTON,米国,1534,CALPIS,米国
1st&substream,KEEP ON MOVIN',176,KBC,米国,239,CALPIS,米国,0,,未設定
1st&substream,GRADIUSIC CYBER,826,BIGC,米国,869,ICARUS,米国,1149,CALPIS,米国
1st&substream,GENOM SCREAMS,342,IIDX22,米国,710,ICARUS,米国,1029,CALPIS,米国
1st&substream,GAMBOL,265,CALPIS,米国,270,404,米国,0,,未設定
1st&substream,Dr.LOVE,375,CHROM3,米国,476,APB,米国,565,CALPIS,米国
1st&substream,deep in you,382,IIDX22,米国,491,CALPIS,米国,629,CALPIS,米国
1st&substream,BRILLIANT 2U,506,CHROM3,米国,595,ICARUS,米国,715,PHN!X,米国
1st&substream,5.1.1.,180,YUNE,米国,902,NKJ-MX,米国,1502,CALPIS,米国
1st&substream,22DUNK,523,CALPIS,米国,585,BIGC,米国,643,PHN!X,米国
2nd style,SP-TRIP MACHINE(for beatmania II),336,M477,米国,614,CALPIS,米国,627,CALPIS,米国
2nd style,PUT YOUR FAITH IN ME(for beatmania II),560,BIGC,米国,828,CALPIS,米国,0,,未設定
2nd style,Indigo Vision(full flavour hide around mix),809,BYTERU,米国,992,ICARUS,米国,1139,STGC,米国
2nd style,I Was The One,517,DAGETT,米国,595,REV.,米国,674,CALPIS,米国
2nd style,Electro Tuned(the SubS mix),662,DISNEY,米国,949,CALPIS,米国,1047,PHN!X,米国
2nd style,Digital MinD(A/T Libra mix),697,COBAIN,米国,987,BYTERU,米国,1104,PHN!X,米国
2nd style,Dancin' Into The Night,421,CALPIS,米国,459,CALPIS,米国,0,,未設定
2nd style,.59,647,ICARUS,米国,968,BIGC,米国,1102,WILSON,米国
3rd style,THE SAFARI,1098,RYHKI,米国,1757,PHN!X,米国,0,,未設定
3rd style,Tangerine Stream,272,BIGC,米国,385,CALPIS,米国,0,,未設定
3rd style,Skyscraper,663,ZZZZZZ,米国,1084,REV.,米国,1211,WILSON,米国
3rd style,Schlagwerk,795,CALPIS,米国,1179,ICARUS,米国,1619,WILSON,米国
3rd style,REINCARNATION,548,BD,米国,951,*YRD,米国,1235,CALPIS,米国
3rd style,R5,733,COBAIN,米国,1091,RI74TA,米国,1753,PHN!X,米国
3rd style,Presto,484,ICARUS,米国,868,RI74TA,米国,973,CALPIS,米国
3rd style,LEADING CYBER,569,TBIRD,米国,1040,ICARUS,米国,1213,CALPIS,米国
3rd style,Holic,733,COBAIN,米国,1160,COBAIN,米国,1680,PHN!X,米国
3rd style,era (nostalmix),792,ICARUS,米国,979,RI74TA,米国,1491,PHN!X,米国
3rd style,Don't Stop!,727,NKJ-MX,米国,796,*YRD,米国,880,CALPIS,米国
3rd style,CAN'T STOP FALLIN'IN LOVE,580,CHROM3,米国,1203,CALPIS,米国,0,,未設定
4th style,Voltage (feat. Hidemaru),775,234,米国,1063,ICARUS,米国,1309,PHN!X,米国
4th style,Under Construction,339,FIRO,米国,842,HISTRY,米国,1124,WILSON,米国
4th style,ULTRA HIGH-HEELS,,,,,,,,,
4th style,starmine,747,EDDIE?,米国,1270,REV.,米国,1540,BURI-N,米国
4th style,Nasty!,512,ICARUS,米国,806,ICARUS,米国,1510,OROCHI,米国
4th style,Mr.T.(take me higher),741,NKJ-MX,米国,955,*YRD,米国,1699,BURI-N,米国
4th style,minimalian,403,CHROM3,米国,849,INTIKI,米国,1353,ANDO,米国
4th style,LOVE WILL・・・,303,MI2,米国,730,*YRD,米国,1441,WILSON,米国
4th style,KAMIKAZE,961,XALTUS,米国,1390,CHROM3,米国,2269,PHN!X,米国
4th style,Jam&Marmalade,759,CALPIS,米国,849,*YRD,米国,974,CALPIS,米国
4th style,Hitch Hiker2,697,TABBTO,米国,1125,CHROM3,米国,1304,PHN!X,米国
4th style,HIGHER,521,CHROM3,米国,843,APB,米国,1242,45HARA,米国
4th style,FLOWERS for ALBION,215,CHROM3,米国,408,CALPIS,米国,0,,未設定
4th style,era (step mix),1028,ICARUS,米国,1161,ICARUS,米国,1659,PHN!X,米国
4th style,empathy,496,BD,米国,1040,HISTRY,米国,1392,CALPIS,米国
4th style,DXY!,1159,ICARUS,米国,1724,CALPIS,米国,2176,PHN!X,米国
4th style,Clione,340,TBIRD,米国,836,SNOOPY,米国,1597,PHN!X,米国
4th style,CHECKING YOU OUT,482,ASHURA,米国,671,BREAD,米国,1278,PHN!X,米国
4th style,Burnin' The Floor,562,CHROM3,米国,888,*YRD,米国,1395,CALPIS,米国
4th style,Broken My Heart,539,BD,米国,1202,HISTRY,米国,1721,CALPIS,米国
4th style,B4U,939,REV.,米国,1445,BIGC,米国,1954,PHN!X,米国
4th style,ABSOLUTE,1253,BIGC,米国,1774,CALPIS,米国,2360,PHN!X,米国
4th style,250bpm,533,MOMONG,米国,795,DISNEY,米国,1392,PHN!X,米国
5th style,V,1197,REV.,米国,2454,PHN!X,米国,2961,PHN!X,米国
5th style,THE SHINING POLARIS,934,CALPIS,米国,1164,*YRD,米国,1541,OROCHI,米国
5th style,THE CUBE,532,BD,米国,1147,REV.,米国,1312,CALPIS,米国
5th style,sync,1053,BIGC,米国,1717,*YRD,米国,2361,PHN!X,米国
5th style,still my words,769,ICARUS,米国,1198,CALPIS,米国,0,,未設定
5th style,STILL IN MY HEART,928,ICARUS,米国,1133,DAGETT,米国,1878,BOKKI*,米国
5th style,Spin the disc,688,DISNEY,米国,1061,*YRD,米国,1278,STGC,米国
5th style,RISLIM,736,BETTY,米国,1213,PHN!X,米国,0,,未設定
5th style,RIDE ON THE LIGHT (HI GREAT MIX),518,ZAKKU,米国,999,REV.,米国,1660,45HARA,米国
5th style,Regulus,966,REV.,米国,1416,STGC,米国,1634,BURI-N,米国
5th style,Real,1002,REV.,米国,1336,JASEPI,米国,1808,PHN!X,米国
5th style,Radical Faith,924,CCB,米国,1417,CHROM3,米国,1265,CALPIS,米国
5th style,QQQ,1101,DMF,米国,1697,HEBI-*,米国,2128,PHN!X,米国
5th style,outer wall,685,CCB,米国,1166,ICARUS,米国,1632,CALPIS,米国
5th style,LOVE AGAIN TONIGHT～for Mellisa mix～,728,REV.,米国,923,REV.,米国,1092,CALPIS,米国
5th style,Kiss me all night long,,,,,,,,,
5th style,in my eyes,805,EDDIE?,米国,1339,*YRD,米国,1522,CALPIS,米国
5th style,Abyss,1185,NKJ-MX,米国,1555,CALPIS,米国,1823,404,米国
6th style,電人イェーガーのテーマ(Theme of DENJIN J),963,234,米国,1498,CALPIS,米国,0,,未設定
6th style,こっちを向いてよ,722,DISNEY,米国,1098,ICARUS,米国,1328,BURI-N,米国
6th style,Take It Easy,1178,HISTRY,米国,2292,STGC,米国,2421,45HARA,米国
6th style,Summer Vacation(CU mix),1224,BIGC,米国,1808,PHN!X,米国,0,,未設定
6th style,route 80s,803,ICARUS,米国,970,ICARUS,米国,1441,WILSON,米国
6th style,rottel-da-sun,779,CALPIS,米国,1042,ICARUS,米国,1748,CALPIS,米国
6th style,NEMESIS,873,234,米国,1176,EVLDVE,米国,1851,PHN!X,米国
6th style,Linus,846,APB,米国,1382,*YRD,米国,2161,PHN!X,米国
6th style,G2,1108,INTIKI,米国,1415,*YRD,米国,2281,PHN!X,米国
6th style,Frozen Ray (original mix),1150,ICARUS,米国,1664,CALPIS,米国,1738,BURI-N,米国
6th style,Free Style,,,,,,,,,
6th style,fly through the night,471,ANSEL,米国,980,ICARUS,米国,1632,CALPIS,米国
6th style,DIVE ～INTO YOUR HEART～,741,HEMI,米国,1526,REV.,米国,2007,BURI-N,米国
6th style,Colors (radio edit),1246,DAGETT,米国,1851,CALPIS,米国,2381,PHN!X,米国
6th style,Buffalo,872,DISNEY,米国,1199,BREAD,米国,1773,PHN!X,米国
6th style,Blueberry Stream,669,DISNEY,米国,1266,OIOI,米国,1575,WILSON,米国
6th style,BALLAD FOR YOU～想いの雨～,548,CHROM3,米国,715,OFUTON,米国,1066,PHN!X,米国
6th style,"19,November",711,TEA,米国,1247,MBURNS,米国,1714,CAFEX,米国
7th style,革命,658,ICARUS,米国,1900,STGC,米国,2230,BURI-N,米国
7th style,ZERO-ONE,939,234,米国,1605,STGC,米国,2116,STGC,米国
7th style,traces,1321,OIOI,米国,1859,STGC,米国,2134,PHN!X,米国
7th style,Tomorrow Perfume,1155,ICARUS,米国,1829,STGC,米国,2017,45HARA,米国
7th style,stoic,1563,BIGC,米国,2280,STGC,米国,2486,PHN!X,米国
7th style,Spica,472,AKUMA,米国,1393,STGC,米国,2142,PHN!X,米国
7th style,MAX 300,790,APB,米国,1659,CALPIS,米国,0,,未設定
7th style,Marmalade Reverie,761,DISNEY,米国,923,*YRD,米国,1262,PHN!X,米国
7th style,Love Me Do,1069,COBAIN,米国,1601,*YRD,米国,2056,45HARA,米国
7th style,Let the Snow Paint Me,722,DISNEY,米国,998,CHROM3,米国,1230,PHN!X,米国
7th style,Last Message,980,CALPIS,米国,1169,*YRD,米国,1546,BURI-N,米国
7th style,Happy Wedding,1134,GEM,米国,1449,*YRD,米国,1769,PHN!X,米国
7th style,Glorious Days,464,ICARUS,米国,771,COBAIN,米国,872,PHN!X,米国
7th style,foreplay,,,,,,,,,
7th style,entrance,408,DZ,米国,1060,******,米国,1578,CALPIS,米国
7th style,DESTINY,964,ICARUS,米国,1320,CHROM3,米国,1798,404,米国
7th style,D2R,786,DISNEY,米国,1264,CALPIS,米国,1569,PHN!X,米国
7th style,Cheer Train,530,TEA,米国,1051,ICARUS,米国,1673,PHN!X,米国
7th style,Burning Heat! (Full Option Mix),627,REV.,米国,803,DISNEY,米国,1442,PHN!X,米国
7th style,BRING HER DOWN,860,CCB,米国,1177,HISTRY,米国,1710,PHN!X,米国
7th style,Bad Routine,911,ICARUS,米国,1395,PHN!X,米国,1893,PHN!X,米国
7th style,AVE DE RAPINA,1199,ICARUS,米国,1413,ICARUS,米国,1743,404,米国
7th style,A,1068,OFUTON,米国,2022,CALPIS,米国,2398,PHN!X,米国
8th style,蒼い衝動,776,234,米国,1206,*YRD,米国,1588,PHN!X,米国
8th style,桜,917,REV.,米国,1415,CALPIS,米国,2029,PHN!X,米国
8th style,合体せよ！ストロングイェーガー！！,1424,ICARUS,米国,1703,PHN!X,米国,0,,未設定
8th style,xenon,646,BD,米国,1604,ANDO,米国,2589,BURI-N,米国
8th style,World Wide Love,605,KAGUYA,米国,955,SNOOPY,米国,1111,PHN!X,米国
8th style,WAR GAME,696,MALPH.,米国,1272,MBURNS,米国,2073,PHN!X,米国
8th style,thunder,1044,ICARUS,米国,1411,*YRD,米国,1838,PHN!X,米国
8th style,symbolic,1257,REV.,米国,1759,BYTERU,米国,2218,PHN!X,米国
8th style,STAR DREAM,,,,,,,,,
8th style,rainbow flyer,491,YUKI,米国,1622,STGC,米国,2090,PHN!X,米国
8th style,PLEASE DON'T GO,778,DISNEY,米国,1363,CALPIS,米国,2350,PHN!X,米国
8th style,MUSIC TO YOUR HEAD,534,TEA,米国,1272,*YRD,米国,1635,PHN!X,米国
8th style,murmur twins,786,VACUUM,米国,1605,BYTERU,米国,2331,PHN!X,米国
8th style,Monkey Dance,572,ORIANA,米国,1236,RI74TA,米国,1969,PHN!X,米国
8th style,memories,927,ICARUS,米国,1863,CHROM3,米国,2191,PHN!X,米国
8th style,LOVE IS ORANGE,737,SNOOPY,米国,862,L33#,米国,1788,PHN!X,米国
8th style,LAB,886,DISNEY,米国,1849,BYTERU,米国,2024,STGC,米国
8th style,Hormiga obrera,559,AKUMA,米国,1343,*YRD,米国,1758,PHN!X,米国
8th style,Halfway of promise,890,C0L0NA,米国,1293,DAVYN,米国,1779,PHN!X,米国
8th style,Giudecca,361,DZ,米国,1914,STGC,米国,2609,PHN!X,米国
8th style,FLUTE MAN,344,TEA,米国,781,ICARUS,米国,1069,PHN!X,米国
8th style,dual control,387,BD,米国,1176,LIMIKU,米国,1785,WILSON,米国
8th style,dissolve,,,,,,,,,
8th style,Colors -Y&Co. Eurobeat Remix-,915,ICARUS,米国,1929,HEBI-*,米国,2149,CAFEX,米国
8th style,CELEBRATE NITE,792,KYOKI?,米国,1073,CHROM3,米国,1396,PHN!X,米国
8th style,Blame,1026,ICARUS,米国,1252,TEX,米国,1903,PHN!X,米国
8th style,bit mania,896,CALPIS,米国,1198,REV.,米国,1835,PHN!X,米国
8th style,Attitude,862,DISNEY,米国,1323,BIGC,米国,1735,PHN!X,米国
8th style,ALL RIGHT,774,ICARUS,米国,995,APB,米国,1583,45HARA,米国
8th style,ALIEN WORLD,406,3SEC,米国,1064,REV.,米国,1406,PHN!X,米国
8th style,airflow,530,BIGC,米国,728,COBAIN,米国,1398,PHN!X,米国
8th style,abstract,1139,ICARUS,米国,1524,CALPIS,米国,1882,PHN!X,米国
9th style,真夏の花・真夏の夢,475,SNOW,米国,1023,ICARUS,米国,1466,PHN!X,米国
9th style,昭和企業戦士荒山課長,484,ANSEL,米国,1432,CHROM3,米国,1604,PHN!X,米国
9th style,ライオン好き,642,CALPIS,米国,1095,REV.,米国,1443,CALPIS,米国
9th style,Sweet Sweet Magic,876,DLEW,米国,1452,ANDO,米国,1973,404,米国
9th style,STAR FIELD,631,ICARUS,米国,1473,XALTUS,米国,1836,CAFEX,米国
9th style,SNOW,964,OIOI,米国,1136,ICARUS,米国,2004,PHN!X,米国
9th style,Silvia Drive,773,ICARUS,米国,1385,*YRD,米国,1976,STGC,米国
9th style,rottel-the-Mercury,912,ICARUS,米国,1830,STGC,米国,2194,BOKKI*,米国
9th style,RISLIM -Remix-,662,IIDX22,米国,872,ICARUS,米国,1847,PHN!X,米国
9th style,Really Love,575,TABBTO,米国,907,CHROM3,米国,1733,PHN!X,米国
9th style,Quickening,785,DMF,米国,1529,*YRD,米国,2083,PHN!X,米国
9th style,quasar,1108,HEBI-*,米国,1667,COBAIN,米国,2289,PHN!X,米国
9th style,POWER DREAM,705,DISNEY,米国,1133,ICARUS,米国,1806,BOKKI*,米国
9th style,one or eight,1040,HISTRY,米国,1792,STGC,米国,2195,PHN!X,米国
9th style,moon_child,935,APB,米国,1905,STGC,米国,2509,PHN!X,米国
9th style,MARIA (I believe... ),632,ICARUS,米国,1428,OIOI,米国,1911,PHN!X,米国
9th style,Make A Difference,790,234,米国,1524,STGC,米国,2197,PHN!X,米国
9th style,lower world,1185,ICARUS,米国,1726,STGC,米国,2233,PHN!X,米国
9th style,LOVE SHINE,813,REV.,米国,1790,ANDO,米国,2066,PHN!X,米国
9th style,lights,597,DLEW,米国,1263,*YRD,米国,1756,PHN!X,米国
9th style,Let The Snow Paint Me -Y&Co. Remix-,711,TABBTO,米国,1221,CHROM3,米国,1800,PHN!X,米国
9th style,Karma,1187,DISNEY,米国,1605,STGC,米国,1806,PHN!X,米国
9th style,I Was The One (80's EUROBEAT STYLE),685,TABBTO,米国,1250,RI74TA,米国,1431,PHN!X,米国
9th style,HYPER EUROBEAT (2DX style),856,TABBTO,米国,1375,DAGETT,米国,1870,BOKKI*,米国
9th style,Golden Horn,568,BREAD,米国,1028,*YRD,米国,1500,PHN!X,米国
9th style,ECHOES,633,SHIDOU,米国,1004,APB,米国,2036,PHN!X,米国
9th style,e-motion 2003 -romantic extra-,1097,ICARUS,米国,1554,CALPIS,米国,1967,PHN!X,米国
9th style,Distress,1042,EDDIE?,米国,1796,PHN!X,米国,0,,未設定
9th style,Cradle,571,FIRO,米国,1229,OFUTON,米国,1550,PHN!X,米国
9th style,BRIGHTNESS DARKNESS,626,CHROM3,米国,1221,OIOI,米国,1708,CAFEX,米国
